Sheet Name: Carriers

carrier_id: cedba817-bbfa-4736-96d3-6588736ea61d | carrier_name: Maersk 1 | carrier_type: Air | average_rating: 4.08 | fleet_size: 1635 | years_of_service: 19 | headquarters: Netherlands
carrier_id: 726f30ba-ed65-4ff2-9eb8-81d338c3e072 | carrier_name: Maersk 1063 | carrier_type: Rail | average_rating: 4.78 | fleet_size: 1145 | years_of_service: 18 | headquarters: South Korea
carrier_id: 24b5764a-f8f3-4fd8-9d12-87e7c6ff9d90 | carrier_name: Kuehne Nagel 1064 | carrier_type: Sea | average_rating: 3.28 | fleet_size: 3136 | years_of_service: 15 | headquarters: Netherlands
carrier_id: c42b677f-b0fe-4e69-80fa-486a51679790 | carrier_name: DHL 1065 | carrier_type: Sea | average_rating: 3.88 | fleet_size: 1650 | years_of_service: 14 | headquarters: China
carrier_id: 4946bd44-b91b-4ba4-a5a2-4f42bba38087 | carrier_name: DP World Logistics 1066 | carrier_type: Road | average_rating: 4.14 | fleet_size: 1442 | years_of_service: 12 | headquarters: South Korea
carrier_id: 5ef793e3-5c8d-436a-b40b-f01bc9fdcd10 | carrier_name: CMA CGM 1067 | carrier_type: Road | average_rating: 3.23 | fleet_size: 73 | years_of_service: 28 | headquarters: India
carrier_id: ed048b8f-3c9d-4ae2-9ae3-f78016c0305e | carrier_name: Allcargo Express 1068 | carrier_type: Road | average_rating: 3.88 | fleet_size: 1818 | years_of_service: 37 | headquarters: Japan
carrier_id: 452b23d2-3fff-4ea6-b588-ac7a109871d3 | carrier_name: CMA CGM 1069 | carrier_type: Sea | average_rating: 3.35 | fleet_size: 296 | years_of_service: 3 | headquarters: Japan
carrier_id: b53ac050-f532-4cf5-999d-66fe4da3a10f | carrier_name: Maersk 1070 | carrier_type: Air | average_rating: 4.27 | fleet_size: 3839 | years_of_service: 37 | headquarters: Germany
carrier_id: 12c936a2-9e62-464b-84c4-59c55b72b9dd | carrier_name: Maersk 1071 | carrier_type: Road | average_rating: 4.0 | fleet_size: 3833 | years_of_service: 23 | headquarters: UAE
carrier_id: 623fc52f-e2b3-40f5-bf15-fd5a30beaa46 | carrier_name: MSC 1072 | carrier_type: Sea | average_rating: 3.54 | fleet_size: 756 | years_of_service: 23 | headquarters: United Kingdom
carrier_id: d5f40358-7847-477b-8746-fd35b9700259 | carrier_name: Maersk 1073 | carrier_type: Sea | average_rating: 4.55 | fleet_size: 2162 | years_of_service: 31 | headquarters: United Kingdom
carrier_id: 7e6f9f0d-8310-4f18-b1b0-50fc94c4db85 | carrier_name: DP World Logistics 1074 | carrier_type: Sea | average_rating: 3.52 | fleet_size: 2916 | years_of_service: 5 | headquarters: United States
carrier_id: ede67e1e-19cd-4ea4-b2f8-43acf5515a91 | carrier_name: DP World Logistics 1075 | carrier_type: Road | average_rating: 3.59 | fleet_size: 2276 | years_of_service: 10 | headquarters: South Korea
carrier_id: db7cb5ee-24f7-4153-886c-7c83e0ab3f60 | carrier_name: DB Schenker 1076 | carrier_type: Sea | average_rating: 3.3 | fleet_size: 3685 | years_of_service: 3 | headquarters: Japan
carrier_id: 65921541-1217-438a-a184-a12500b52303 | carrier_name: Blue Dart 1077 | carrier_type: Air | average_rating: 3.81 | fleet_size: 564 | years_of_service: 16 | headquarters: UAE
carrier_id: 2a8a79f5-4a74-4d36-bf0a-1070aac1e792 | carrier_name: Hapag-Lloyd 1078 | carrier_type: Sea | average_rating: 3.49 | fleet_size: 1173 | years_of_service: 36 | headquarters: China
carrier_id: 4eb5373e-d44a-4266-ab46-65f45321bfcc | carrier_name: Kuehne Nagel 1079 | carrier_type: Sea | average_rating: 4.61 | fleet_size: 1257 | years_of_service: 10 | headquarters: South Korea
carrier_id: 87969fae-538c-4853-99ab-c639dab00f9f | carrier_name: DB Schenker 1080 | carrier_type: Road | average_rating: 3.16 | fleet_size: 3061 | years_of_service: 34 | headquarters: UAE
carrier_id: ece5a6b4-2003-4e7d-9c38-e40cad54cb30 | carrier_name: Blue Dart 1081 | carrier_type: Sea | average_rating: 3.21 | fleet_size: 1075 | years_of_service: 15 | headquarters: Singapore
carrier_id: 4a6ec48c-c7b4-496b-816b-1d70e3582913 | carrier_name: Maersk 1082 | carrier_type: Road | average_rating: 4.31 | fleet_size: 351 | years_of_service: 16 | headquarters: South Korea
carrier_id: fa7bad48-71d7-4651-b000-9635ad39b77d | carrier_name: Allcargo Express 1083 | carrier_type: Road | average_rating: 4.4 | fleet_size: 2354 | years_of_service: 17 | headquarters: China
carrier_id: 602e4418-393a-4045-b4fd-d3d254b719f8 | carrier_name: DP World Logistics 1084 | carrier_type: Sea | average_rating: 3.26 | fleet_size: 2147 | years_of_service: 26 | headquarters: United Kingdom
carrier_id: 983822a3-288c-4127-b865-f6e3d270ad55 | carrier_name: FedEx 1085 | carrier_type: Air | average_rating: 3.95 | fleet_size: 2804 | years_of_service: 37 | headquarters: Singapore
carrier_id: dc5924b7-1834-440e-a88d-05a969af9cf5 | carrier_name: DB Schenker 1086 | carrier_type: Air | average_rating: 4.68 | fleet_size: 3702 | years_of_service: 19 | headquarters: United Kingdom
carrier_id: bbf953bc-0458-4049-9e60-65a4311ffe81 | carrier_name: Kuehne Nagel 1087 | carrier_type: Rail | average_rating: 3.22 | fleet_size: 1017 | years_of_service: 10 | headquarters: China
carrier_id: 7ee90047-b375-4dbe-8154-1511fbd5426f | carrier_name: Emirates SkyCargo 1088 | carrier_type: Rail | average_rating: 3.69 | fleet_size: 3494 | years_of_service: 29 | headquarters: Singapore
carrier_id: 9c5bd4a1-2ac6-44f6-9213-3e0fafa263e4 | carrier_name: Maersk 1089 | carrier_type: Air | average_rating: 4.51 | fleet_size: 718 | years_of_service: 4 | headquarters: India
carrier_id: 69cce236-2f5d-4187-bd19-ee76a22e702c | carrier_name: MSC 1090 | carrier_type: Road | average_rating: 4.6 | fleet_size: 1789 | years_of_service: 36 | headquarters: China
carrier_id: 7d43b094-c838-4ae9-8b62-e2fc38d12f00 | carrier_name: Maersk 1091 | carrier_type: Road | average_rating: 4.6 | fleet_size: 3601 | years_of_service: 13 | headquarters: Netherlands
carrier_id: e205e048-205f-48be-b4c7-f3389914d703 | carrier_name: Hapag-Lloyd 1092 | carrier_type: Sea | average_rating: 4.09 | fleet_size: 2912 | years_of_service: 3 | headquarters: United States
carrier_id: efcf2903-460c-4df8-a74d-d304149625be | carrier_name: Allcargo Express 1093 | carrier_type: Road | average_rating: 3.2 | fleet_size: 3141 | years_of_service: 24 | headquarters: United States
carrier_id: 21f1528d-8c2a-484f-b4b6-196d79cf1633 | carrier_name: Blue Dart 1094 | carrier_type: Sea | average_rating: 3.4 | fleet_size: 3016 | years_of_service: 17 | headquarters: Japan
carrier_id: 7c5e4b9e-134b-41f9-9420-e19333151777 | carrier_name: DHL 1095 | carrier_type: Sea | average_rating: 4.8 | fleet_size: 1554 | years_of_service: 26 | headquarters: United States
carrier_id: e90802ee-729f-4968-b842-cdf5cdb0acf2 | carrier_name: FedEx 1096 | carrier_type: Air | average_rating: 3.66 | fleet_size: 1411 | years_of_service: 7 | headquarters: UAE
carrier_id: f6d85003-b40d-4b2f-acc6-b4924a284d06 | carrier_name: Hapag-Lloyd 1097 | carrier_type: Air | average_rating: 4.88 | fleet_size: 1143 | years_of_service: 9 | headquarters: United Kingdom
carrier_id: b40d024a-9080-49e1-8a2c-38ae1b5a3134 | carrier_name: FedEx 1098 | carrier_type: Sea | average_rating: 3.97 | fleet_size: 3535 | years_of_service: 32 | headquarters: Singapore
carrier_id: 20de425b-1062-4647-89c6-fcc1531af545 | carrier_name: MSC 1099 | carrier_type: Road | average_rating: 3.89 | fleet_size: 997 | years_of_service: 19 | headquarters: Netherlands
carrier_id: 95afa473-ac66-4af2-bb6c-8ad8dfb425c1 | carrier_name: Blue Dart 1100 | carrier_type: Road | average_rating: 4.38 | fleet_size: 2229 | years_of_service: 37 | headquarters: Netherlands
carrier_id: e93afe2c-d895-4eb1-9efa-eff9880c8b06 | carrier_name: CMA CGM 1101 | carrier_type: Sea | average_rating: 3.27 | fleet_size: 1790 | years_of_service: 24 | headquarters: China
carrier_id: 4fab0e2c-ba70-45ba-99f8-1b370fd86bd8 | carrier_name: Hapag-Lloyd 1102 | carrier_type: Air | average_rating: 4.38 | fleet_size: 3463 | years_of_service: 9 | headquarters: Singapore
carrier_id: d3f1a55e-39af-43e2-a706-dbbe998b690c | carrier_name: FedEx 1103 | carrier_type: Sea | average_rating: 4.16 | fleet_size: 2359 | years_of_service: 25 | headquarters: United States
carrier_id: e4fceee1-783a-4ce8-9294-10461d0bf2fc | carrier_name: FedEx 1104 | carrier_type: Rail | average_rating: 3.53 | fleet_size: 2522 | years_of_service: 18 | headquarters: UAE
carrier_id: 79fa5028-3663-40db-b64e-3d71cbfb9299 | carrier_name: DHL 1105 | carrier_type: Air | average_rating: 4.68 | fleet_size: 2142 | years_of_service: 4 | headquarters: Netherlands
carrier_id: abf614e3-f6d2-41e6-a225-7fd8ad1a6cd1 | carrier_name: DHL 1106 | carrier_type: Sea | average_rating: 4.57 | fleet_size: 3258 | years_of_service: 23 | headquarters: Singapore
carrier_id: 7bccc9a0-2274-4465-b2fb-9cf4dbc1713e | carrier_name: Emirates SkyCargo 1107 | carrier_type: Sea | average_rating: 3.45 | fleet_size: 2692 | years_of_service: 14 | headquarters: United Kingdom
carrier_id: 28923bbb-3185-4eff-9520-dda2a2f563bf | carrier_name: FedEx 1108 | carrier_type: Road | average_rating: 4.29 | fleet_size: 1266 | years_of_service: 35 | headquarters: United States
carrier_id: 3b45e213-f97c-45b5-8a11-053e1a166f66 | carrier_name: DHL 1109 | carrier_type: Road | average_rating: 3.19 | fleet_size: 3956 | years_of_service: 38 | headquarters: Japan
carrier_id: b3e8cda0-8dce-4249-bcf1-2586ca0c8162 | carrier_name: DB Schenker 1110 | carrier_type: Rail | average_rating: 4.81 | fleet_size: 1984 | years_of_service: 31 | headquarters: Japan
carrier_id: 20be2837-f036-46b7-9cac-538c25685222 | carrier_name: Emirates SkyCargo 1111 | carrier_type: Sea | average_rating: 4.16 | fleet_size: 3376 | years_of_service: 36 | headquarters: Japan
carrier_id: 17751d25-b068-4c9a-b6e5-797b9998b97e | carrier_name: FedEx 1112 | carrier_type: Rail | average_rating: 3.16 | fleet_size: 2033 | years_of_service: 4 | headquarters: United States
carrier_id: e859896e-4a3d-4f8a-8e3d-84c48bde745f | carrier_name: Allcargo Express 1113 | carrier_type: Air | average_rating: 3.18 | fleet_size: 754 | years_of_service: 7 | headquarters: UAE
carrier_id: 5b4fddef-e243-4fd5-aef4-07dc702e395c | carrier_name: DP World Logistics 1114 | carrier_type: Road | average_rating: 3.95 | fleet_size: 784 | years_of_service: 23 | headquarters: United Kingdom
carrier_id: baaa5e08-f5b8-4d8d-b352-be357510a5cc | carrier_name: Blue Dart 1115 | carrier_type: Road | average_rating: 4.51 | fleet_size: 2358 | years_of_service: 37 | headquarters: United Kingdom
carrier_id: cb10c831-fc8a-4362-a1f4-450b2add7315 | carrier_name: Maersk 1116 | carrier_type: Sea | average_rating: 4.32 | fleet_size: 859 | years_of_service: 11 | headquarters: Germany
carrier_id: 6455782a-644a-4579-9e13-a61fe61dfa3d | carrier_name: Allcargo Express 1117 | carrier_type: Road | average_rating: 3.39 | fleet_size: 594 | years_of_service: 24 | headquarters: South Korea
carrier_id: 1c68bada-9ae8-4afe-93ab-1b8dbaa03943 | carrier_name: DP World Logistics 1118 | carrier_type: Rail | average_rating: 3.96 | fleet_size: 3695 | years_of_service: 28 | headquarters: Germany
carrier_id: 9b0bc1af-92f3-4d4e-8775-0705b9a4a3fa | carrier_name: DB Schenker 1119 | carrier_type: Sea | average_rating: 3.82 | fleet_size: 1253 | years_of_service: 14 | headquarters: Japan
carrier_id: 9ad5cb90-9d32-4ac4-8c49-55609c8b4f21 | carrier_name: FedEx 1120 | carrier_type: Sea | average_rating: 3.75 | fleet_size: 437 | years_of_service: 33 | headquarters: South Korea
carrier_id: bf3af2f0-d3ae-4efd-852a-cf83dc77a09d | carrier_name: MSC 1121 | carrier_type: Air | average_rating: 3.93 | fleet_size: 1298 | years_of_service: 12 | headquarters: Germany
carrier_id: 76db0ad9-0c00-4a07-9989-b51e15950b82 | carrier_name: FedEx 1122 | carrier_type: Sea | average_rating: 3.93 | fleet_size: 4172 | years_of_service: 25 | headquarters: UAE
carrier_id: 43f5d332-6b95-427c-868c-e462000406b4 | carrier_name: Blue Dart 1123 | carrier_type: Air | average_rating: 4.04 | fleet_size: 1129 | years_of_service: 29 | headquarters: Germany
carrier_id: c49024b2-5a2e-4e51-a50a-ec0c8135b016 | carrier_name: FedEx 1124 | carrier_type: Rail | average_rating: 3.31 | fleet_size: 53 | years_of_service: 24 | headquarters: Singapore
carrier_id: 4d02e11c-b253-4a89-bfb7-0a73feb3854b | carrier_name: DB Schenker 1125 | carrier_type: Road | average_rating: 4.62 | fleet_size: 2651 | years_of_service: 14 | headquarters: Singapore
carrier_id: e2bdc2db-fb64-4be0-9cd0-6038b7c197ed | carrier_name: Allcargo Express 1126 | carrier_type: Air | average_rating: 3.95 | fleet_size: 2536 | years_of_service: 33 | headquarters: Japan
carrier_id: 4ae16081-eb9d-45aa-b156-6dbf629be17e | carrier_name: Maersk 1127 | carrier_type: Road | average_rating: 3.68 | fleet_size: 2128 | years_of_service: 10 | headquarters: Netherlands
carrier_id: b5aaf552-ed53-443c-b4be-a3a38904d3bd | carrier_name: FedEx 1128 | carrier_type: Road | average_rating: 3.54 | fleet_size: 875 | years_of_service: 19 | headquarters: Japan
carrier_id: c91275e6-c06f-437e-8c52-684d057c520d | carrier_name: Kuehne Nagel 1129 | carrier_type: Air | average_rating: 3.56 | fleet_size: 2880 | years_of_service: 26 | headquarters: China
carrier_id: e556e48d-e8e9-4ba3-853e-5276d4fb8cc2 | carrier_name: MSC 1130 | carrier_type: Air | average_rating: 3.44 | fleet_size: 1569 | years_of_service: 16 | headquarters: India
carrier_id: 0591eaf1-e335-4238-9ee9-017b9d18cd25 | carrier_name: FedEx 1131 | carrier_type: Air | average_rating: 4.83 | fleet_size: 2266 | years_of_service: 38 | headquarters: Germany
carrier_id: c42a9222-e750-4e1a-8359-d5382d4caec6 | carrier_name: Maersk 1132 | carrier_type: Road | average_rating: 3.12 | fleet_size: 2528 | years_of_service: 35 | headquarters: United States
carrier_id: a94c2f85-70c4-4604-a700-e177bbdf5025 | carrier_name: Emirates SkyCargo 1133 | carrier_type: Sea | average_rating: 3.33 | fleet_size: 3962 | years_of_service: 33 | headquarters: Singapore
carrier_id: 3851bcbc-6e18-44c0-917b-763ea1608816 | carrier_name: DHL 1134 | carrier_type: Air | average_rating: 4.84 | fleet_size: 1834 | years_of_service: 11 | headquarters: Germany
carrier_id: e5f59b13-b2af-4217-808f-0bd1ab1713c1 | carrier_name: MSC 1135 | carrier_type: Air | average_rating: 3.42 | fleet_size: 3446 | years_of_service: 13 | headquarters: Germany
carrier_id: 1b4a0800-afd8-4c2a-a190-2febc4f9f68b | carrier_name: CMA CGM 1136 | carrier_type: Road | average_rating: 4.14 | fleet_size: 3619 | years_of_service: 17 | headquarters: India
carrier_id: a6bde4ae-0a9e-474c-886f-d2a6af8459bb | carrier_name: FedEx 1137 | carrier_type: Sea | average_rating: 3.77 | fleet_size: 2845 | years_of_service: 10 | headquarters: China
carrier_id: eb091b01-1205-489a-bfe1-18ddc7d399f6 | carrier_name: Emirates SkyCargo 1138 | carrier_type: Road | average_rating: 3.6 | fleet_size: 3620 | years_of_service: 3 | headquarters: South Korea
carrier_id: e94e575f-dade-4c7e-bffd-e53237094b8c | carrier_name: DB Schenker 1139 | carrier_type: Sea | average_rating: 3.77 | fleet_size: 3655 | years_of_service: 5 | headquarters: Netherlands
carrier_id: e7f9e577-da7b-45e3-be37-7e51e1eebc30 | carrier_name: Hapag-Lloyd 1140 | carrier_type: Sea | average_rating: 4.75 | fleet_size: 921 | years_of_service: 24 | headquarters: Germany
carrier_id: 9ab3b0f7-f3a6-4c8c-acfe-39621d00489d | carrier_name: Emirates SkyCargo 1141 | carrier_type: Rail | average_rating: 3.15 | fleet_size: 3630 | years_of_service: 22 | headquarters: United Kingdom
carrier_id: 8feb49f4-ab95-41bd-8e17-3359c7113e39 | carrier_name: Allcargo Express 1142 | carrier_type: Rail | average_rating: 3.15 | fleet_size: 809 | years_of_service: 5 | headquarters: China
carrier_id: a2dd67c8-8301-4572-9191-f855dc61ef47 | carrier_name: CMA CGM 1143 | carrier_type: Sea | average_rating: 4.58 | fleet_size: 2410 | years_of_service: 20 | headquarters: United States
carrier_id: 4413fdd4-4be7-4e5e-b7d1-dd426302d344 | carrier_name: CMA CGM 1144 | carrier_type: Sea | average_rating: 3.9 | fleet_size: 2719 | years_of_service: 33 | headquarters: India
carrier_id: 5f080451-546b-4428-9251-8bcaf7b985c7 | carrier_name: MSC 1145 | carrier_type: Sea | average_rating: 3.5 | fleet_size: 260 | years_of_service: 29 | headquarters: United Kingdom
carrier_id: ba17141d-913c-4d7f-a1f7-be17b27272f6 | carrier_name: DP World Logistics 1146 | carrier_type: Road | average_rating: 4.4 | fleet_size: 4117 | years_of_service: 33 | headquarters: Singapore
carrier_id: 2ed3ec7b-0b3b-4008-b14b-439f40f03758 | carrier_name: FedEx 1147 | carrier_type: Road | average_rating: 3.84 | fleet_size: 1829 | years_of_service: 30 | headquarters: Germany
carrier_id: 3a2fe73a-cd36-4656-b456-1e4503408bb8 | carrier_name: DB Schenker 1148 | carrier_type: Road | average_rating: 3.43 | fleet_size: 1899 | years_of_service: 23 | headquarters: UAE
carrier_id: 43009511-38bf-46d5-8d9f-3f24735fe099 | carrier_name: Emirates SkyCargo 1149 | carrier_type: Air | average_rating: 3.16 | fleet_size: 3823 | years_of_service: 18 | headquarters: Germany
carrier_id: 070d8ef1-e21e-4858-9328-f5cdfebabd92 | carrier_name: FedEx 1150 | carrier_type: Air | average_rating: 4.62 | fleet_size: 558 | years_of_service: 18 | headquarters: India
carrier_id: 0567627f-5159-4a45-bae5-cee34ef60db9 | carrier_name: DP World Logistics 1151 | carrier_type: Sea | average_rating: 3.98 | fleet_size: 2819 | years_of_service: 27 | headquarters: Netherlands
carrier_id: 3026b309-5c47-4ad7-824d-9613d77270fa | carrier_name: Kuehne Nagel 1152 | carrier_type: Sea | average_rating: 3.33 | fleet_size: 3861 | years_of_service: 38 | headquarters: Germany
carrier_id: 6ca2a75e-6cea-4a41-ac13-229040b32b7d | carrier_name: MSC 1153 | carrier_type: Sea | average_rating: 4.35 | fleet_size: 1851 | years_of_service: 8 | headquarters: UAE
carrier_id: f8076c60-2463-4227-b26d-b401a44c95a7 | carrier_name: Blue Dart 1154 | carrier_type: Road | average_rating: 3.61 | fleet_size: 3065 | years_of_service: 21 | headquarters: Japan
carrier_id: 6f8d4e38-691a-4738-a51f-86ba612e98b0 | carrier_name: Kuehne Nagel 1155 | carrier_type: Sea | average_rating: 4.57 | fleet_size: 3426 | years_of_service: 4 | headquarters: United States
carrier_id: a5938aa6-557b-4a95-b528-14d28a4a5871 | carrier_name: Emirates SkyCargo 1156 | carrier_type: Sea | average_rating: 4.68 | fleet_size: 91 | years_of_service: 24 | headquarters: Germany
carrier_id: fcbd40fc-420c-4495-8a2b-606118b2d8ef | carrier_name: DHL 1157 | carrier_type: Sea | average_rating: 4.31 | fleet_size: 380 | years_of_service: 3 | headquarters: United Kingdom
carrier_id: 16cb14d1-bc31-43f7-9dfb-0d4c52a636f5 | carrier_name: CMA CGM 1158 | carrier_type: Sea | average_rating: 4.13 | fleet_size: 3898 | years_of_service: 16 | headquarters: United Kingdom
carrier_id: 87bccfbc-88ff-4908-b37c-296be26d77be | carrier_name: DP World Logistics 1159 | carrier_type: Sea | average_rating: 3.87 | fleet_size: 762 | years_of_service: 36 | headquarters: United States
carrier_id: 17ecd7c8-f462-4f68-bfa9-aa791ab715ae | carrier_name: DP World Logistics 1160 | carrier_type: Air | average_rating: 4.68 | fleet_size: 3247 | years_of_service: 34 | headquarters: Germany
carrier_id: ffa7f4c8-3aff-4e08-b062-d24fe327f577 | carrier_name: DHL 1161 | carrier_type: Sea | average_rating: 3.63 | fleet_size: 167 | years_of_service: 18 | headquarters: UAE
carrier_id: 60a0276c-b804-4862-8a90-88ef7835bffb | carrier_name: Emirates SkyCargo 1162 | carrier_type: Air | average_rating: 3.86 | fleet_size: 3253 | years_of_service: 9 | headquarters: China
carrier_id: 7971ec71-76a5-4a1e-bce8-e675916ccbd7 | carrier_name: Blue Dart 1163 | carrier_type: Road | average_rating: 4.72 | fleet_size: 97 | years_of_service: 28 | headquarters: China
carrier_id: db6ade39-4fa4-4223-aaa4-7f3c38af645a | carrier_name: Emirates SkyCargo 1164 | carrier_type: Road | average_rating: 4.18 | fleet_size: 265 | years_of_service: 6 | headquarters: UAE
carrier_id: 5000e743-50e6-4199-953b-4594d5e3efac | carrier_name: DP World Logistics 1165 | carrier_type: Sea | average_rating: 4.17 | fleet_size: 173 | years_of_service: 14 | headquarters: Singapore
carrier_id: 8b3825f1-8315-4df6-9df0-c8e159e785c4 | carrier_name: Maersk 1166 | carrier_type: Sea | average_rating: 3.76 | fleet_size: 2825 | years_of_service: 27 | headquarters: UAE
carrier_id: c29eba25-9410-4da9-ad38-56a22524c315 | carrier_name: DHL 1167 | carrier_type: Road | average_rating: 3.15 | fleet_size: 1853 | years_of_service: 22 | headquarters: United States
carrier_id: 4173f36c-62fb-4296-97a4-02d86a1bf7e0 | carrier_name: FedEx 1168 | carrier_type: Sea | average_rating: 4.76 | fleet_size: 2781 | years_of_service: 21 | headquarters: Netherlands
carrier_id: 2109a592-b1a9-4453-8af0-8204107ad09d | carrier_name: Maersk 1169 | carrier_type: Road | average_rating: 4.34 | fleet_size: 3482 | years_of_service: 16 | headquarters: Singapore
carrier_id: 99d2273a-06a0-45ca-b282-d8284c6f70f8 | carrier_name: Blue Dart 1170 | carrier_type: Road | average_rating: 3.51 | fleet_size: 700 | years_of_service: 14 | headquarters: China
carrier_id: 1db6519d-a1a7-4aef-a9cb-723e3a391c35 | carrier_name: Maersk 1171 | carrier_type: Road | average_rating: 3.88 | fleet_size: 1584 | years_of_service: 31 | headquarters: Japan
carrier_id: 4a0e67c7-26b5-4919-9952-d30f0c97a396 | carrier_name: Blue Dart 1172 | carrier_type: Road | average_rating: 3.11 | fleet_size: 3124 | years_of_service: 25 | headquarters: Singapore
carrier_id: 81c942a3-c36a-47e1-8045-898b8ba1fe73 | carrier_name: MSC 1173 | carrier_type: Road | average_rating: 4.08 | fleet_size: 3169 | years_of_service: 14 | headquarters: China
carrier_id: 194fde97-f8e6-4c87-b0dc-c4e0447feef9 | carrier_name: DHL 1174 | carrier_type: Sea | average_rating: 3.69 | fleet_size: 3291 | years_of_service: 16 | headquarters: India
carrier_id: eacb22b3-2df1-4f78-8862-d5dcc2807490 | carrier_name: Hapag-Lloyd 1175 | carrier_type: Air | average_rating: 4.18 | fleet_size: 3674 | years_of_service: 6 | headquarters: Germany
carrier_id: adabfdeb-6f24-4729-b8fe-be57775aeca6 | carrier_name: Emirates SkyCargo 1176 | carrier_type: Road | average_rating: 4.76 | fleet_size: 1298 | years_of_service: 8 | headquarters: United States
carrier_id: 457bcb02-12fc-4858-a855-637fd1985313 | carrier_name: Blue Dart 1177 | carrier_type: Air | average_rating: 4.09 | fleet_size: 2900 | years_of_service: 10 | headquarters: Japan
carrier_id: 0b64aa07-a3ae-43e2-b7d3-3fe425297268 | carrier_name: DP World Logistics 1178 | carrier_type: Sea | average_rating: 4.34 | fleet_size: 1229 | years_of_service: 9 | headquarters: United States
carrier_id: 33f9f1f3-88dd-4d74-8a19-fecb609aad87 | carrier_name: MSC 1179 | carrier_type: Sea | average_rating: 4.17 | fleet_size: 3776 | years_of_service: 22 | headquarters: United Kingdom
carrier_id: 488a33c1-584a-4506-baff-43c5c9ff1293 | carrier_name: Maersk 1180 | carrier_type: Sea | average_rating: 3.77 | fleet_size: 1284 | years_of_service: 15 | headquarters: Singapore
carrier_id: 5ef45b37-7cf7-4d7a-9dad-e2bd53cc368b | carrier_name: MSC 1181 | carrier_type: Sea | average_rating: 3.83 | fleet_size: 1801 | years_of_service: 12 | headquarters: Germany
carrier_id: 9ae5eae1-ea53-44e0-bb64-4af6be849755 | carrier_name: Emirates SkyCargo 1182 | carrier_type: Sea | average_rating: 4.49 | fleet_size: 1375 | years_of_service: 20 | headquarters: South Korea
carrier_id: 64657552-06cb-4b06-9afb-ea8cb4c68992 | carrier_name: DHL 1183 | carrier_type: Air | average_rating: 3.85 | fleet_size: 1175 | years_of_service: 32 | headquarters: United States
carrier_id: 201e9b1c-6652-4e52-9bb0-ae89ca024966 | carrier_name: CMA CGM 1184 | carrier_type: Sea | average_rating: 4.39 | fleet_size: 1781 | years_of_service: 26 | headquarters: Singapore
carrier_id: 247d0342-e7f9-4a5c-a627-3a7f5521687c | carrier_name: DB Schenker 1185 | carrier_type: Sea | average_rating: 4.61 | fleet_size: 3999 | years_of_service: 16 | headquarters: Singapore
carrier_id: 33a1a1a4-2fe5-4480-ad60-d64d842686b5 | carrier_name: DP World Logistics 1186 | carrier_type: Sea | average_rating: 3.47 | fleet_size: 3230 | years_of_service: 38 | headquarters: India
carrier_id: 2988dbbe-c329-4573-a94b-b1c0f9ca0a85 | carrier_name: Maersk 1187 | carrier_type: Sea | average_rating: 4.12 | fleet_size: 1792 | years_of_service: 29 | headquarters: Singapore
carrier_id: d580c60e-d6ac-4c07-9aa1-32bea0b4ec97 | carrier_name: Maersk 1188 | carrier_type: Road | average_rating: 3.31 | fleet_size: 2012 | years_of_service: 37 | headquarters: South Korea
carrier_id: a718c317-5360-4fa2-b955-a3d4b0b71662 | carrier_name: FedEx 1189 | carrier_type: Road | average_rating: 3.78 | fleet_size: 3315 | years_of_service: 21 | headquarters: United Kingdom
carrier_id: becb57d4-ce6e-41f1-9554-c89fe430080a | carrier_name: Blue Dart 1190 | carrier_type: Rail | average_rating: 3.83 | fleet_size: 3224 | years_of_service: 7 | headquarters: South Korea
carrier_id: bf521a35-f3ac-4f0f-8524-ef4519e9a4e9 | carrier_name: Kuehne Nagel 1191 | carrier_type: Sea | average_rating: 4.74 | fleet_size: 2110 | years_of_service: 25 | headquarters: Germany
carrier_id: 2a58766a-3651-4ecf-8e90-33f578297d5c | carrier_name: Blue Dart 1192 | carrier_type: Rail | average_rating: 3.19 | fleet_size: 3328 | years_of_service: 25 | headquarters: China
carrier_id: 08499111-a0a2-490b-8c54-87428d9a477a | carrier_name: DP World Logistics 1193 | carrier_type: Air | average_rating: 3.23 | fleet_size: 1010 | years_of_service: 29 | headquarters: United Kingdom
carrier_id: 498ca7ff-1393-4580-84ac-53d376884700 | carrier_name: MSC 1194 | carrier_type: Road | average_rating: 4.52 | fleet_size: 1220 | years_of_service: 31 | headquarters: Germany
carrier_id: 9cc96a81-96b6-4ac2-aa54-5d1034546eb9 | carrier_name: DP World Logistics 1195 | carrier_type: Road | average_rating: 3.66 | fleet_size: 2718 | years_of_service: 26 | headquarters: UAE
carrier_id: 1d918985-d202-47b3-9ef5-0d5c0a33d3d7 | carrier_name: MSC 1196 | carrier_type: Rail | average_rating: 4.26 | fleet_size: 1948 | years_of_service: 15 | headquarters: South Korea
carrier_id: 12aeb4b2-7e17-4379-88d9-2b0fbaef64a6 | carrier_name: DB Schenker 1197 | carrier_type: Air | average_rating: 4.8 | fleet_size: 3586 | years_of_service: 37 | headquarters: Germany
carrier_id: 09cde429-dec4-4d4a-befd-9b18b4d89017 | carrier_name: Kuehne Nagel 1198 | carrier_type: Sea | average_rating: 4.03 | fleet_size: 3982 | years_of_service: 18 | headquarters: United Kingdom
