Sheet Name: AI_Inference_Log

inference_id: 095fcec2-7a82-43af-9b05-26769481008d | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | model_id: a516984e-2c08-4916-847c-7fe4e5e6164f | prediction_timestamp: 2026-01-01 17:27:00 | delay_probability: 0.06664 | risk_category: Low | latency_ms: 486
inference_id: e7fd309e-e3e5-46eb-a75c-14dfb08b1ff5 | shipment_id: 190ce45a-e3bd-455e-a4fe-8826c8668a45 | model_id: faec9a3a-10d3-4789-953f-e8782e67b3cb | prediction_timestamp: 2025-04-27 16:04:00 | delay_probability: 0.24168 | risk_category: Low | latency_ms: 85
inference_id: 06402abf-26f2-4e9b-9b09-335ea53f562d | shipment_id: 35ea7aab-7c34-4db4-a68f-303bcc0a3076 | model_id: 70b850f4-eab5-4c3a-ba7d-da06863879c3 | prediction_timestamp: 2026-02-22 17:09:00 | delay_probability: 0.35033 | risk_category: Medium | latency_ms: 193
inference_id: fb35c9d0-a2b2-40b6-bb18-b5b05497b38e | shipment_id: 3609232d-8b3a-4155-b2da-e21d9b710d63 | model_id: d7abda9a-a6ec-4928-b7fa-200fd94bb26c | prediction_timestamp: 2025-03-07 16:19:00 | delay_probability: 0.05847 | risk_category: Low | latency_ms: 95
inference_id: 6c0494d5-0621-4ac6-b5a3-f15ebafb27ae | shipment_id: 3ccf31a2-2dbd-442b-a637-292c13a2d278 | model_id: bee945d3-6e27-429a-bbfa-a3cd7444005f | prediction_timestamp: 2025-06-23 13:06:00 | delay_probability: 0.29655 | risk_category: Medium | latency_ms: 359
inference_id: 915bb780-d98a-4d17-abc4-a917a89eef89 | shipment_id: e52ba49c-2ea2-42b0-8461-8038db61b33a | model_id: 045ad7f0-09e8-460a-8611-2bfa05dc39a1 | prediction_timestamp: 2025-09-17 12:42:00 | delay_probability: 0.64847 | risk_category: High | latency_ms: 669
inference_id: 671d579b-b2ec-4827-8e26-7ee4194241a7 | shipment_id: 2c02e2c5-5419-426e-ac9a-7b9db0fae71e | model_id: 217cf5ce-505c-4490-b9c0-ec76a42c29c9 | prediction_timestamp: 2025-07-11 16:44:00 | delay_probability: 0.18685 | risk_category: Low | latency_ms: 322
inference_id: 4e9bc61e-3f47-4282-bb01-5b4bda9821aa | shipment_id: 134599e7-9a24-49fb-bffc-4857fdb4d838 | model_id: 67887a5d-75d7-435a-a065-f7f4c25a87db | prediction_timestamp: 2025-02-20 13:25:00 | delay_probability: 0.26158 | risk_category: Low | latency_ms: 770
inference_id: 5e3710ea-827c-4206-a648-16c544206b6f | shipment_id: b6c843bf-6be7-49a9-bf8d-48793d32e87f | model_id: 20a93066-1c9f-4341-b4ed-8672a67fc88a | prediction_timestamp: 2025-10-31 08:27:00 | delay_probability: 0.83448 | risk_category: Critical | latency_ms: 122
inference_id: b17339c6-c510-420c-99ab-c3425e7d0005 | shipment_id: 642e31c0-c26f-473f-9279-b3794a0b1b05 | model_id: 65e2f2ea-414a-43e7-ba41-c482a18a86ed | prediction_timestamp: 2025-05-13 18:22:00 | delay_probability: 0.18532 | risk_category: Low | latency_ms: 156
inference_id: 291e6510-1cf2-4709-ab7f-07a7a045ae76 | shipment_id: f2303e08-b024-4415-bc09-0df3ec129e4f | model_id: 2f05df03-7e9f-4fb9-94fd-391351e36922 | prediction_timestamp: 2025-11-29 21:14:00 | delay_probability: 0.19886 | risk_category: Low | latency_ms: 517
inference_id: 29ec81d5-dea5-4d12-8bb6-aaa05bdcc595 | shipment_id: 76636e4a-e6f3-401b-b634-20f4519bd58e | model_id: f63412f2-5c81-4ab7-98b3-0a87a6cfab3b | prediction_timestamp: 2025-09-20 12:42:00 | delay_probability: 0.46422 | risk_category: Medium | latency_ms: 427
inference_id: cfbe646c-f5ee-4f2b-b777-6f3a12229aea | shipment_id: e770f2f5-4577-42a0-ae97-68898df758c1 | model_id: 41d1cee1-f69d-4693-ad99-969a067a6153 | prediction_timestamp: 2025-06-25 13:26:00 | delay_probability: 0.53744 | risk_category: Medium | latency_ms: 172
inference_id: ed8f853a-e19c-4c51-ac3c-16040bcf2c56 | shipment_id: e205648c-d62c-4743-adfd-3ccc9a8501f6 | model_id: 447f4a6b-c241-4736-aace-b9b40d17d375 | prediction_timestamp: 2025-01-18 14:41:00 | delay_probability: 0.71338 | risk_category: High | latency_ms: 272
inference_id: 9264c2a8-3b05-4121-9ec0-bc5b18a9575b | shipment_id: 9ff5de6c-6434-4231-bd0b-d80e9a82522b | model_id: f339b065-02bc-42c1-b5be-8ba71161cf9b | prediction_timestamp: 2025-06-22 16:46:00 | delay_probability: 0.08377 | risk_category: Low | latency_ms: 778
inference_id: 29d02b0a-7d82-4053-8199-f285e4f11ac2 | shipment_id: 7bea9601-41ae-4a60-8e06-ac68e19b0581 | model_id: 4ce8ed2b-492e-4bdd-bf44-a9fca661a389 | prediction_timestamp: 2025-09-10 10:39:00 | delay_probability: 0.08524 | risk_category: Low | latency_ms: 735
inference_id: e330cdf4-b952-48ab-8c14-66f6161d2353 | shipment_id: 3727343b-94e0-4460-b054-c2d73972c7ed | model_id: 91496bd4-91b3-4e56-b616-e3fee906ab35 | prediction_timestamp: 2025-02-16 21:51:00 | delay_probability: 0.13233 | risk_category: Low | latency_ms: 434
inference_id: 9b07a0e2-d771-4eae-ab47-440e75f04db1 | shipment_id: 54b86443-3dc1-4f19-ab69-dad47d874f52 | model_id: 204282af-d396-40c6-be33-6eb2997fc2d2 | prediction_timestamp: 2026-03-02 14:36:00 | delay_probability: 0.36327 | risk_category: Medium | latency_ms: 497
inference_id: c8f7182e-9bfc-4cd7-91f9-b5e49c63ec29 | shipment_id: facfef9c-57bd-4f39-8109-d7d61edb5a18 | model_id: 78d231c0-0db7-4295-957c-b3a634a3fbe1 | prediction_timestamp: 2025-11-05 21:44:00 | delay_probability: 0.27363 | risk_category: Low | latency_ms: 265
inference_id: 2fb86f01-e7ec-41a0-b5ae-f9bc113eb9dd | shipment_id: 02963c68-cd4e-4fee-84f8-faa3aedf1af4 | model_id: 451f9b1f-1003-4575-941d-12d562630d33 | prediction_timestamp: 2025-07-11 13:46:00 | delay_probability: 0.39066 | risk_category: Medium | latency_ms: 672
inference_id: f9d37bb6-a3cd-4c7b-8e90-c5552906d758 | shipment_id: 9022ffe1-4e93-4ce9-add8-caa982d83041 | model_id: b89b8340-d39a-4848-8d02-3beb8c556207 | prediction_timestamp: 2025-01-27 12:51:00 | delay_probability: 0.56641 | risk_category: High | latency_ms: 392
inference_id: ef3f86d8-ff4f-4d4f-881b-c8e905c14a7c | shipment_id: 13bd7ac0-06cc-4dcd-b7c1-f5dffc557741 | model_id: a0932b79-5866-4b18-9b69-36698629acd0 | prediction_timestamp: 2025-09-23 11:26:00 | delay_probability: 0.08981 | risk_category: Low | latency_ms: 69
inference_id: 67f93861-4832-4d16-b6f8-cda364fe9887 | shipment_id: 83201487-85bf-4753-b8d4-05d4b01a213c | model_id: 65e2f2ea-414a-43e7-ba41-c482a18a86ed | prediction_timestamp: 2025-02-08 12:06:00 | delay_probability: 0.19991 | risk_category: Low | latency_ms: 107
inference_id: 58a4f7ab-979d-4b8c-8f61-842bc78a7f6d | shipment_id: 042dd508-b066-479f-af8d-d28bbc97312e | model_id: fc25104b-879a-4287-873a-1c4eeeb8b6cb | prediction_timestamp: 2025-10-28 10:17:00 | delay_probability: 0.5211 | risk_category: Medium | latency_ms: 378
inference_id: 9fcb141a-2fcc-4488-903e-60c75ff14b31 | shipment_id: 7e13f694-52f8-4e9f-bf55-872a5c295a09 | model_id: 332733bd-c031-44df-9040-04b687dfebc1 | prediction_timestamp: 2026-01-21 12:00:00 | delay_probability: 0.1527 | risk_category: Low | latency_ms: 389
inference_id: 0e5db4f8-3417-4bd9-94f1-0907f6f048bd | shipment_id: e625c2bd-6807-4fae-940f-bf2d65cbe20d | model_id: 88fee5db-b724-4b30-97fb-0ff542840bf9 | prediction_timestamp: 2025-09-01 12:03:00 | delay_probability: 0.10211 | risk_category: Low | latency_ms: 159
inference_id: b0ceb1f8-2b44-462e-9fd3-744f8e297974 | shipment_id: c3550877-a7ff-458d-a046-2ac0a4b73895 | model_id: 79107657-d568-4a66-adc8-f0edaed2a2fa | prediction_timestamp: 2025-09-17 08:40:00 | delay_probability: 0.11629 | risk_category: Low | latency_ms: 645
inference_id: c25e6350-37b1-43e0-9b69-4bba451f59e3 | shipment_id: 9ca73e57-2875-4f1a-b9da-45bea118dc8a | model_id: bc9ffa17-05ed-45bf-b677-86000a5207f9 | prediction_timestamp: 2025-04-23 13:10:00 | delay_probability: 0.51612 | risk_category: Medium | latency_ms: 118
inference_id: 6c544cdf-6200-4cd3-b537-908ddf250a73 | shipment_id: bebc0191-7522-493c-84b7-afdd178c7c0d | model_id: 6731a57f-1b5a-4e12-b2ea-1453725c3014 | prediction_timestamp: 2025-01-16 16:53:00 | delay_probability: 0.35197 | risk_category: Medium | latency_ms: 241
inference_id: 32c75a37-bb67-4433-9fa9-b3a5852472e3 | shipment_id: d04dff3a-b9d6-4d23-8954-b1444e791060 | model_id: 8c6f33a9-50b8-40cc-a02d-2b07f0d5bde2 | prediction_timestamp: 2025-06-03 16:45:00 | delay_probability: 0.58687 | risk_category: High | latency_ms: 714
inference_id: 0c4aaa26-8560-4af2-94b5-96642548548f | shipment_id: c141f9e0-0710-40b0-a1f8-5de7b9caf799 | model_id: f371a19a-3c05-4965-a583-53065783b476 | prediction_timestamp: 2026-04-02 20:09:00 | delay_probability: 0.49564 | risk_category: Medium | latency_ms: 73
inference_id: ca0b7b6f-6bdd-4e17-88cc-cfcfaf882940 | shipment_id: 8fbc6504-df16-4696-99e7-31596535cbbf | model_id: 07e9f0ef-14fa-4482-9910-264a1e88b9b9 | prediction_timestamp: 2025-06-28 20:05:00 | delay_probability: 0.09135 | risk_category: Low | latency_ms: 748
inference_id: 1a80ecd0-f083-4927-a111-2ffde7686ea5 | shipment_id: a840b6da-cbd6-4d3a-a95c-8de711bc3ef8 | model_id: 1eb25a5c-c9cd-4091-8d15-613c3b64666a | prediction_timestamp: 2025-11-15 14:52:00 | delay_probability: 0.22426 | risk_category: Low | latency_ms: 476
inference_id: ec4211d7-741a-4c1b-bdd3-8ceaed2c7d48 | shipment_id: 5c10d13c-628e-4c86-926d-85736c8a6858 | model_id: b656f3a9-45dc-48da-817a-059c793cc3bd | prediction_timestamp: 2025-12-09 15:45:00 | delay_probability: 0.47239 | risk_category: Medium | latency_ms: 98
inference_id: 3092b1ba-c3cd-4c05-8b0f-051e01abaef3 | shipment_id: f6843947-0aec-4044-891f-88c04af0f54c | model_id: 472bbe79-56bf-43bb-928d-0b690c8b6a42 | prediction_timestamp: 2025-01-22 17:13:00 | delay_probability: 0.23898 | risk_category: Low | latency_ms: 135
inference_id: f4a69f58-da3a-47a4-840b-59a9a9bd896b | shipment_id: 5206d969-0b1d-42ed-9ba6-8f3216950645 | model_id: ba714afe-2f6c-4d33-adf8-14d34516c836 | prediction_timestamp: 2026-01-13 19:03:00 | delay_probability: 0.28431 | risk_category: Medium | latency_ms: 107
inference_id: feab144d-9149-4b85-8bc6-fe5369aaf59b | shipment_id: cb6ab04a-3337-47f7-9f4d-7e8d816a8841 | model_id: 12a65290-c09c-423d-b4d2-0758520edd08 | prediction_timestamp: 2025-08-10 16:15:00 | delay_probability: 0.05182 | risk_category: Low | latency_ms: 672
inference_id: 9eaf7aa3-3f2e-490a-8412-5a20f9243c75 | shipment_id: 1193b8bc-2189-450d-b625-f1260f8fffac | model_id: cecf12bf-9360-461e-9346-7b5b1d2d920c | prediction_timestamp: 2025-08-31 14:52:00 | delay_probability: 0.73836 | risk_category: High | latency_ms: 50
inference_id: e1c7e3ad-2380-4391-afcf-ab1c98ad6e37 | shipment_id: 2cb511b6-c54e-40d2-b067-541a05d9e105 | model_id: 67cf4303-6f23-458a-99b9-2a04fcd47f14 | prediction_timestamp: 2025-09-05 11:17:00 | delay_probability: 0.30825 | risk_category: Medium | latency_ms: 560
inference_id: 3d4a77c4-393d-432c-8812-4828ced2ef69 | shipment_id: 1587fa19-cc96-4fb1-88ad-a78beec576bf | model_id: f2dea9de-868d-4930-a35c-c7a653f5f745 | prediction_timestamp: 2025-11-27 15:00:00 | delay_probability: 0.5156 | risk_category: Medium | latency_ms: 714
inference_id: f201008f-56cf-4fbe-ba3f-36e12ff31e30 | shipment_id: cc60d035-ff07-4eb0-9400-47e1dc84f656 | model_id: 34493434-052e-4ee4-9d58-2f8fba336f67 | prediction_timestamp: 2025-09-10 16:15:00 | delay_probability: 0.33818 | risk_category: Medium | latency_ms: 253
inference_id: f146aaa8-7599-4d5a-8241-d44caaaa141c | shipment_id: 13413dd7-2fa4-47c2-9650-36ec70f0edb6 | model_id: d9c9d6d3-ada6-4277-9206-a863727f05f6 | prediction_timestamp: 2025-08-01 18:34:00 | delay_probability: 0.26576 | risk_category: Low | latency_ms: 556
inference_id: 3cae96d8-3f11-420a-aded-d4f7b7536d5a | shipment_id: a4b0c38f-6f72-4fe1-b430-9c2b2a8db8cf | model_id: 6085d7b4-afa0-4a40-bf30-a3cd83e319b9 | prediction_timestamp: 2026-01-20 16:28:00 | delay_probability: 0.04605 | risk_category: Low | latency_ms: 182
inference_id: 26a904b2-1a49-41bd-b96e-8a86a881876c | shipment_id: 99dc17ed-f484-4b82-9a3f-fbfc22b338aa | model_id: 9521428a-5ba9-4ce4-b365-6f7b26b8f97c | prediction_timestamp: 2025-12-15 18:36:00 | delay_probability: 0.12736 | risk_category: Low | latency_ms: 164
inference_id: 16b7ff1c-7114-4b04-8a50-b152933e20a4 | shipment_id: bd79c330-6b88-460a-aad1-ddedb9af7d97 | model_id: cb93cce1-511a-4137-89a0-a3d033ddf189 | prediction_timestamp: 2025-12-09 14:25:00 | delay_probability: 0.14855 | risk_category: Low | latency_ms: 514
inference_id: b59a0657-f2f9-4882-bfbf-306a39df97cc | shipment_id: 2e402f0e-15ab-4be2-aa24-e88a58d77cf8 | model_id: ad3b7133-405f-4d5c-8924-d489d0f01d3e | prediction_timestamp: 2026-01-02 16:01:00 | delay_probability: 0.11364 | risk_category: Low | latency_ms: 125
inference_id: cbe28feb-d028-4f12-9ddb-f15273dccf81 | shipment_id: c8a0af4e-b793-4359-8b14-d228169c8cb7 | model_id: 73bf0973-c382-443f-9e40-4a492616cb0a | prediction_timestamp: 2025-05-25 18:12:00 | delay_probability: 0.23145 | risk_category: Low | latency_ms: 665
inference_id: 8f90fba2-94c2-45ce-8b3a-723f1807af38 | shipment_id: 0e6f5faf-b948-4e5c-802e-a44b63452e6d | model_id: 49d032de-7ccf-497b-814a-c6fe7c8e01a8 | prediction_timestamp: 2025-04-07 20:15:00 | delay_probability: 0.13658 | risk_category: Low | latency_ms: 533
inference_id: 44c4fa57-d87d-48d5-980a-ac5328d77577 | shipment_id: 372908a4-b622-4bcf-8edb-a10fbbcc6f76 | model_id: bdfa3549-158a-4662-a25b-b531c06da2f8 | prediction_timestamp: 2025-01-29 18:03:00 | delay_probability: 0.1521 | risk_category: Low | latency_ms: 493
inference_id: 4693d3ca-cfd5-4250-bb7e-8135e1d3ecbe | shipment_id: 092c3a02-f321-44e4-9ac0-e3484de09ec0 | model_id: 2709d7ac-bb4a-47b6-aa24-5ad5e039dbe7 | prediction_timestamp: 2025-10-29 17:49:00 | delay_probability: 0.17328 | risk_category: Low | latency_ms: 401
inference_id: e6414944-b3a3-4d87-9797-e274dd794ea3 | shipment_id: cfb19ebe-3b52-4b3e-ad71-217f9512262b | model_id: ff09fa7a-ab38-4eb2-9356-0b7b21c988e9 | prediction_timestamp: 2026-01-26 18:58:00 | delay_probability: 0.14266 | risk_category: Low | latency_ms: 653
inference_id: 2b7520b6-7196-461f-af27-51096b55b0a1 | shipment_id: 058a4df2-a2e2-4763-a595-0a6476fdcaaa | model_id: db210a6d-e103-460b-bf67-95589b7c2154 | prediction_timestamp: 2025-09-12 17:05:00 | delay_probability: 0.14702 | risk_category: Low | latency_ms: 290
inference_id: 7d30f747-c95b-4cfd-b3b7-d85b9e8802ec | shipment_id: d6b8eb00-a8b3-47f6-b66d-d8323a013a05 | model_id: 2ac9a75f-4662-4c49-8363-e4b8323105ab | prediction_timestamp: 2025-03-22 18:01:00 | delay_probability: 0.22712 | risk_category: Low | latency_ms: 215
inference_id: 30770f34-2ff1-4207-a91f-ea82c9da2f4f | shipment_id: ca597302-37dd-451c-8cc9-5359b0ee309c | model_id: 60fdc513-f6e4-4fcf-a060-962d86971ae8 | prediction_timestamp: 2025-02-18 15:16:00 | delay_probability: 0.04207 | risk_category: Low | latency_ms: 127
inference_id: 90f741d9-c9d7-45cb-97de-1b56f8ad3bf0 | shipment_id: 58512ff3-bf2f-4308-bbf0-f148a62f7e73 | model_id: 4b451d09-d6d4-4e56-b250-a78f9d2695f2 | prediction_timestamp: 2025-03-22 19:47:00 | delay_probability: 0.08592 | risk_category: Low | latency_ms: 61
inference_id: b9263e88-0c72-434c-b2db-01c1f6847e5e | shipment_id: bcabb58c-2c9c-4a2f-bc6f-faf3ae14e8a4 | model_id: a4feb3b7-716f-4932-a001-178947756ad6 | prediction_timestamp: 2025-02-26 16:14:00 | delay_probability: 0.23465 | risk_category: Low | latency_ms: 293
inference_id: fba1492c-8923-469d-b196-6fbd67f41695 | shipment_id: d0e551f0-75fe-458a-98aa-85d2e874fc4e | model_id: 2556d919-b9c1-45e7-b2b7-7dcb787eed4f | prediction_timestamp: 2025-01-20 10:48:00 | delay_probability: 0.24814 | risk_category: Low | latency_ms: 520
inference_id: 89454c02-afdb-45d7-9a3c-1a662b956421 | shipment_id: e84754ee-90a7-49d8-b1cb-91e25d6f14b1 | model_id: a7ba10a6-1237-4a39-a7d5-13aaf08a2e48 | prediction_timestamp: 2025-06-02 11:39:00 | delay_probability: 0.06133 | risk_category: Low | latency_ms: 437
inference_id: edf15cdc-49f5-4180-b461-b1e19a631ee4 | shipment_id: b2ba2915-4bbc-4cb3-a436-4ac74d900143 | model_id: 1b5525cb-97b3-4933-a1c4-f636770180a6 | prediction_timestamp: 2025-08-08 18:35:00 | delay_probability: 0.53473 | risk_category: Medium | latency_ms: 151
inference_id: b86cb7b7-68ab-4a4f-9070-064436349c3d | shipment_id: 1e93ec7e-3b7d-4bbb-9c2c-f2e2b4bbdb61 | model_id: 9bde6705-c1f6-493e-aa2a-af6fcef71f6e | prediction_timestamp: 2026-03-10 10:35:00 | delay_probability: 0.10764 | risk_category: Low | latency_ms: 185
inference_id: 26249077-e052-433f-aeb9-fbef73ed20b2 | shipment_id: ec47850d-896c-4165-a499-6ce1ffcc4e0f | model_id: b5330d5a-a0b3-40b1-900d-7e44fd2da35b | prediction_timestamp: 2025-06-14 13:34:00 | delay_probability: 0.10177 | risk_category: Low | latency_ms: 644
inference_id: 5a74f14b-922f-4b63-b962-0a1abaa10733 | shipment_id: 52cd332f-7741-49f7-92f5-5d96fdcc831e | model_id: 2ac9a75f-4662-4c49-8363-e4b8323105ab | prediction_timestamp: 2025-10-04 12:27:00 | delay_probability: 0.46007 | risk_category: Medium | latency_ms: 264
inference_id: b846de68-f1b4-45b0-9191-b9a12e38e458 | shipment_id: 685d6ba9-d20d-4190-9be3-6c2c4e6b6cef | model_id: fc98655b-e3ef-48da-a341-c25b080ab345 | prediction_timestamp: 2025-09-07 10:11:00 | delay_probability: 0.046 | risk_category: Low | latency_ms: 176
inference_id: 761524b1-e67c-49f3-9252-2e58e8b919e2 | shipment_id: 93db8f47-0168-416d-a8ef-f20d04b97955 | model_id: 74e9bfea-4579-4ca4-a9c2-198f22bad34d | prediction_timestamp: 2025-01-30 13:05:00 | delay_probability: 0.10629 | risk_category: Low | latency_ms: 207
inference_id: 1cdb6e04-d74d-43b4-8753-f4cea52335a0 | shipment_id: 7e6ff434-d3c5-4ea2-9e34-5ca91ac47015 | model_id: 23e5c221-cf06-4784-a65b-7df6ad85ae46 | prediction_timestamp: 2026-03-12 17:40:00 | delay_probability: 0.32422 | risk_category: Medium | latency_ms: 240
inference_id: f21e0b09-35b1-4532-b7af-b85939eda415 | shipment_id: 07714664-15ef-4f28-8288-279314363ac4 | model_id: 30d786a3-305f-4aa3-9034-7c7cc211e269 | prediction_timestamp: 2025-07-24 16:41:00 | delay_probability: 0.22173 | risk_category: Low | latency_ms: 597
inference_id: 066857c8-e72c-4040-966e-6fc2b9076c37 | shipment_id: f282ef7f-9586-479e-b359-ec4a69f685ae | model_id: 5d4c4d8a-24f3-43d0-a3b6-ff1dc7b45c6e | prediction_timestamp: 2025-01-19 19:48:00 | delay_probability: 0.78685 | risk_category: Critical | latency_ms: 378
inference_id: 917aaafa-f602-4220-928a-d5c67f8daef7 | shipment_id: c3eb1189-9de3-41b9-a7a4-77737986ff41 | model_id: 89629235-4d4d-4f6d-9d05-8bd6ecc94a9e | prediction_timestamp: 2025-04-04 13:54:00 | delay_probability: 0.35785 | risk_category: Medium | latency_ms: 761
inference_id: 55b60230-5bea-486a-a69a-51930e5d7f8d | shipment_id: d459aba0-4cca-4345-9798-6af15aa3c5f0 | model_id: 59f24230-c65b-4db4-876d-652a2d87f3df | prediction_timestamp: 2025-05-30 23:27:00 | delay_probability: 0.29223 | risk_category: Medium | latency_ms: 484
inference_id: b24c46e2-a0e0-4a7a-a4ac-bfd7af27e3a2 | shipment_id: 187ea3ee-ebe1-48fa-91ea-8f754f59e815 | model_id: f9516056-7345-416a-b0f0-3d945ab7f288 | prediction_timestamp: 2025-04-30 10:52:00 | delay_probability: 0.66931 | risk_category: High | latency_ms: 268
inference_id: 0bb12735-4b71-4dba-b482-7bd341b5bc18 | shipment_id: 87473e7b-63fe-4ff8-ba96-b62f1d667403 | model_id: 81449a87-69cd-43c4-88ce-2e6f3cd12cb6 | prediction_timestamp: 2025-03-27 08:20:00 | delay_probability: 0.2184 | risk_category: Low | latency_ms: 646
inference_id: 7561e7a4-c09a-410a-8b0c-64e1a0791ecd | shipment_id: a99d57de-5147-4954-9f2b-8b0514cc74ef | model_id: 13c9da42-6b85-450c-8003-f8f1d19e88f7 | prediction_timestamp: 2026-01-21 11:20:00 | delay_probability: 0.17872 | risk_category: Low | latency_ms: 436
inference_id: 3ee6a10e-3e4e-4368-937f-3b73b43b2aae | shipment_id: 84c161bd-c9ae-41fa-a277-9e0ebc68257e | model_id: 472bbe79-56bf-43bb-928d-0b690c8b6a42 | prediction_timestamp: 2025-01-12 15:16:00 | delay_probability: 0.35785 | risk_category: Medium | latency_ms: 514
inference_id: 22e5aadf-afe9-4e41-96d0-c7842f2d9c5f | shipment_id: 3bf8ea34-bc69-4b91-8052-661fc7af9e67 | model_id: 81ca081b-11eb-44d3-a87a-d77834a76d06 | prediction_timestamp: 2025-09-12 19:19:00 | delay_probability: 0.15612 | risk_category: Low | latency_ms: 754
inference_id: b7b75d4a-310e-43f9-896a-54705d5cab08 | shipment_id: 46024c6d-eb18-40e9-be87-93f34c2a7eab | model_id: a9f06622-85ea-49fd-abcc-54b49252fd64 | prediction_timestamp: 2026-02-13 14:22:00 | delay_probability: 0.1499 | risk_category: Low | latency_ms: 739
inference_id: e79f7eda-4266-4df4-a160-7f1b33799e4c | shipment_id: 25aa9194-9039-4096-a30b-570eb3bfcf4e | model_id: 0786c02f-18c7-4f46-949c-ec1137f67e87 | prediction_timestamp: 2025-03-22 13:57:00 | delay_probability: 0.015 | risk_category: Low | latency_ms: 445
inference_id: 2263cf8b-f8f8-4d5e-95bc-ce850656e1ad | shipment_id: b53484bd-122c-408f-952e-e4852d877162 | model_id: 41f0a9f3-fc38-450b-823c-7cf8e0cca1cd | prediction_timestamp: 2025-01-16 19:30:00 | delay_probability: 0.261 | risk_category: Low | latency_ms: 187
inference_id: 9dc0eb01-a93c-4744-9de5-16f2a3e8f300 | shipment_id: dacc3a5c-632e-4c41-a1c8-902eb4848517 | model_id: d7ab21e5-83a4-43a1-b862-71cc4faa3514 | prediction_timestamp: 2025-08-12 20:24:00 | delay_probability: 0.07599 | risk_category: Low | latency_ms: 509
inference_id: 19aa738c-0f6d-4af9-9e92-197bdd4474b7 | shipment_id: bbcb7877-0664-4500-a7d9-fc372a853111 | model_id: ea5d4e93-98ac-439c-bd0f-be038789c470 | prediction_timestamp: 2026-02-25 18:37:00 | delay_probability: 0.41344 | risk_category: Medium | latency_ms: 768
inference_id: b3360013-9d69-442c-a68e-a77136fbd85a | shipment_id: c3ef925e-ed99-420e-8a7d-a23a6b19ec46 | model_id: 459e2b3d-bd1b-470a-a8c1-e4f61ac03654 | prediction_timestamp: 2025-05-27 11:35:00 | delay_probability: 0.09637 | risk_category: Low | latency_ms: 623
inference_id: 1f7f4a48-564a-4166-9d28-b75d8a7413e8 | shipment_id: b95199fe-7384-49be-bd92-61c5ed52b574 | model_id: 84c1bcd3-8857-4a17-b4b8-6b93e1ac7690 | prediction_timestamp: 2025-05-30 12:46:00 | delay_probability: 0.18628 | risk_category: Low | latency_ms: 281
inference_id: 1ed646cd-d29b-4740-b995-b3a3648e3311 | shipment_id: 9c451479-f6cc-4b01-a463-6ed5690de64f | model_id: dffbf4ac-e483-4866-b8e4-0783d4edb045 | prediction_timestamp: 2026-02-16 10:19:00 | delay_probability: 0.33054 | risk_category: Medium | latency_ms: 728
inference_id: 039390c4-7cb5-4d83-951c-a747034f8b96 | shipment_id: fd9aac3e-b931-45f4-96e5-00183d4243ba | model_id: bd178cfe-e477-4142-aaa6-43d1e2bd2c51 | prediction_timestamp: 2025-10-16 12:28:00 | delay_probability: 0.03857 | risk_category: Low | latency_ms: 340
inference_id: e24bb565-c5f7-4f89-84ce-5282efd3bdb6 | shipment_id: d108a628-0c2e-4c6d-9b77-43e0f6090f60 | model_id: f9acbd4c-d4d8-4b2a-ab55-216eb8753e58 | prediction_timestamp: 2025-10-09 11:04:00 | delay_probability: 0.2286 | risk_category: Low | latency_ms: 86
inference_id: 81d54d56-39c1-428d-897f-419040756b61 | shipment_id: f2f63c08-af29-4ea2-b9bb-1632e0532133 | model_id: 178cdef3-61a3-4e04-b6bf-90944302dd99 | prediction_timestamp: 2025-05-07 21:29:00 | delay_probability: 0.30522 | risk_category: Medium | latency_ms: 348
inference_id: 77078fab-9936-49a0-a46e-e57ba32f4678 | shipment_id: c4e233d0-e828-4a54-bff4-cf70df7e03ea | model_id: 5a95c05b-8ee5-4200-988a-b057d23003df | prediction_timestamp: 2025-05-14 16:20:00 | delay_probability: 0.3175 | risk_category: Medium | latency_ms: 598
inference_id: 2f35c38c-f718-4948-bbb2-bfbdd9e6ba60 | shipment_id: e2e4fa68-9939-483e-b0ea-3db5b668e594 | model_id: 9a3d1bce-196f-4172-bf99-a88c87067d76 | prediction_timestamp: 2025-11-01 21:56:00 | delay_probability: 0.45617 | risk_category: Medium | latency_ms: 500
inference_id: af767d29-aa83-41f4-ac56-f89cb75a0ae5 | shipment_id: baa9ff60-6b2c-460e-b922-9f9e6f29df1f | model_id: bbad9646-f050-40fb-afce-42eeda423e75 | prediction_timestamp: 2025-09-01 19:15:00 | delay_probability: 0.1382 | risk_category: Low | latency_ms: 292
inference_id: 929ddbf3-e232-4345-a9d0-016c57b36fd5 | shipment_id: 4c3aa740-eb7d-41ed-a668-ef966007c219 | model_id: 4ed44c20-ee15-4cfd-863c-9fac1a457666 | prediction_timestamp: 2025-03-29 18:54:00 | delay_probability: 0.09943 | risk_category: Low | latency_ms: 537
inference_id: e75e4e44-8847-4f7c-aaca-c7efef813cce | shipment_id: ed5196b9-9fc9-4ffe-ad9e-9872f17b50b9 | model_id: 53a787ef-39b0-42e2-83fd-4d238f68761c | prediction_timestamp: 2026-01-06 19:47:00 | delay_probability: 0.26152 | risk_category: Low | latency_ms: 378
