Sheet Name: AI_Monitoring_Alerts

alert_id: 6bdb5358-2bc5-47ca-88fc-2d7ee42bfccc | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | inference_id: 095fcec2-7a82-43af-9b05-26769481008d | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: c1451373-4a1f-433e-b6d8-fc45d492e6f5 | shipment_id: d05492f0-0a50-469e-80db-a0b2cf51b4e2 | inference_id: e6dd420e-dae1-4665-9976-3da317950b9e | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 6900d892-17f2-4f46-a22b-2f83c6c27668 | shipment_id: d442548a-c35c-4abf-a4ac-445d7eb4601c | inference_id: c474f047-78fe-4b58-aff7-60109240ea65 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 4b9d79e8-cc42-44fc-9ad5-e96d3c978562 | shipment_id: 5b008b16-3ef7-48ea-98e4-94e6f5ad102d | inference_id: 11c3e4d4-e04d-477f-aca5-c5e254e0ba71 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: cba1afb3-2c6b-4b53-a94c-2202ee0e81bc | shipment_id: 226ce112-c953-47cb-9b6f-9f4e3492ad6a | inference_id: 2ca35837-d551-4258-84f0-4e357e90bb09 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: a90edbfd-1e8c-4128-9dda-93967fc8ebde | shipment_id: b5cb6f83-2544-4151-b9a9-550a7fba0c3c | inference_id: a0910ace-a090-4627-8a6e-ce931d20df62 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: cd37d219-1483-4cfe-a8fd-623dbd256644 | shipment_id: cb9cbe03-6128-4a8a-9822-cd678e7abe4b | inference_id: 1832e19d-3942-4a64-81f3-123c43bd8d28 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 36c9d73d-7a2a-42f7-84de-477d72b06181 | shipment_id: 7766b6fd-12de-41f6-b337-fda621e70f87 | inference_id: d9e5417a-2339-4a48-9bd2-395d64b47394 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: e8267b29-d98e-49e1-9e44-2d680aca81b2 | shipment_id: 1a3167a3-aece-4a5f-9109-092d65830fa8 | inference_id: 1386c1d7-5447-408c-86d3-eb66c5c49ddb | alert_type: Document issue | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Resolved
alert_id: 0cfdfc89-8138-4aaa-a956-b2e7f76766ad | shipment_id: 56fd92b7-2b78-4a37-a054-4799b2b6591b | inference_id: 44689047-de1d-433e-a4ea-5cea8efb13e7 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 66228b0b-b9b0-4764-a6fa-5c31c930e1c3 | shipment_id: 02b79b9b-a0aa-459e-98d6-46d543dcfd9d | inference_id: c28c218d-b635-4275-b384-34030a2ffd0e | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: ae7206f4-ac32-418e-ae22-7f905d77e2ac | shipment_id: e129c98d-5516-40ef-87a9-df17a7ad1d01 | inference_id: d5d7a23a-692a-421f-8974-e89c6d094e3e | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: ab654b7b-9eb3-415b-8021-4fe3154bb70e | shipment_id: f38aa1b8-e400-49fe-9485-117be1290aff | inference_id: 20452d21-e049-47cf-b465-349125627901 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 1c98de62-c614-4d6e-888d-306ac0437e70 | shipment_id: 9815445d-dbfb-4d46-a081-778a0995d383 | inference_id: 8f6368f1-bab1-48cc-baa4-0a9bdf5611bd | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 543b484e-9664-4c80-9ae7-ffb1eb00d3c0 | shipment_id: 3da82a4a-2f8e-4c08-b4f0-0d98a89a5ce7 | inference_id: edb7c749-0411-4fd2-84bf-ee0baf601e4b | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 30a551db-089c-49f8-ae13-3401e002d71e | shipment_id: da017c87-b342-4cb2-8fd0-28aca611d00d | inference_id: 32a01c7e-336c-47f9-b970-b4e0f001906e | alert_type: Model drift watch | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: a5ebc135-1d24-4fcd-8542-3995b20686d2 | shipment_id: 0491b90b-789e-4fe3-92f4-4b807b3257ac | inference_id: ede66dff-c68f-46ea-bd69-a5e8ee5b3951 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: c7d3c0d8-4ffd-41bb-b261-b2d7ec541a70 | shipment_id: 6179ff65-10d3-4507-b516-62ec657b50f9 | inference_id: fcd4e195-33d4-448a-ab10-68aa05f62e05 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 87be75c9-be13-4cef-b802-a0efb4355520 | shipment_id: bbe96034-b731-4c1f-b3b4-4dc6b23ee1ad | inference_id: f6caae4b-0ca9-4144-bfcb-a05fe94719b8 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: f0737d32-5c1c-45be-915e-13420c1b0b7a | shipment_id: 2736c118-a1d8-42b2-930c-9054991903e9 | inference_id: b0f46190-1f92-4fb9-81e0-174949ddead5 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 4b66ae76-880a-4776-becc-ab80a183c449 | shipment_id: 4e2c3aff-cd81-49fc-b2b0-220369ee36d2 | inference_id: f786663d-0b80-46da-9ead-51cf602cf489 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 5d6bc589-b271-4484-9b7d-5a33f63d6fe6 | shipment_id: 4916abc6-13fa-42c9-9f69-af6a91b0695d | inference_id: c3dcdeb3-e6c1-4f48-9aaa-94874374d662 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 0008e442-a4ce-4d99-8948-f30a197a1673 | shipment_id: 3be5f793-28ff-4016-a46e-64f5b0661413 | inference_id: 034b325e-1d0a-40b5-843c-e757c9a351b0 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 2b885e4d-9314-4aeb-9055-8d67c0b53af9 | shipment_id: 307e3fd5-0604-4a4e-8028-e583da817526 | inference_id: e1629e5d-8dd6-4c76-a589-7290909933b7 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 26d46c9e-a4eb-42ac-a2ea-e11d01633051 | shipment_id: 5fe00d0e-fac1-4ccf-a2e8-97d84c4aa4fa | inference_id: 58714a25-eb95-4fe9-ba37-ec6b7505f5e8 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: a9392f27-1853-4ab1-a2ba-39eb6e9813e6 | shipment_id: 47d569d8-d092-46aa-9759-d6944d6c5543 | inference_id: d1061b41-ee44-4ad0-b46e-c320076b7fa0 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7e9d197c-5af5-4e54-87e7-8749c9b7ceb5 | shipment_id: 6ccb9b12-c85d-4c30-a846-9816138600da | inference_id: b58760de-99ad-4608-ac63-bf3038ec008d | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: ca908495-03f5-40f3-b359-2b01b54fd2d4 | shipment_id: 967d6d6e-f175-4927-9121-d9cee989cabc | inference_id: e087b109-ff67-40a4-9efd-527ce37ba659 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: a4c126d9-a6b0-475d-ba87-497bb835c35b | shipment_id: 20463051-e07e-4726-81b0-9da12b22bc55 | inference_id: bd22df72-29d2-48be-8b01-b89022e5c725 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 5ff3430a-ddfd-45b4-97cb-36a429e208b4 | shipment_id: 559f09d0-6b8d-47ff-861b-8181ea393f76 | inference_id: b1f602d3-9b07-4d77-ab00-0c3d0e942023 | alert_type: Customs escalation | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 5d071167-c209-47ea-8787-bf2a89fe288d | shipment_id: 22c1ae7c-bf9a-4ced-b94e-4b92d603bee2 | inference_id: 277b1046-5590-4cec-b25f-f1900deda3b5 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 9c41d432-524c-47fd-b7b5-5e973920d7d1 | shipment_id: e4418402-8271-48a7-9108-57f0006503e1 | inference_id: 2c68d3ff-ad6f-44e9-a69f-0709ec6e9d6a | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 15bf28ba-c688-47dd-83fd-59d9a366cc83 | shipment_id: 3295f6f1-d2db-47c8-a9c2-40599106d315 | inference_id: c51967ce-75bf-4772-941a-8b1b93e388eb | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: f75e125e-5647-47ce-8b5a-35a8558e5966 | shipment_id: b55c0bf2-ead6-4676-8e87-5200d2573ca4 | inference_id: 73801d61-11ab-4820-9dde-04304e9463a1 | alert_type: Document issue | severity: Critical | recommended_action: Escalate to operations lead, notify customer success, and review route/carrier alternatives. | alert_status: Resolved
alert_id: 1ce9d416-33ac-4d80-a543-943ea6b1d641 | shipment_id: c9c8a427-a278-4961-96ad-2e7a775ed64b | inference_id: ecaf32bc-07bd-4f4c-9cb2-b84f2a59da44 | alert_type: Customs escalation | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: ab2d8cbf-e371-44d6-8c3a-b204d98c976d | shipment_id: 038d3101-7801-4f1f-a577-99bc612662b0 | inference_id: 69603ee7-43f7-4040-93fe-c28a2d945e2d | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 81c8b1e4-db63-4736-89cc-1b4a76ddef7b | shipment_id: b05a4f2f-5f8a-4c0d-ba7c-3b366ed5d134 | inference_id: 9c1d5f62-c15c-47be-bbdf-4617030a31ad | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: cee60ac4-8964-4adc-8e3e-a31121df6d25 | shipment_id: a81e1f03-50c9-4c40-9e35-60133fbe8993 | inference_id: c3060c7e-77cc-46ad-bb6c-879d4c0cf9b4 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: c2b6dd16-ae05-44a1-bbed-8ece639e4d29 | shipment_id: f5e4fd3a-1b7c-47eb-9eca-8feceeb829cd | inference_id: e38d7438-5e29-4e9e-8493-04cbfe6fcce6 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 0fcc2aa6-e52d-428f-894e-6104031c2125 | shipment_id: 1b9f8284-2406-4b4d-b926-cb319c239d7c | inference_id: 8830de35-3237-4f96-88ad-2f4797638179 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Resolved
alert_id: 798f4035-d1cd-4492-8721-fc85a5bfc869 | shipment_id: c79bf452-704a-4eb7-a204-e467763e93cc | inference_id: 6ae7d4fe-399e-4638-ab1e-6d6f84c26a47 | alert_type: Delay risk | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Acknowledged
alert_id: 7f4b0040-55a6-46bc-8343-2d33369594ee | shipment_id: fb2b0ad3-459f-447e-9a92-b81d44f54c11 | inference_id: a73e690b-5cf7-421e-a881-611a64c54b4c | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: f061dabb-53bb-4a36-88c9-4c72eb031187 | shipment_id: f3fa3976-d1c5-47d3-8946-c21a6c76d41a | inference_id: 61a9ee9c-2a82-4bb3-958e-d778935eed11 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 20e721bc-861b-4826-b266-9cb9c186a4e0 | shipment_id: b040a429-1b63-4479-bcb3-ea5cfd204218 | inference_id: 9780c8b8-f21a-4591-a78d-a53a0f60d3c9 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 24007aa7-2784-4ce6-aa42-697383820392 | shipment_id: caf4e0b6-073d-414b-9d1f-4423ca93bd84 | inference_id: 31443cea-5ba7-4980-bb33-850744340f74 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 6ed4be93-0f79-49e2-aa65-b89bd977344a | shipment_id: 06e565e7-5ade-458b-ab7e-de2d5c681dd4 | inference_id: bb69dd6d-bcda-4392-9e46-9db80e8cebfb | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: c8c68cad-9357-4630-9930-324c396ba194 | shipment_id: 99b5f75d-5fa0-4d8e-b106-e2948b61ede8 | inference_id: 2114163c-f055-49ae-9c95-0088b1dbef24 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: cfe95a37-ccec-43e3-a750-3f83ca6735de | shipment_id: 7117e469-db61-4cf9-8fbe-60391adaf72e | inference_id: 4f0b721d-59fc-4886-ba6e-d5aa520010f2 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: f7f41ac6-e17e-4ff8-90de-e1f223e8aa21 | shipment_id: f3c12d9a-121a-4b7d-a902-032c26eb36bf | inference_id: 96566b38-4762-4318-a2eb-222598dd9374 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 18d2e71e-36ea-4abe-8124-a5972a4f31d7 | shipment_id: 29f47205-c7d9-48ab-a318-64dccb2bebd7 | inference_id: ff29b2d0-a9d9-4ac3-a586-837b8a5ae959 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 05393898-687f-4cd2-84d4-9304367e3482 | shipment_id: ec0940a7-f781-4402-ac47-c0a4f3d6dbbc | inference_id: ecafc34d-f857-46fa-9ff7-c8ae2cbab696 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Resolved
alert_id: 7f3ba943-dcce-4e2b-8d08-a9b6a42decf9 | shipment_id: ff95a715-cb67-49ea-a206-6a63b96bf6cd | inference_id: 022f8251-714c-4c12-8fec-3184c2a40b13 | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: a9b6f19f-ceed-430d-a8a6-fbfcfc53edd9 | shipment_id: 50f28279-c5e7-4d70-9b80-eb65249ba74f | inference_id: 10973187-f16f-4b2c-a9b9-92a7219952a3 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 48bc91cb-4899-4d05-acbb-7f200490ad35 | shipment_id: 58d34108-7c91-4fe1-9fdf-fe63185cd132 | inference_id: ddacca67-8174-4eac-ae6b-8408347d6439 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 149db40f-2f98-4f0e-ac3b-7b4af6c137f8 | shipment_id: b45bcd4b-bf0c-4212-a88c-5f0b6d2822f5 | inference_id: 1f96f604-6911-492f-973f-fc39f003c1b8 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 367dcab3-e407-497d-a1c6-8f4d4007ae8f | shipment_id: 91155d0e-2100-45cb-afa5-81d0235e6b76 | inference_id: a782b465-f1e6-40c8-b425-4874ca192df5 | alert_type: Delay risk | severity: Critical | recommended_action: Escalate to operations lead, notify customer success, and review route/carrier alternatives. | alert_status: Open
alert_id: f683bf0b-f709-41b5-91ec-8eacdff6d13a | shipment_id: 6b06f232-022f-4f3b-b6d2-a1f5d78e5950 | inference_id: b3b9948e-d62d-4d89-9df1-38cc75b3be32 | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 471b0c03-76a8-480e-b3dc-76074438c3c7 | shipment_id: 82c3277f-b0e2-4998-8b0e-209ba9cd30c6 | inference_id: c6c309e8-6fb0-45f0-8813-c237cab0e889 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 58b4a240-f73e-4267-a55b-ea35781c2e39 | shipment_id: d206e4b6-dfd3-4542-a3bc-70099c2ee186 | inference_id: 6508f13b-d1e7-4954-a71f-abd759d569ff | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 21b22ba0-40da-4daa-a857-f3e857bcf890 | shipment_id: 229a8162-a733-47cc-ab1b-b20d994f3ecc | inference_id: b52972be-4a08-4f2e-91b3-bd71a7444831 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 11fca18e-6ba2-4e50-ac32-91e8f83db3bc | shipment_id: f2509273-2223-4d17-a0a8-df4db8c0035a | inference_id: 59f70d54-30bc-4b62-9109-1cd0f28b5c49 | alert_type: Model drift watch | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 68ed1b69-7f51-45c9-955c-1dc3589585df | shipment_id: 9e8727f3-3fd5-447a-a548-d6f3d959fb16 | inference_id: 04b570dc-4dba-4763-abdc-279b5d773b2d | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: f435a40b-2152-4091-ad40-b927a1c9f7c8 | shipment_id: c9d1e8df-30cc-4adc-b00d-ccc5dc0bf4b2 | inference_id: c59096f6-bcde-4c35-848d-b50ec36b45ba | alert_type: Delay risk | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Acknowledged
alert_id: 7021c776-d536-4721-b5be-3afe2b81fa60 | shipment_id: 39a0fe78-d716-4323-9669-3e9fc9946e72 | inference_id: 9110aa61-d55a-4fb0-ad41-a250306f912c | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 191626f1-29e4-445c-92f7-2aeb33a206d9 | shipment_id: e5571730-8563-47c0-a8f5-0141c39032e4 | inference_id: 67ae19c0-bf59-4552-927e-b49978b4e151 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: e5dd4aac-914a-4ea1-9938-77e6b3b58499 | shipment_id: 2750a839-37e9-4138-9387-19f54d556093 | inference_id: 30e8978a-e9bd-438c-8d6a-5722d2971875 | alert_type: Customs escalation | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Open
alert_id: 5a1c9430-ef17-4952-89ae-1d879d435271 | shipment_id: 91bea52b-a06e-4bd4-8b00-33b60ccfaf17 | inference_id: 4a95c700-d77d-46a2-9433-c50a8a541637 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 355c1118-9325-4de8-b31c-d76a45cda251 | shipment_id: 84424189-6413-4d5a-86b2-317eb1dc30b7 | inference_id: b20f5cc8-4dbe-4f6e-8a19-39dca5def0ae | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: f7ef3e97-3e42-4ce1-8357-8d7a8fdd0dd4 | shipment_id: 58757feb-96c1-40cd-986c-add032a981ac | inference_id: d2764166-653f-449a-86dc-efa44c587e4d | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Resolved
alert_id: 649ce9de-24a5-4366-9083-5e7f1c666e84 | shipment_id: ca8966eb-13ad-4bf6-bd7b-adb36e376f64 | inference_id: 8ebb462b-aa37-4c41-8e7a-d81ad9049c72 | alert_type: Model drift watch | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: f3a42907-1a1c-4d93-b01c-12bd7e798f96 | shipment_id: 5823e457-9d2e-4dbd-b29c-788ee37e3c7c | inference_id: bcd61d5b-5b55-4cf0-b863-a7861ad695ad | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 5c18e350-aabd-4ed6-b520-02104bb8c1ea | shipment_id: 0abdf807-802c-44d4-b828-1397daffa81b | inference_id: 55884eb6-eeee-4158-99bd-5d7371e81148 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 0c5a5d63-9a14-47df-9100-ab63fb524d89 | shipment_id: 9b0afe56-8ec8-4fcb-88ce-89aaf76c3d7a | inference_id: 220721d0-bb1f-42c6-bacd-88c12bc60e62 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: dc1c12b4-c6d5-415a-8a3c-6b4593504b57 | shipment_id: 9214f84f-f2f5-4fe1-8b4e-62b679e4860e | inference_id: 63e79023-ebdf-4b5f-bca1-49c40e42b79b | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 018e0317-e737-4175-87d0-e73c1c98cc94 | shipment_id: 8a8c9f99-78f7-4521-8a61-842e71c5c99b | inference_id: 196ffb35-fb3e-4197-a429-9898bad272a4 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 44dab7db-a538-4ce1-aee8-06365a9df634 | shipment_id: 8a60cc76-0297-453a-8a58-7fbfcc0cd89e | inference_id: 2ff3e5ad-aad3-4177-b7bc-2e9081b9f317 | alert_type: Anomaly | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Resolved
alert_id: 387519b2-39dd-4fd1-a93e-bdcf13b519e9 | shipment_id: 2562dc73-984c-4231-9630-6e4903ccdcf8 | inference_id: 761e08b5-3f8c-4fae-b5e8-408e4ce834c3 | alert_type: Customs escalation | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7808b62c-f96d-4315-872c-8f94453ffefa | shipment_id: 87e94062-4999-4a4f-abba-6ea669f69832 | inference_id: 5ab84723-85fc-4ac5-b27c-45d9cb161655 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 0fc28233-43b1-4b1e-afc6-3a75b2bfa8e9 | shipment_id: b09d7582-7f21-4259-b678-1d5e78b08def | inference_id: 9b6b7c20-7940-4068-9df1-d02c314f1adb | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 89636cf5-22cd-41b5-a2f5-78edfc88cb95 | shipment_id: d7697476-4e28-4986-9ef3-6d9377ccaa83 | inference_id: ba21e8c6-a6b6-4067-ab58-86947b16e2aa | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: e0e32985-43e3-4620-920a-d1a850b84f4e | shipment_id: dbb310c5-85ff-4a80-9ab6-0c33350369db | inference_id: 6a6b0b9b-3834-4b2d-8db6-820f1bff32ab | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Resolved
alert_id: ae29ebd7-23c3-4922-991b-f965bc8c3235 | shipment_id: 1cc97a7f-e77f-4a0d-bd73-13e9084eb72d | inference_id: d5ecc9f7-9343-4c8a-abbc-ece6fa16224f | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 5c3e0fb6-06af-434e-bc8d-6b3962837c0f | shipment_id: c1224576-aed5-4fe1-9144-bfe39ea3a227 | inference_id: bca53d5a-8f69-4885-a7f7-21b5799d44e9 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: df35f7b9-22e9-41a3-8555-81efa82aef91 | shipment_id: 4c73e2ef-02e0-4330-afcc-2d064346b163 | inference_id: e3d6e312-c606-4448-9f97-aac78442c3a0 | alert_type: Anomaly | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Acknowledged
alert_id: 21f2db92-402b-4e71-8bcf-114e4244af63 | shipment_id: e6ab0d60-0bb2-4ab5-b8f7-91cc239a439b | inference_id: c105b108-2081-4cf6-8315-ba1627e2c916 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: dc96dd11-74f8-44b8-93c2-829cafd30380 | shipment_id: 146de72f-9729-4d0c-a2cc-c9f7ec484aee | inference_id: 0032689b-c6a2-4b63-9a72-3dd88f995fb8 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: cc469ff5-d82a-4b8f-a37b-ac6e26fb95d9 | shipment_id: 99dd0adc-a239-4c39-a166-8bc241219b69 | inference_id: 0d13d880-5d76-47ed-848a-dc50ed76c819 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: cd08c6b3-948e-4085-aefd-88b0532470dc | shipment_id: 3e6ae3fd-feb5-4d8b-96e5-8036afd688a9 | inference_id: b303792f-f2ee-4d75-ae6f-51eeacb62095 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
