Sheet Name: Vehicles

vehicle_id: a7a7c694-8da6-4c10-a00e-367e67b16b2d | vehicle_number: RA-3523-1 | vehicle_type: Rail | capacity_kg: 435344.38 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: b751edba-4b38-452f-9ad7-582f0c4e2bad | vehicle_number: TR-7892-662 | vehicle_type: Truck | capacity_kg: 27029.05 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 88809141-cb65-43b2-8483-5f854da4af15 | vehicle_number: RA-7739-663 | vehicle_type: Rail | capacity_kg: 172696.19 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: bf5e6f49-95e5-481d-b911-fcd74d4ef39d | vehicle_number: SH-8932-664 | vehicle_type: Ship | capacity_kg: 21218695.56 | fuel_type: Marine Fuel | maintenance_status: Due Soon | vehicle_age: 6
vehicle_id: 7ac63a11-5695-4c31-a439-007b30bad8f1 | vehicle_number: SH-8606-665 | vehicle_type: Ship | capacity_kg: 20132893.15 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: ad344886-75f6-4ad2-aa64-6c739a5f862e | vehicle_number: SH-8460-666 | vehicle_type: Ship | capacity_kg: 18995280.7 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: 0fcd8031-22ee-46df-93d9-10f98d7fecf6 | vehicle_number: SH-9030-667 | vehicle_type: Ship | capacity_kg: 9677013.9 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 2
vehicle_id: edfa28ca-3fe3-4047-8942-d2d25482d67a | vehicle_number: TR-3537-668 | vehicle_type: Truck | capacity_kg: 12357.63 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 64a97a4d-4019-4376-9a3a-e29adf59e5a6 | vehicle_number: AI-1921-669 | vehicle_type: Aircraft | capacity_kg: 76111.81 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 421f16a0-9e6a-462c-969c-0682755a662a | vehicle_number: TR-2034-670 | vehicle_type: Truck | capacity_kg: 21970.65 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 8
vehicle_id: b7d35a27-e0eb-4827-be2d-609f60b6d792 | vehicle_number: TR-8373-671 | vehicle_type: Truck | capacity_kg: 17240.31 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 9
vehicle_id: faff3176-8f1a-4148-9044-fb4c5967d9cb | vehicle_number: SH-2622-672 | vehicle_type: Ship | capacity_kg: 17424931.94 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 8fc28d51-f69b-4e3d-85c9-bc3ed48786ff | vehicle_number: SH-6517-673 | vehicle_type: Ship | capacity_kg: 651815.17 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 12
vehicle_id: d69762ee-1142-4d3e-b51e-f663ed63f63a | vehicle_number: SH-9300-674 | vehicle_type: Ship | capacity_kg: 9915611.8 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: 0efadc35-dfb0-43d4-b15e-0d0b15410878 | vehicle_number: TR-9406-675 | vehicle_type: Truck | capacity_kg: 24392.36 | fuel_type: Marine Fuel | maintenance_status: Under Maintenance | vehicle_age: 4
vehicle_id: 4b7eef73-8ca6-4d1a-b958-fa57d33930aa | vehicle_number: SH-1883-676 | vehicle_type: Ship | capacity_kg: 6156985.08 | fuel_type: Marine Fuel | maintenance_status: Due Soon | vehicle_age: 15
vehicle_id: 2b0651f3-6637-4db2-b517-2fcd8606a28d | vehicle_number: SH-8186-677 | vehicle_type: Ship | capacity_kg: 21471571.06 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 4
vehicle_id: 6bbae47c-4728-49be-b40e-9f215f2700af | vehicle_number: AI-6663-678 | vehicle_type: Aircraft | capacity_kg: 50143.7 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 17
vehicle_id: 57ab2c87-2593-4002-9cbd-817bce0c63e8 | vehicle_number: SH-2482-679 | vehicle_type: Ship | capacity_kg: 23497155.8 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: cfe2cb1c-14e7-4846-b984-a3c6164991db | vehicle_number: TR-1209-680 | vehicle_type: Truck | capacity_kg: 4403.74 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 75f2995a-b536-4871-ab2c-495bfe3e308a | vehicle_number: RA-3012-681 | vehicle_type: Rail | capacity_kg: 356515.56 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 4
vehicle_id: 3e037392-f029-44dd-8e66-315354e5b5ec | vehicle_number: TR-4733-682 | vehicle_type: Truck | capacity_kg: 16779.08 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 0d4f40ff-d165-4c24-a52d-dbda561b2d3a | vehicle_number: AI-8839-683 | vehicle_type: Aircraft | capacity_kg: 133910.13 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: 18b8e0a7-759f-4b57-b110-3474e3f16e29 | vehicle_number: TR-1118-684 | vehicle_type: Truck | capacity_kg: 5551.9 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 16
vehicle_id: 72e2f338-7889-469c-98c0-77cf318130ac | vehicle_number: TR-9010-685 | vehicle_type: Truck | capacity_kg: 8398.4 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 7be8d586-66bc-4f05-9050-da1b0723a3a8 | vehicle_number: TR-2313-686 | vehicle_type: Truck | capacity_kg: 18679.72 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: b7d5cbb2-b01f-4363-80e6-6cd18c78d357 | vehicle_number: AI-2312-687 | vehicle_type: Aircraft | capacity_kg: 133831.63 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 8
vehicle_id: bcf3cf8c-dfb6-4e54-941e-85156df6081c | vehicle_number: SH-5069-688 | vehicle_type: Ship | capacity_kg: 19693759.13 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 1
vehicle_id: 5540f185-79ea-4989-b802-a35a3f53db69 | vehicle_number: SH-3768-689 | vehicle_type: Ship | capacity_kg: 24847671.41 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 7
vehicle_id: 3b756bf8-5f2d-4484-9196-eab477c8a6a7 | vehicle_number: AI-7034-690 | vehicle_type: Aircraft | capacity_kg: 41532.37 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
vehicle_id: dfe7fe8d-b929-4c00-87fd-02c92adbf98d | vehicle_number: RA-4746-691 | vehicle_type: Rail | capacity_kg: 208172.47 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 4
vehicle_id: 3e731872-f79a-4f62-a784-097a67732dc6 | vehicle_number: TR-3863-692 | vehicle_type: Truck | capacity_kg: 20138.85 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: ad9ef303-0659-4923-ab56-b4a78012dd9b | vehicle_number: TR-4347-693 | vehicle_type: Truck | capacity_kg: 8874.96 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 18
vehicle_id: 839177b3-b1a6-41cf-9cff-3961b174da8e | vehicle_number: TR-1015-694 | vehicle_type: Truck | capacity_kg: 14566.46 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: 0daed58f-e5d3-4d96-bd53-fc95408d78ff | vehicle_number: AI-9053-695 | vehicle_type: Aircraft | capacity_kg: 121043.04 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 3c45d88d-b315-4b4c-b824-a803ae5189f9 | vehicle_number: TR-2701-696 | vehicle_type: Truck | capacity_kg: 11546.56 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: cbc31285-9293-4721-afed-1bbe9d467a25 | vehicle_number: TR-1471-697 | vehicle_type: Truck | capacity_kg: 8043.08 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 4
vehicle_id: c8657f26-39bc-4a4c-a677-b038efcb7135 | vehicle_number: TR-7661-698 | vehicle_type: Truck | capacity_kg: 19365.46 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 16
vehicle_id: 25f5e0c7-9b04-47d1-b07f-80def2de4645 | vehicle_number: TR-2910-699 | vehicle_type: Truck | capacity_kg: 26363.23 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 17
vehicle_id: 3464494d-db11-428f-ae53-8d3f2863930d | vehicle_number: TR-9187-700 | vehicle_type: Truck | capacity_kg: 7348.73 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: 21bc032c-21c2-483a-92ea-255aa030019d | vehicle_number: SH-1841-701 | vehicle_type: Ship | capacity_kg: 21298432.81 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 15
vehicle_id: e20e9172-a51d-4c98-9f5d-b76e2504d2bc | vehicle_number: TR-3423-702 | vehicle_type: Truck | capacity_kg: 4927.08 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: 7468f652-88d8-43c1-b046-6a2bd9af70d8 | vehicle_number: SH-9113-703 | vehicle_type: Ship | capacity_kg: 6418722.79 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 15
vehicle_id: 65a322cc-bf5a-4c22-a77e-4a1b411fb4a0 | vehicle_number: TR-4649-704 | vehicle_type: Truck | capacity_kg: 19012.25 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 5
vehicle_id: b73a9f13-74ac-40e4-8f03-83cb8120b9df | vehicle_number: AI-6238-705 | vehicle_type: Aircraft | capacity_kg: 107934.09 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 8
vehicle_id: ea120846-5863-4230-8cff-7b9bb81826b0 | vehicle_number: RA-3688-706 | vehicle_type: Rail | capacity_kg: 527726.96 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 2
vehicle_id: d9e9f454-e82c-4c0b-bfce-aac3b893e8db | vehicle_number: RA-6041-707 | vehicle_type: Rail | capacity_kg: 653018.8 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 15
vehicle_id: 2f7ebc81-3fbf-47e5-aa0e-cf23393469c7 | vehicle_number: SH-6703-708 | vehicle_type: Ship | capacity_kg: 5149406.2 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 4
vehicle_id: 74cdcb6e-7d3c-489a-9b10-63c671396528 | vehicle_number: TR-3241-709 | vehicle_type: Truck | capacity_kg: 15850.04 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 18
vehicle_id: f90239f3-1adb-4a14-87cf-c0f65e386542 | vehicle_number: TR-5614-710 | vehicle_type: Truck | capacity_kg: 9155.83 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 18
vehicle_id: 8ab0d4b2-6244-4555-9c74-36f23568fe69 | vehicle_number: RA-3724-711 | vehicle_type: Rail | capacity_kg: 360088.02 | fuel_type: Jet Fuel | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: 58e7cfdb-5244-4381-ad85-212a1398d8b2 | vehicle_number: AI-6914-712 | vehicle_type: Aircraft | capacity_kg: 82552.49 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
vehicle_id: c657be05-ccd0-4f8a-8d61-d32429bdf57f | vehicle_number: SH-8678-713 | vehicle_type: Ship | capacity_kg: 13887432.24 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 10
vehicle_id: 60901d8f-d288-414e-80f8-0b77cf7ab72a | vehicle_number: TR-4462-714 | vehicle_type: Truck | capacity_kg: 17944.09 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 603a6e2c-5f74-4ac1-9ad1-a6580d8223d4 | vehicle_number: RA-6634-715 | vehicle_type: Rail | capacity_kg: 215724.4 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 23a70470-915c-4a4c-8cca-204e17de1892 | vehicle_number: SH-9306-716 | vehicle_type: Ship | capacity_kg: 10639639.78 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 15
vehicle_id: 49c23a9a-0877-4725-bb46-e8d826b19d99 | vehicle_number: RA-7187-717 | vehicle_type: Rail | capacity_kg: 276491.18 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 240eb1db-1d07-4596-954f-916d86840eee | vehicle_number: TR-1956-718 | vehicle_type: Truck | capacity_kg: 16575.49 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 0d11beb2-ff9c-4e2c-8ce6-45b44b07ba1e | vehicle_number: TR-5342-719 | vehicle_type: Truck | capacity_kg: 23786.67 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: c7aea46f-7c51-4f4a-a2a9-142491f2e495 | vehicle_number: TR-5594-720 | vehicle_type: Truck | capacity_kg: 20651.62 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 15
vehicle_id: a8819d0a-0edb-4e69-889c-82fe2359d0b2 | vehicle_number: SH-8757-721 | vehicle_type: Ship | capacity_kg: 18969716.52 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 7bf6289e-acf4-43c5-8757-d99fb50f969b | vehicle_number: TR-1605-722 | vehicle_type: Truck | capacity_kg: 12414.72 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 4
vehicle_id: 3bcea3cf-dce0-4384-adc9-7dd56b08a79e | vehicle_number: TR-8004-723 | vehicle_type: Truck | capacity_kg: 11165.61 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: bbf783db-49d7-44ae-b54d-17eb4677eac7 | vehicle_number: TR-1550-724 | vehicle_type: Truck | capacity_kg: 23535.49 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 2
vehicle_id: 9de45c97-41e6-456b-8001-ab2c4c064588 | vehicle_number: TR-7194-725 | vehicle_type: Truck | capacity_kg: 21970.01 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 6
vehicle_id: ee452616-28e4-4707-a745-6d4635c1e975 | vehicle_number: SH-9514-726 | vehicle_type: Ship | capacity_kg: 21224218.55 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 4
vehicle_id: e85ef1e4-060f-4d63-8ce8-149341354a96 | vehicle_number: TR-3901-727 | vehicle_type: Truck | capacity_kg: 22951.76 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 7
vehicle_id: 65f26d9c-7fc6-4675-ac02-72e7d8921da6 | vehicle_number: TR-8413-728 | vehicle_type: Truck | capacity_kg: 5271.53 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 1
vehicle_id: 8d478f22-31fb-4d81-9012-5360dd6c32cd | vehicle_number: SH-7950-729 | vehicle_type: Ship | capacity_kg: 11344638.95 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 38cf2eca-2b3f-4795-919d-5b90eeab2508 | vehicle_number: AI-2726-730 | vehicle_type: Aircraft | capacity_kg: 28862.63 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 11
vehicle_id: d6ee64b9-ebea-4d30-8e02-efd80a28f02e | vehicle_number: SH-6040-731 | vehicle_type: Ship | capacity_kg: 11145152.95 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 2
vehicle_id: 22617f9c-a80b-49f9-b477-a6f659e72240 | vehicle_number: TR-7987-732 | vehicle_type: Truck | capacity_kg: 25504.18 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: 65750a6c-fa81-4a4c-8ba3-5068c80ec86a | vehicle_number: TR-5103-733 | vehicle_type: Truck | capacity_kg: 7509.23 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 6ae51311-1ee4-4d5d-9056-02dc9ceb8c2f | vehicle_number: SH-3676-734 | vehicle_type: Ship | capacity_kg: 23547318.96 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 10
vehicle_id: b93aa83e-f304-419a-a1db-59e8d1559896 | vehicle_number: TR-7185-735 | vehicle_type: Truck | capacity_kg: 20975.29 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 2
vehicle_id: 0d7c22fb-49ad-4254-ae46-87c7f0998990 | vehicle_number: SH-5349-736 | vehicle_type: Ship | capacity_kg: 7027244.25 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: c20aa29c-fedd-400d-9442-523d7ae54bdd | vehicle_number: TR-3692-737 | vehicle_type: Truck | capacity_kg: 6226.52 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 18
vehicle_id: 7d3af5e1-c3fa-4106-a2c5-a49db7e85ea1 | vehicle_number: TR-7353-738 | vehicle_type: Truck | capacity_kg: 19772.07 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: dacb55f9-2b35-4d06-ad44-415865b9bf9c | vehicle_number: AI-8879-739 | vehicle_type: Aircraft | capacity_kg: 71212.59 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: cae81ffb-20f4-48ca-a8cc-69e96286519d | vehicle_number: TR-3204-740 | vehicle_type: Truck | capacity_kg: 13183.31 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 10
vehicle_id: 3db6d3c8-acfc-4937-abdd-f2d4927ee297 | vehicle_number: SH-4491-741 | vehicle_type: Ship | capacity_kg: 17990726.16 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 05744ba6-5f32-4cd9-aea5-ce2afdca1338 | vehicle_number: SH-7772-742 | vehicle_type: Ship | capacity_kg: 16948055.72 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 5
vehicle_id: edd01696-d647-45fd-88d4-fd72c592f9e3 | vehicle_number: TR-9995-743 | vehicle_type: Truck | capacity_kg: 7607.91 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 9ea8308a-7dc0-4104-bd60-ca18914af778 | vehicle_number: SH-4164-744 | vehicle_type: Ship | capacity_kg: 15570893.0 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 14
vehicle_id: 16178f65-22f1-47de-aa53-8b0b86aafdfc | vehicle_number: SH-7250-745 | vehicle_type: Ship | capacity_kg: 7832465.98 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 2db09638-d63e-4cd6-b2a6-94fae004d131 | vehicle_number: TR-4821-746 | vehicle_type: Truck | capacity_kg: 4822.51 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 990671bc-5189-461c-bd4a-7c5d5861479e | vehicle_number: TR-3676-747 | vehicle_type: Truck | capacity_kg: 27804.18 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: 16472d14-162f-402e-bc9e-9c563f4589e5 | vehicle_number: SH-9229-748 | vehicle_type: Ship | capacity_kg: 3865717.02 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 17
vehicle_id: 3fb7c2de-1a85-4729-b6ad-8d74aadc12f1 | vehicle_number: SH-7715-749 | vehicle_type: Ship | capacity_kg: 16841832.03 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 17
vehicle_id: 08c492d3-7c6a-4f3b-9603-32132ce9237d | vehicle_number: SH-2105-750 | vehicle_type: Ship | capacity_kg: 1818330.26 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: 3b61092a-bfc8-43b0-b642-a4f0464ae5c5 | vehicle_number: AI-9593-751 | vehicle_type: Aircraft | capacity_kg: 23010.95 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 18
vehicle_id: 6ab7a5a6-7f16-4283-854c-d93f83408b79 | vehicle_number: TR-4753-752 | vehicle_type: Truck | capacity_kg: 26139.29 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 11
vehicle_id: c864fef1-7f4d-4a63-b7f7-a2b0fc094f4f | vehicle_number: RA-8183-753 | vehicle_type: Rail | capacity_kg: 163808.06 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 77fc20b6-421f-42db-acd4-a6cbb636e9c1 | vehicle_number: TR-4463-754 | vehicle_type: Truck | capacity_kg: 3817.08 | fuel_type: Electric | maintenance_status: Under Maintenance | vehicle_age: 6
vehicle_id: 9b8582af-87b7-44ed-989f-db45835831fc | vehicle_number: TR-3593-755 | vehicle_type: Truck | capacity_kg: 16073.38 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 14
vehicle_id: 50dbed2a-82c7-4b04-88dd-28d8cfe188e9 | vehicle_number: SH-1284-756 | vehicle_type: Ship | capacity_kg: 15152219.31 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 4
vehicle_id: 58fdcf61-9041-4e11-a03a-f91742d90dc5 | vehicle_number: AI-5200-757 | vehicle_type: Aircraft | capacity_kg: 88699.98 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 15
vehicle_id: 7e245ea5-d51f-4df7-b310-4b387cee5866 | vehicle_number: TR-4253-758 | vehicle_type: Truck | capacity_kg: 18317.97 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 13
vehicle_id: 355c3cd6-b375-4ca1-8a5f-2b831e3ec3c5 | vehicle_number: TR-1988-759 | vehicle_type: Truck | capacity_kg: 13276.05 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 15
vehicle_id: b75d3553-d7fc-46d3-88f3-80d7eca4f2f3 | vehicle_number: TR-2737-760 | vehicle_type: Truck | capacity_kg: 14848.8 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: ad29d7dd-6578-46eb-9696-02b52c5e1401 | vehicle_number: TR-8975-761 | vehicle_type: Truck | capacity_kg: 24069.27 | fuel_type: Electric | maintenance_status: Under Maintenance | vehicle_age: 7
vehicle_id: a2db3763-cfc6-4ae4-9aa9-b8df3ecb3a00 | vehicle_number: AI-1107-762 | vehicle_type: Aircraft | capacity_kg: 40662.33 | fuel_type: Marine Fuel | maintenance_status: Under Maintenance | vehicle_age: 16
vehicle_id: a48ff8c5-79ba-4a44-b94e-0de1d7690fdd | vehicle_number: RA-9954-763 | vehicle_type: Rail | capacity_kg: 392845.79 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 8
vehicle_id: 059cc5c2-d6b1-42fa-b6fd-bea2471cf688 | vehicle_number: TR-5051-764 | vehicle_type: Truck | capacity_kg: 10973.97 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: dbc316d5-c1c4-427a-ae8f-14315a2fa640 | vehicle_number: AI-6964-765 | vehicle_type: Aircraft | capacity_kg: 27100.26 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: cdbe03c2-8b43-4a50-9e34-e8936c640ffd | vehicle_number: RA-6686-766 | vehicle_type: Rail | capacity_kg: 494803.28 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 1
vehicle_id: 9170a0f4-22ee-4d83-b07c-f7af1cd28e8e | vehicle_number: SH-2569-767 | vehicle_type: Ship | capacity_kg: 7376637.14 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: e8bcc2f5-97ed-42e0-b332-0c42caba5cde | vehicle_number: TR-2823-768 | vehicle_type: Truck | capacity_kg: 5963.63 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 11c514bf-1934-4162-99b7-07a1c0d2a64e | vehicle_number: TR-8774-769 | vehicle_type: Truck | capacity_kg: 25818.0 | fuel_type: Electric | maintenance_status: Under Maintenance | vehicle_age: 3
vehicle_id: ddaeb1a4-fe0f-4519-9724-e24136b67be6 | vehicle_number: AI-6754-770 | vehicle_type: Aircraft | capacity_kg: 20040.38 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 12249611-d24e-4871-925b-31eacf73bdc1 | vehicle_number: RA-1307-771 | vehicle_type: Rail | capacity_kg: 234334.91 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: a5acca32-cbeb-4057-88c9-a74c94bde0fd | vehicle_number: TR-9704-772 | vehicle_type: Truck | capacity_kg: 14677.45 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 197071df-822c-4e56-b9f8-4655c15906ef | vehicle_number: TR-4090-773 | vehicle_type: Truck | capacity_kg: 27850.85 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 1
vehicle_id: 61f1fb92-1a85-4a31-ba23-0c2c2db1db64 | vehicle_number: AI-1351-774 | vehicle_type: Aircraft | capacity_kg: 41011.8 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 317545f6-5bd0-4859-b926-2ebd4932d29e | vehicle_number: TR-6890-775 | vehicle_type: Truck | capacity_kg: 26472.97 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 7
vehicle_id: 58a0a36b-8404-408d-9f5a-58e8d3e461c6 | vehicle_number: SH-1210-776 | vehicle_type: Ship | capacity_kg: 24324110.62 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 8e9269db-1cc3-4cee-937c-38414148d3b3 | vehicle_number: TR-6389-777 | vehicle_type: Truck | capacity_kg: 25497.44 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 10
vehicle_id: dd016ab7-7983-47a0-9565-357e56b07013 | vehicle_number: TR-1198-778 | vehicle_type: Truck | capacity_kg: 9875.68 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 18
vehicle_id: c50c7ffb-46cc-4d18-af51-984f2bd791c2 | vehicle_number: SH-4997-779 | vehicle_type: Ship | capacity_kg: 16268005.03 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: b0c3bee4-74f2-4575-8a84-e266111f2b1d | vehicle_number: TR-5193-780 | vehicle_type: Truck | capacity_kg: 17269.63 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 15
vehicle_id: 99e58c4b-1912-4b68-a648-cb057aabde69 | vehicle_number: TR-5314-781 | vehicle_type: Truck | capacity_kg: 16852.56 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 987338fb-b057-4866-9158-00c1bfe17157 | vehicle_number: SH-7779-782 | vehicle_type: Ship | capacity_kg: 8423990.56 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 11
vehicle_id: d1b08365-e557-42d3-beea-ff21cd08febe | vehicle_number: SH-5485-783 | vehicle_type: Ship | capacity_kg: 4757347.01 | fuel_type: Marine Fuel | maintenance_status: Due Soon | vehicle_age: 17
vehicle_id: cc9af1f2-b76c-4442-8a97-868be051cbad | vehicle_number: SH-5815-784 | vehicle_type: Ship | capacity_kg: 4966034.83 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 18
vehicle_id: d9d7882f-559a-477d-95d4-4405d2c97715 | vehicle_number: TR-3589-785 | vehicle_type: Truck | capacity_kg: 21600.92 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: 1c1ccfe9-c208-4914-9002-c8a012f58ec7 | vehicle_number: SH-6279-786 | vehicle_type: Ship | capacity_kg: 14633412.67 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 4
vehicle_id: 212e70ff-4e6c-4254-bd39-c4f172c8059b | vehicle_number: TR-5408-787 | vehicle_type: Truck | capacity_kg: 9128.21 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 8
