Sheet Name: Routes

route_id: 3e26abf4-dd1f-4e19-8ed5-ffe4905d68ad | origin_city: Delhi | destination_city: Felixstowe | origin_country: India | destination_country: United Kingdom | origin_port: Mundra Port | destination_port: Port of Felixstowe | distance_km: 2362.24 | average_transit_days: 7 | route_risk: Medium | traffic_index: 59
route_id: 54f25180-ef68-443f-95cd-2d0fd15abfbd | origin_city: Felixstowe | destination_city: Osaka | origin_country: United Kingdom | destination_country: Japan | origin_port: Port of Felixstowe | destination_port: Port of Yokohama | distance_km: 8048.37 | average_transit_days: 13 | route_risk: Low | traffic_index: 39
route_id: daf63cb3-197d-4e92-95f8-ade038997f35 | origin_city: Singapore | destination_city: New York | origin_country: Singapore | destination_country: United States | origin_port: Port of Singapore | destination_port: Port Houston | distance_km: 9478.88 | average_transit_days: 18 | route_risk: Low | traffic_index: 28
route_id: 8364341d-091a-4b07-bd92-b6f49523308d | origin_city: Rotterdam | destination_city: Amsterdam | origin_country: Netherlands | destination_country: Netherlands | origin_port: Port of Rotterdam | destination_port: Port of Rotterdam | distance_km: 2293.19 | average_transit_days: 4 | route_risk: Low | traffic_index: 18
route_id: fb1a0e84-2677-4509-a4b7-8f6f4e050ca1 | origin_city: Ahmedabad | destination_city: Felixstowe | origin_country: India | destination_country: United Kingdom | origin_port: Nhava Sheva | destination_port: Port of Felixstowe | distance_km: 264.07 | average_transit_days: 2 | route_risk: Low | traffic_index: 31
route_id: 4e1e7ed3-181a-4109-a91b-e86f33599551 | origin_city: Mumbai | destination_city: Shanghai | origin_country: India | destination_country: China | origin_port: Nhava Sheva | destination_port: Ningbo-Zhoushan | distance_km: 8326.34 | average_transit_days: 12 | route_risk: Medium | traffic_index: 68
route_id: 77c8ec3c-f37e-4126-91ca-7e281bbed925 | origin_city: Incheon | destination_city: Amsterdam | origin_country: South Korea | destination_country: Netherlands | origin_port: Port of Busan | destination_port: Port of Rotterdam | distance_km: 5257.19 | average_transit_days: 12 | route_risk: Low | traffic_index: 31
route_id: 01ba762c-45d1-4cdf-8343-bc91d866305e | origin_city: Sharjah | destination_city: Yokohama | origin_country: UAE | destination_country: Japan | origin_port: Khalifa Port | destination_port: Port of Yokohama | distance_km: 3010.78 | average_transit_days: 10 | route_risk: High | traffic_index: 61
route_id: 42f7d158-dd90-4ecd-a23b-1b2f4c6bcf0e | origin_city: Bremen | destination_city: Seoul | origin_country: Germany | destination_country: South Korea | origin_port: Port of Hamburg | destination_port: Port of Busan | distance_km: 5138.0 | average_transit_days: 12 | route_risk: Medium | traffic_index: 37
route_id: f0f65a12-c028-4b20-92d5-21d5445f2c50 | origin_city: Singapore | destination_city: Incheon | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Incheon Port | distance_km: 4467.0 | average_transit_days: 8 | route_risk: High | traffic_index: 64
route_id: 03b99f44-02be-4d0e-9a00-eb987a6e1ca7 | origin_city: Incheon | destination_city: Rotterdam | origin_country: South Korea | destination_country: Netherlands | origin_port: Port of Busan | destination_port: Port of Rotterdam | distance_km: 9580.07 | average_transit_days: 23 | route_risk: High | traffic_index: 75
route_id: ba9bd223-aa09-44e5-9fdd-853f5c940ba6 | origin_city: Chennai | destination_city: Kolkata | origin_country: India | destination_country: India | origin_port: Nhava Sheva | destination_port: Nhava Sheva | distance_km: 2281.17 | average_transit_days: 5 | route_risk: Medium | traffic_index: 68
route_id: 27d81513-5228-4117-945f-4f97b9d3d3d5 | origin_city: Houston | destination_city: Osaka | origin_country: United States | destination_country: Japan | origin_port: Port of LA | destination_port: Port of Yokohama | distance_km: 1322.99 | average_transit_days: 5 | route_risk: High | traffic_index: 84
route_id: 6f8777b8-771b-46c5-bf30-fb7f4d9e461d | origin_city: Singapore | destination_city: Tokyo | origin_country: Singapore | destination_country: Japan | origin_port: Port of Singapore | destination_port: Port of Yokohama | distance_km: 10939.64 | average_transit_days: 24 | route_risk: Medium | traffic_index: 66
route_id: 395ba0f4-9dee-44de-bb24-d0e2b47f502a | origin_city: Los Angeles | destination_city: Singapore | origin_country: United States | destination_country: Singapore | origin_port: Port Houston | destination_port: Port of Singapore | distance_km: 11139.05 | average_transit_days: 21 | route_risk: High | traffic_index: 75
route_id: d2bf357b-e123-4ee3-ae06-676a79bcfb26 | origin_city: Seoul | destination_city: Busan | origin_country: South Korea | destination_country: South Korea | origin_port: Incheon Port | destination_port: Port of Busan | distance_km: 276.01 | average_transit_days: 4 | route_risk: Low | traffic_index: 30
route_id: e0885f6d-7555-40a9-b6d2-5a226101e2d6 | origin_city: London | destination_city: Chicago | origin_country: United Kingdom | destination_country: United States | origin_port: London Gateway | destination_port: Port Houston | distance_km: 7125.24 | average_transit_days: 12 | route_risk: Medium | traffic_index: 55
route_id: 3455d976-caad-4383-8a6a-e0bef7bb885a | origin_city: Hyderabad | destination_city: Los Angeles | origin_country: India | destination_country: United States | origin_port: Chennai Port | destination_port: Port Houston | distance_km: 11823.86 | average_transit_days: 28 | route_risk: Medium | traffic_index: 47
route_id: ff18a5a9-2d34-4239-b227-22c25c824399 | origin_city: Dubai | destination_city: Busan | origin_country: UAE | destination_country: South Korea | origin_port: Jebel Ali | destination_port: Port of Busan | distance_km: 12432.25 | average_transit_days: 22 | route_risk: Low | traffic_index: 20
route_id: 9c142111-71bb-409c-ba9d-a83f5156c3f3 | origin_city: Busan | destination_city: Singapore | origin_country: South Korea | destination_country: Singapore | origin_port: Port of Busan | destination_port: Port of Singapore | distance_km: 8317.6 | average_transit_days: 14 | route_risk: Medium | traffic_index: 40
route_id: 92e9d5c5-b796-4ff5-8637-6fd2da777321 | origin_city: Yokohama | destination_city: Dubai | origin_country: Japan | destination_country: UAE | origin_port: Port of Yokohama | destination_port: Jebel Ali | distance_km: 5914.76 | average_transit_days: 10 | route_risk: Low | traffic_index: 26
route_id: 3aca87c5-b137-48cd-abe5-b75748512158 | origin_city: Singapore | destination_city: Tokyo | origin_country: Singapore | destination_country: Japan | origin_port: Port of Singapore | destination_port: Port of Osaka | distance_km: 627.15 | average_transit_days: 6 | route_risk: High | traffic_index: 68
route_id: 758c1da9-bf28-4b53-953e-6b424e867fc6 | origin_city: Osaka | destination_city: Felixstowe | origin_country: Japan | destination_country: United Kingdom | origin_port: Port of Yokohama | destination_port: Port of Felixstowe | distance_km: 7684.97 | average_transit_days: 17 | route_risk: Medium | traffic_index: 37
route_id: 76288964-4d57-4a60-9698-068258e1fa62 | origin_city: Felixstowe | destination_city: Rotterdam | origin_country: United Kingdom | destination_country: Netherlands | origin_port: Port of Felixstowe | destination_port: Port of Rotterdam | distance_km: 8358.86 | average_transit_days: 16 | route_risk: Low | traffic_index: 42
route_id: 15f5fad6-a25d-4043-ae3d-a39941f9082d | origin_city: Los Angeles | destination_city: Sharjah | origin_country: United States | destination_country: UAE | origin_port: Port Houston | destination_port: Khalifa Port | distance_km: 1276.8 | average_transit_days: 6 | route_risk: Medium | traffic_index: 64
route_id: 077eaa72-2377-4f28-83b5-1bdee77d43ac | origin_city: Singapore | destination_city: Houston | origin_country: Singapore | destination_country: United States | origin_port: Port of Singapore | destination_port: Port Houston | distance_km: 598.16 | average_transit_days: 4 | route_risk: Medium | traffic_index: 58
route_id: f7264cf6-3f75-4933-b0ba-00780196004d | origin_city: Manchester | destination_city: Singapore | origin_country: United Kingdom | destination_country: Singapore | origin_port: London Gateway | destination_port: Port of Singapore | distance_km: 10877.3 | average_transit_days: 15 | route_risk: Low | traffic_index: 44
route_id: 5ee0eeb9-c1ab-4793-81b5-4e2b6090e56a | origin_city: Delhi | destination_city: Dubai | origin_country: India | destination_country: UAE | origin_port: Nhava Sheva | destination_port: Jebel Ali | distance_km: 3980.86 | average_transit_days: 6 | route_risk: Medium | traffic_index: 58
route_id: 41d77d96-a69a-4300-bbde-1c2bc46a97fd | origin_city: Busan | destination_city: Singapore | origin_country: South Korea | destination_country: Singapore | origin_port: Port of Busan | destination_port: Port of Singapore | distance_km: 1013.97 | average_transit_days: 4 | route_risk: Low | traffic_index: 35
route_id: de88d1df-060b-4515-913d-94dfd5185a08 | origin_city: Amsterdam | destination_city: Incheon | origin_country: Netherlands | destination_country: South Korea | origin_port: Port of Rotterdam | destination_port: Incheon Port | distance_km: 1255.4 | average_transit_days: 2 | route_risk: Low | traffic_index: 41
route_id: 18e9acac-f0a4-4a20-8ace-c1550828b44f | origin_city: Chennai | destination_city: Bremen | origin_country: India | destination_country: Germany | origin_port: Chennai Port | destination_port: Bremerhaven | distance_km: 8881.5 | average_transit_days: 16 | route_risk: Low | traffic_index: 39
route_id: e7ac2e88-a207-4d1b-99f8-e53791a56bcc | origin_city: Busan | destination_city: Osaka | origin_country: South Korea | destination_country: Japan | origin_port: Incheon Port | destination_port: Port of Osaka | distance_km: 9102.22 | average_transit_days: 15 | route_risk: Medium | traffic_index: 41
route_id: 10fca928-04e3-4210-9fd5-8baa41da259c | origin_city: Busan | destination_city: Amsterdam | origin_country: South Korea | destination_country: Netherlands | origin_port: Incheon Port | destination_port: Port of Rotterdam | distance_km: 8313.04 | average_transit_days: 19 | route_risk: Medium | traffic_index: 41
route_id: d7b0697f-88d8-43e8-8438-cac901d1b8df | origin_city: Amsterdam | destination_city: Bremen | origin_country: Netherlands | destination_country: Germany | origin_port: Port of Rotterdam | destination_port: Bremerhaven | distance_km: 2545.53 | average_transit_days: 7 | route_risk: Medium | traffic_index: 59
route_id: 67f88e57-6a41-4160-93a2-120648ef5fec | origin_city: Mumbai | destination_city: Tokyo | origin_country: India | destination_country: Japan | origin_port: Nhava Sheva | destination_port: Port of Yokohama | distance_km: 6459.85 | average_transit_days: 13 | route_risk: Medium | traffic_index: 56
route_id: fe51352a-1a6d-49c7-9eb5-dbd7aac05c2a | origin_city: Abu Dhabi | destination_city: Seoul | origin_country: UAE | destination_country: South Korea | origin_port: Khalifa Port | destination_port: Incheon Port | distance_km: 7433.62 | average_transit_days: 12 | route_risk: High | traffic_index: 71
route_id: d851e7e5-bccb-45a9-981b-fd2ba7ef4848 | origin_city: Singapore | destination_city: Delhi | origin_country: Singapore | destination_country: India | origin_port: Port of Singapore | destination_port: Nhava Sheva | distance_km: 831.56 | average_transit_days: 3 | route_risk: High | traffic_index: 70
route_id: 6bcfba85-81b0-4183-9a51-502a2378801c | origin_city: Manchester | destination_city: Osaka | origin_country: United Kingdom | destination_country: Japan | origin_port: Port of Felixstowe | destination_port: Port of Yokohama | distance_km: 9515.0 | average_transit_days: 16 | route_risk: High | traffic_index: 71
route_id: c12ba73e-4f43-46be-9c90-f8f7a0fe770d | origin_city: Hyderabad | destination_city: Guangzhou | origin_country: India | destination_country: China | origin_port: Nhava Sheva | destination_port: Shenzhen Port | distance_km: 608.59 | average_transit_days: 2 | route_risk: Medium | traffic_index: 41
route_id: 93cc9fb8-2097-4c09-9191-aedc20387797 | origin_city: Seoul | destination_city: Abu Dhabi | origin_country: South Korea | destination_country: UAE | origin_port: Port of Busan | destination_port: Khalifa Port | distance_km: 9077.1 | average_transit_days: 14 | route_risk: Low | traffic_index: 31
route_id: 72d7c918-e680-4296-910a-3ecf221291fe | origin_city: Frankfurt | destination_city: Shenzhen | origin_country: Germany | destination_country: China | origin_port: Bremerhaven | destination_port: Shanghai Port | distance_km: 9528.33 | average_transit_days: 22 | route_risk: Medium | traffic_index: 44
route_id: 43eafeea-f4b8-4327-8a51-f2c047496a0c | origin_city: Amsterdam | destination_city: New York | origin_country: Netherlands | destination_country: United States | origin_port: Port of Rotterdam | destination_port: Port Houston | distance_km: 3210.14 | average_transit_days: 6 | route_risk: Low | traffic_index: 19
route_id: 0e871d85-e5b7-41ae-97f2-f1d17f62a122 | origin_city: Singapore | destination_city: Mumbai | origin_country: Singapore | destination_country: India | origin_port: Port of Singapore | destination_port: Mundra Port | distance_km: 690.64 | average_transit_days: 3 | route_risk: Critical | traffic_index: 90
route_id: d1de2aab-3125-457b-beb0-4c0421dda26b | origin_city: Singapore | destination_city: Seoul | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Incheon Port | distance_km: 12005.16 | average_transit_days: 29 | route_risk: Medium | traffic_index: 54
route_id: b237b842-0fc7-47b9-a157-3a905fa685fe | origin_city: Amsterdam | destination_city: Shenzhen | origin_country: Netherlands | destination_country: China | origin_port: Port of Rotterdam | destination_port: Shanghai Port | distance_km: 9030.74 | average_transit_days: 20 | route_risk: Medium | traffic_index: 52
route_id: 6162ba33-8b14-4a21-962a-340e9423b276 | origin_city: Singapore | destination_city: Bremen | origin_country: Singapore | destination_country: Germany | origin_port: Port of Singapore | destination_port: Bremerhaven | distance_km: 10183.27 | average_transit_days: 20 | route_risk: Low | traffic_index: 28
route_id: aa873375-1f10-4cec-827d-64fc3208412d | origin_city: Abu Dhabi | destination_city: Hamburg | origin_country: UAE | destination_country: Germany | origin_port: Khalifa Port | destination_port: Bremerhaven | distance_km: 10233.59 | average_transit_days: 18 | route_risk: Medium | traffic_index: 67
route_id: 2e183ba8-9920-4bdb-96e9-3a954619b34d | origin_city: Hamburg | destination_city: Singapore | origin_country: Germany | destination_country: Singapore | origin_port: Port of Hamburg | destination_port: Port of Singapore | distance_km: 549.26 | average_transit_days: 2 | route_risk: Low | traffic_index: 27
route_id: b04d7382-18ba-404a-af2f-db8ad6fcb9b0 | origin_city: Amsterdam | destination_city: Singapore | origin_country: Netherlands | destination_country: Singapore | origin_port: Port of Rotterdam | destination_port: Port of Singapore | distance_km: 6669.95 | average_transit_days: 12 | route_risk: Low | traffic_index: 27
route_id: 2a1a693f-af12-4c4e-9db2-f6f825b8197c | origin_city: Singapore | destination_city: Hyderabad | origin_country: Singapore | destination_country: India | origin_port: Port of Singapore | destination_port: Kolkata Port | distance_km: 7817.47 | average_transit_days: 18 | route_risk: Medium | traffic_index: 59
route_id: 1a2fa8b7-2810-4ec9-ac35-076034f80c58 | origin_city: Tokyo | destination_city: Ahmedabad | origin_country: Japan | destination_country: India | origin_port: Port of Yokohama | destination_port: Nhava Sheva | distance_km: 4567.73 | average_transit_days: 9 | route_risk: High | traffic_index: 74
route_id: 538ddef3-6904-45f0-bdf7-124759f837b6 | origin_city: Singapore | destination_city: Chicago | origin_country: Singapore | destination_country: United States | origin_port: Port of Singapore | destination_port: Port Houston | distance_km: 8839.47 | average_transit_days: 21 | route_risk: Medium | traffic_index: 44
route_id: 2e9f0940-517f-4e17-8bcb-4b2810964fa1 | origin_city: Osaka | destination_city: Houston | origin_country: Japan | destination_country: United States | origin_port: Port of Osaka | destination_port: Port Houston | distance_km: 8459.56 | average_transit_days: 15 | route_risk: Low | traffic_index: 38
route_id: ae43747d-890a-4bfa-b4c1-1ae1f780061b | origin_city: London | destination_city: Shenzhen | origin_country: United Kingdom | destination_country: China | origin_port: Port of Felixstowe | destination_port: Shenzhen Port | distance_km: 6843.47 | average_transit_days: 14 | route_risk: Low | traffic_index: 37
route_id: f7189a50-87f9-491f-80c8-4e5624b7c527 | origin_city: Yokohama | destination_city: Los Angeles | origin_country: Japan | destination_country: United States | origin_port: Port of Osaka | destination_port: Port of LA | distance_km: 8011.7 | average_transit_days: 14 | route_risk: High | traffic_index: 74
route_id: d43f447b-70ea-4559-b565-bc7b5d4e96e2 | origin_city: Tokyo | destination_city: Felixstowe | origin_country: Japan | destination_country: United Kingdom | origin_port: Port of Osaka | destination_port: Port of Felixstowe | distance_km: 2258.13 | average_transit_days: 8 | route_risk: Medium | traffic_index: 54
route_id: bd1cb21c-5914-46c5-8894-c5b2a698bc34 | origin_city: Seoul | destination_city: Shanghai | origin_country: South Korea | destination_country: China | origin_port: Incheon Port | destination_port: Shenzhen Port | distance_km: 10566.57 | average_transit_days: 23 | route_risk: Low | traffic_index: 36
route_id: ba2451b7-03ed-478d-bd68-8140a1b9d281 | origin_city: London | destination_city: Seoul | origin_country: United Kingdom | destination_country: South Korea | origin_port: Port of Felixstowe | destination_port: Incheon Port | distance_km: 7236.39 | average_transit_days: 10 | route_risk: High | traffic_index: 66
route_id: 4f165d4e-21cc-49f0-813e-d6214405388f | origin_city: Rotterdam | destination_city: Busan | origin_country: Netherlands | destination_country: South Korea | origin_port: Port of Rotterdam | destination_port: Incheon Port | distance_km: 11704.83 | average_transit_days: 23 | route_risk: High | traffic_index: 88
route_id: 5b073d46-4819-4c12-ac11-d8c441e2e8a3 | origin_city: Seoul | destination_city: Shanghai | origin_country: South Korea | destination_country: China | origin_port: Incheon Port | destination_port: Shanghai Port | distance_km: 866.24 | average_transit_days: 6 | route_risk: High | traffic_index: 79
route_id: 9fb074be-9d1f-47e6-b784-a4e20dd59f50 | origin_city: Dubai | destination_city: London | origin_country: UAE | destination_country: United Kingdom | origin_port: Jebel Ali | destination_port: Port of Felixstowe | distance_km: 1028.59 | average_transit_days: 5 | route_risk: Low | traffic_index: 39
route_id: d510b46a-f046-4153-8cdc-7ec84599dab3 | origin_city: Felixstowe | destination_city: Amsterdam | origin_country: United Kingdom | destination_country: Netherlands | origin_port: Port of Felixstowe | destination_port: Port of Rotterdam | distance_km: 441.41 | average_transit_days: 1 | route_risk: Low | traffic_index: 20
route_id: a39afdde-f59a-4fa8-934b-15f7c72b4b6e | origin_city: Singapore | destination_city: Busan | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Port of Busan | distance_km: 1144.52 | average_transit_days: 3 | route_risk: Low | traffic_index: 31
route_id: ad9529d5-eef0-47c8-9696-d6fa985727e1 | origin_city: Shenzhen | destination_city: Chicago | origin_country: China | destination_country: United States | origin_port: Shenzhen Port | destination_port: Port of LA | distance_km: 5366.98 | average_transit_days: 12 | route_risk: Critical | traffic_index: 90
route_id: c0f21ad1-5e23-41d9-8391-19a5cb46345a | origin_city: Chicago | destination_city: London | origin_country: United States | destination_country: United Kingdom | origin_port: Port Newark | destination_port: Port of Felixstowe | distance_km: 12392.69 | average_transit_days: 16 | route_risk: Low | traffic_index: 18
route_id: d0eaa071-071f-4cb2-aa6e-1339273945f5 | origin_city: Felixstowe | destination_city: Manchester | origin_country: United Kingdom | destination_country: United Kingdom | origin_port: London Gateway | destination_port: London Gateway | distance_km: 1376.87 | average_transit_days: 7 | route_risk: High | traffic_index: 68
route_id: 819fc592-c0a6-4737-915d-bf020935bb22 | origin_city: Shanghai | destination_city: Singapore | origin_country: China | destination_country: Singapore | origin_port: Shenzhen Port | destination_port: Port of Singapore | distance_km: 9671.09 | average_transit_days: 17 | route_risk: Medium | traffic_index: 63
route_id: 85a092c3-c578-4161-adaf-f54628303ede | origin_city: Hamburg | destination_city: Ahmedabad | origin_country: Germany | destination_country: India | origin_port: Bremerhaven | destination_port: Kolkata Port | distance_km: 5443.44 | average_transit_days: 10 | route_risk: Low | traffic_index: 44
route_id: 065e4640-d409-44eb-8cf1-dbade2a10d7a | origin_city: Frankfurt | destination_city: Shenzhen | origin_country: Germany | destination_country: China | origin_port: Bremerhaven | destination_port: Shanghai Port | distance_km: 1499.15 | average_transit_days: 6 | route_risk: Medium | traffic_index: 45
route_id: 9264c905-0fdd-4d01-a2f5-d07407480503 | origin_city: New York | destination_city: Manchester | origin_country: United States | destination_country: United Kingdom | origin_port: Port Newark | destination_port: Port of Felixstowe | distance_km: 8121.58 | average_transit_days: 16 | route_risk: Low | traffic_index: 26
route_id: a0e1ce2d-b770-4075-b323-283945ba891c | origin_city: Singapore | destination_city: Seoul | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Port of Busan | distance_km: 9027.32 | average_transit_days: 14 | route_risk: Low | traffic_index: 44
route_id: e0270858-0929-4a0a-a151-ac28bd07421c | origin_city: Osaka | destination_city: London | origin_country: Japan | destination_country: United Kingdom | origin_port: Port of Osaka | destination_port: London Gateway | distance_km: 10265.72 | average_transit_days: 22 | route_risk: High | traffic_index: 60
route_id: b201a553-6f7c-41d1-942b-8d17a4204dae | origin_city: Abu Dhabi | destination_city: Sharjah | origin_country: UAE | destination_country: UAE | origin_port: Khalifa Port | destination_port: Khalifa Port | distance_km: 1704.76 | average_transit_days: 5 | route_risk: Low | traffic_index: 43
route_id: 6b5b0244-da82-48e3-a83b-4daf406f146e | origin_city: Singapore | destination_city: Tokyo | origin_country: Singapore | destination_country: Japan | origin_port: Port of Singapore | destination_port: Port of Yokohama | distance_km: 4414.66 | average_transit_days: 10 | route_risk: Low | traffic_index: 16
route_id: 5bf36edb-9bb6-4614-a6b7-57a24487da75 | origin_city: Busan | destination_city: Felixstowe | origin_country: South Korea | destination_country: United Kingdom | origin_port: Incheon Port | destination_port: Port of Felixstowe | distance_km: 6738.92 | average_transit_days: 12 | route_risk: Medium | traffic_index: 44
route_id: 6fd7e4aa-b427-4ed1-9597-55a33e98eb75 | origin_city: Kolkata | destination_city: Hyderabad | origin_country: India | destination_country: India | origin_port: Mundra Port | destination_port: Chennai Port | distance_km: 210.78 | average_transit_days: 2 | route_risk: Medium | traffic_index: 57
route_id: f6ece48c-e2ab-482b-9e24-9722f5c1c0ce | origin_city: London | destination_city: Busan | origin_country: United Kingdom | destination_country: South Korea | origin_port: London Gateway | destination_port: Incheon Port | distance_km: 6928.16 | average_transit_days: 11 | route_risk: Low | traffic_index: 42
route_id: 82b77aa7-3666-4091-865c-9fa8836f4b99 | origin_city: Hyderabad | destination_city: Hamburg | origin_country: India | destination_country: Germany | origin_port: Kolkata Port | destination_port: Bremerhaven | distance_km: 3923.77 | average_transit_days: 5 | route_risk: Medium | traffic_index: 67
route_id: b410a5b1-a566-4d08-b686-bb079dab7867 | origin_city: Ningbo | destination_city: Sharjah | origin_country: China | destination_country: UAE | origin_port: Shenzhen Port | destination_port: Jebel Ali | distance_km: 7335.91 | average_transit_days: 16 | route_risk: Low | traffic_index: 34
route_id: 952de75d-f5c8-4d63-90ed-52d1c3ce1a67 | origin_city: New York | destination_city: Rotterdam | origin_country: United States | destination_country: Netherlands | origin_port: Port Houston | destination_port: Port of Rotterdam | distance_km: 10525.21 | average_transit_days: 27 | route_risk: High | traffic_index: 72
route_id: 130cf530-10df-42e4-9f88-dc17323ea8dc | origin_city: Felixstowe | destination_city: Tokyo | origin_country: United Kingdom | destination_country: Japan | origin_port: Port of Felixstowe | destination_port: Port of Yokohama | distance_km: 794.9 | average_transit_days: 5 | route_risk: Medium | traffic_index: 41
route_id: 1c39fb0a-a70b-4e2d-ae0e-bc226b3913fc | origin_city: Singapore | destination_city: Incheon | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Incheon Port | distance_km: 5978.44 | average_transit_days: 8 | route_risk: Low | traffic_index: 26
route_id: 39f20f2c-2ff5-4cc1-ac31-c2700c884bea | origin_city: Frankfurt | destination_city: Singapore | origin_country: Germany | destination_country: Singapore | origin_port: Port of Hamburg | destination_port: Port of Singapore | distance_km: 9914.8 | average_transit_days: 16 | route_risk: Medium | traffic_index: 55
route_id: 45a361bd-5ca9-407b-a024-2168fa465282 | origin_city: Amsterdam | destination_city: Hamburg | origin_country: Netherlands | destination_country: Germany | origin_port: Port of Rotterdam | destination_port: Bremerhaven | distance_km: 11060.32 | average_transit_days: 18 | route_risk: Low | traffic_index: 19
route_id: 4adf517f-45e9-4ec5-8725-0614d9a988cc | origin_city: London | destination_city: Incheon | origin_country: United Kingdom | destination_country: South Korea | origin_port: London Gateway | destination_port: Incheon Port | distance_km: 9115.77 | average_transit_days: 15 | route_risk: Medium | traffic_index: 67
route_id: f254cb33-fbe0-463a-b9fc-b8c16981bdb6 | origin_city: Tokyo | destination_city: Bremen | origin_country: Japan | destination_country: Germany | origin_port: Port of Osaka | destination_port: Port of Hamburg | distance_km: 11847.38 | average_transit_days: 21 | route_risk: Medium | traffic_index: 36
route_id: 7f63bd42-a7ba-4b83-87e5-35fdeff0e2e9 | origin_city: New York | destination_city: Delhi | origin_country: United States | destination_country: India | origin_port: Port Houston | destination_port: Chennai Port | distance_km: 6256.15 | average_transit_days: 9 | route_risk: Low | traffic_index: 26
route_id: d176175b-ab36-4d4f-b389-c2950f098e04 | origin_city: Tokyo | destination_city: London | origin_country: Japan | destination_country: United Kingdom | origin_port: Port of Osaka | destination_port: London Gateway | distance_km: 12378.95 | average_transit_days: 19 | route_risk: Low | traffic_index: 37
route_id: 45cbdf7c-c569-48a9-b42e-8f00d3d4e116 | origin_city: Singapore | destination_city: Manchester | origin_country: Singapore | destination_country: United Kingdom | origin_port: Port of Singapore | destination_port: Port of Felixstowe | distance_km: 10564.14 | average_transit_days: 15 | route_risk: Medium | traffic_index: 42
route_id: c4176068-ab75-40bb-9723-328665ef8858 | origin_city: London | destination_city: Felixstowe | origin_country: United Kingdom | destination_country: United Kingdom | origin_port: London Gateway | destination_port: Port of Felixstowe | distance_km: 2358.58 | average_transit_days: 9 | route_risk: Low | traffic_index: 22
route_id: c877ff99-b792-40a8-99a9-5377e670801c | origin_city: Busan | destination_city: Rotterdam | origin_country: South Korea | destination_country: Netherlands | origin_port: Port of Busan | destination_port: Port of Rotterdam | distance_km: 7418.87 | average_transit_days: 10 | route_risk: Medium | traffic_index: 54
route_id: 94b4ba80-88e7-48fb-bd30-3e023b3b00f8 | origin_city: Abu Dhabi | destination_city: Seoul | origin_country: UAE | destination_country: South Korea | origin_port: Jebel Ali | destination_port: Incheon Port | distance_km: 1365.51 | average_transit_days: 3 | route_risk: Low | traffic_index: 15
route_id: 26522c60-c51b-4bde-8498-34051892233a | origin_city: Amsterdam | destination_city: Houston | origin_country: Netherlands | destination_country: United States | origin_port: Port of Rotterdam | destination_port: Port Newark | distance_km: 2251.21 | average_transit_days: 7 | route_risk: Low | traffic_index: 29
route_id: 112c194b-48a6-4d5a-aa4e-c9e6c480381a | origin_city: Singapore | destination_city: Felixstowe | origin_country: Singapore | destination_country: United Kingdom | origin_port: Port of Singapore | destination_port: Port of Felixstowe | distance_km: 1355.76 | average_transit_days: 4 | route_risk: Medium | traffic_index: 41
route_id: fb1b7125-3811-416a-a020-0080e54f7496 | origin_city: Ningbo | destination_city: Seoul | origin_country: China | destination_country: South Korea | origin_port: Shenzhen Port | destination_port: Incheon Port | distance_km: 3508.4 | average_transit_days: 10 | route_risk: Low | traffic_index: 35
route_id: 3626b8b7-e5c0-4319-bb6c-426fb4229094 | origin_city: Hamburg | destination_city: Rotterdam | origin_country: Germany | destination_country: Netherlands | origin_port: Bremerhaven | destination_port: Port of Rotterdam | distance_km: 7397.73 | average_transit_days: 17 | route_risk: Medium | traffic_index: 47
route_id: 84bd20b6-44b9-49ff-8b0a-aa2f2343671d | origin_city: Singapore | destination_city: Dubai | origin_country: Singapore | destination_country: UAE | origin_port: Port of Singapore | destination_port: Jebel Ali | distance_km: 11627.0 | average_transit_days: 24 | route_risk: Low | traffic_index: 41
route_id: 65a955a4-092a-4f05-8b6c-10824d13a857 | origin_city: Seoul | destination_city: Dubai | origin_country: South Korea | destination_country: UAE | origin_port: Incheon Port | destination_port: Jebel Ali | distance_km: 5960.56 | average_transit_days: 14 | route_risk: High | traffic_index: 69
route_id: 58eb5a62-42d7-4ca0-9049-8bcabf9fa786 | origin_city: Bremen | destination_city: Incheon | origin_country: Germany | destination_country: South Korea | origin_port: Bremerhaven | destination_port: Port of Busan | distance_km: 5778.09 | average_transit_days: 13 | route_risk: High | traffic_index: 72
route_id: 2539c754-59fb-4b7d-bf18-7d6f6c5821fa | origin_city: Osaka | destination_city: Houston | origin_country: Japan | destination_country: United States | origin_port: Port of Osaka | destination_port: Port of LA | distance_km: 2322.12 | average_transit_days: 6 | route_risk: Medium | traffic_index: 48
route_id: 137986bf-2d47-4fb4-85a2-1e36a6b634f3 | origin_city: Singapore | destination_city: Amsterdam | origin_country: Singapore | destination_country: Netherlands | origin_port: Port of Singapore | destination_port: Port of Rotterdam | distance_km: 11490.26 | average_transit_days: 20 | route_risk: High | traffic_index: 79
