Sheet Name: Shipments

shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | booking_id: ALC-2025-100000 | customer_id: 8f429dcf-8ec1-414b-9ba1-3cf9bee03dd9 | product_id: aa603d29-62c7-4256-aebf-e03cd57b1bd4 | carrier_id: 0d6bede1-9f61-4459-bb5c-32013d10e53b | warehouse_id: ee447931-f470-45fb-8df5-ef1167dc7fda | route_id: 90686ae5-7c43-46dd-8742-7cdf4561089c | vehicle_id: 9bdb03eb-36f7-4356-b175-e4a30b38affa | customs_id: 4345ef94-48fe-47d0-a93d-e413e1efcd7b | weather_id: 3138bd22-56a2-45c2-8a9a-43da64e93cdd | booking_date: 2025-12-29 00:00:00 | ship_date: 2026-01-08 00:00:00 | expected_delivery_date: 2026-01-13 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 122.19 | volume_cbm: 37.42 | declared_value: 165766.99 | insurance: True | fragile: False
shipment_id: d05492f0-0a50-469e-80db-a0b2cf51b4e2 | booking_id: ALC-2025-100169 | customer_id: 60642d1d-823a-46c7-8609-8f8cf2a79b49 | product_id: 9029166d-0e4f-451e-9004-63d235bfd680 | carrier_id: f798d41d-73ca-4a3f-aa43-30c160e32bb6 | warehouse_id: df6a8e37-6144-4b0b-95d7-f589fe34d468 | route_id: 044c8083-3894-4e61-a816-dfd173b925da | vehicle_id: 67cacad1-9023-4847-b312-4b9543d945d5 | customs_id: a38daedb-4b30-4dc6-a575-46ee00becc69 | weather_id: a3e3a778-d34e-4421-a6cd-bd030987ed28 | booking_date: 2025-10-24 00:00:00 | ship_date: 2025-11-03 00:00:00 | expected_delivery_date: 2025-11-09 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: Normal | weight_kg: 3316.68 | volume_cbm: 73.81 | declared_value: 124460.39 | insurance: False | fragile: False
shipment_id: d442548a-c35c-4abf-a4ac-445d7eb4601c | booking_id: ALC-2026-100170 | customer_id: 5df2db0b-47bd-4140-85c1-cb92648761fa | product_id: b4789660-1291-4686-aa68-4b476e23a656 | carrier_id: 29845397-57d9-4c9c-a8ff-c51eef4296b3 | warehouse_id: 3c02ffd8-b3c0-4c7d-80bb-120bf4527809 | route_id: dbe2c87e-07b0-4414-a504-ba665696635d | vehicle_id: 4be7efd1-5bc6-48d3-bfc1-be359d657c74 | customs_id: cb6cb4d5-425f-44bf-a39a-8b9dfd78dcd5 | weather_id: 9dac0480-7109-4ced-930c-5fc133da8b8c | booking_date: 2026-03-07 00:00:00 | ship_date: 2026-03-08 00:00:00 | expected_delivery_date: 2026-03-26 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 7063.04 | volume_cbm: 74.1 | declared_value: 86764.18 | insurance: True | fragile: False
shipment_id: 5b008b16-3ef7-48ea-98e4-94e6f5ad102d | booking_id: ALC-2025-100171 | customer_id: 1dcc10a4-cbc2-485c-8454-a25c4471d33c | product_id: 2a2a5f94-3780-4b78-91d8-69652399ef7a | carrier_id: 9eb291cf-027e-45e0-8426-852ac3578156 | warehouse_id: 555c85af-4c5c-42b4-a25b-372562b00a07 | route_id: ff146fea-8374-4901-9880-4016d8367e1e | vehicle_id: 54b1c06c-8111-4144-b83c-4b438c0a28ee | customs_id: 69ac8f2e-1be8-4d26-96e0-09d5220386d2 | weather_id: f23c31e2-2972-45d3-a8a2-1849aae16ead | booking_date: 2025-09-30 00:00:00 | ship_date: 2025-10-02 00:00:00 | expected_delivery_date: 2025-10-13 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Low | weight_kg: 7654.52 | volume_cbm: 69.42 | declared_value: 226910.77 | insurance: True | fragile: False
shipment_id: 226ce112-c953-47cb-9b6f-9f4e3492ad6a | booking_id: ALC-2026-100172 | customer_id: 13ea5f8c-d139-4ef7-b228-b3b5d984cab1 | product_id: d05b3a08-0685-4631-b7c4-6d589f1158ff | carrier_id: 5817ec24-7c00-4c06-a3fe-9d49f854fc25 | warehouse_id: daebf80e-a3fa-429d-9477-b06dfed942da | route_id: 92430e4e-e609-440e-a681-941757b6a480 | vehicle_id: a54ffcf8-b5f7-40d0-8975-e4e813300e47 | customs_id: d9e85b99-5078-4225-b27b-f6d7de02d5f1 | weather_id: 481a45d7-0979-42ca-b0e1-6c7ad6ea3259 | booking_date: 2026-01-08 00:00:00 | ship_date: 2026-01-16 00:00:00 | expected_delivery_date: 2026-01-31 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Urgent | weight_kg: 3740.44 | volume_cbm: 2.3 | declared_value: 225666.53 | insurance: True | fragile: False
shipment_id: b5cb6f83-2544-4151-b9a9-550a7fba0c3c | booking_id: ALC-2025-100173 | customer_id: bcf93fdc-40f0-4498-8850-32d9bd766581 | product_id: 3e9d9ee8-fd46-4268-a38c-89f935b90cf2 | carrier_id: c91275e6-c06f-437e-8c52-684d057c520d | warehouse_id: c7f9dbb8-4e56-4664-8575-ea7509e4e222 | route_id: 314f8893-406c-4dd6-944c-8e2921948b7b | vehicle_id: bd4b4a85-ab17-42c2-bbc2-7350dbc172d8 | customs_id: 649d9653-d7b1-465a-8560-87980f46e082 | weather_id: 98fcd3e1-cb5a-436b-ad2b-0cbcd0e02adc | booking_date: 2025-02-11 00:00:00 | ship_date: 2025-02-20 00:00:00 | expected_delivery_date: 2025-03-08 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Normal | weight_kg: 17078.16 | volume_cbm: 52.32 | declared_value: 49390.5 | insurance: True | fragile: False
shipment_id: cb9cbe03-6128-4a8a-9822-cd678e7abe4b | booking_id: ALC-2026-100174 | customer_id: 6d0b3cee-4aa1-401f-953a-685dbfc1b594 | product_id: fa59ede9-1222-4d84-8990-aa1cfd0562f1 | carrier_id: d5fa037f-4111-49f6-859d-049c2d0762aa | warehouse_id: 5b5cf8fd-ea1c-48d8-9a10-5359cc13d2af | route_id: d77cd0d6-8e48-453d-b11a-ad9941595e7f | vehicle_id: 9faf2853-ad6b-4379-aaa1-b04c6deba252 | customs_id: d0666933-a378-494c-bf75-ffcd32d57487 | weather_id: e905f872-b7bc-46cd-8592-37b6dfa2f673 | booking_date: 2026-01-07 00:00:00 | ship_date: 2026-01-10 00:00:00 | expected_delivery_date: 2026-01-21 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Low | weight_kg: 9101.26 | volume_cbm: 3.44 | declared_value: 171657.3 | insurance: True | fragile: False
shipment_id: 7766b6fd-12de-41f6-b337-fda621e70f87 | booking_id: ALC-2025-100175 | customer_id: bfa19c7b-f81a-44f3-9e2b-c72227be3454 | product_id: d0bbf9ef-b453-4068-a3b2-4a5b66349d9e | carrier_id: 882c2071-1e0e-4f50-bf1a-6f661d8cb929 | warehouse_id: 99ff2e57-2914-44bc-b23d-8abc539abe85 | route_id: 68634524-6882-44ae-ae76-bee127ce5d70 | vehicle_id: c39223ae-c131-4a33-8a8a-409f1dd09c7b | customs_id: 241a35e1-0169-4ed7-9c96-8ebbe0645c6a | weather_id: 1df71c52-6d3f-4c14-bc7d-abb22bcbbdcd | booking_date: 2025-09-23 00:00:00 | ship_date: 2025-09-28 00:00:00 | expected_delivery_date: 2025-10-05 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: Low | weight_kg: 43712.4 | volume_cbm: 69.49 | declared_value: 209750.0 | insurance: True | fragile: False
shipment_id: 1a3167a3-aece-4a5f-9109-092d65830fa8 | booking_id: ALC-2025-100176 | customer_id: d853117b-6dd7-43a3-a55b-2081fdfb7290 | product_id: 10b18176-6910-4bd4-bd7c-b1af0f2426db | carrier_id: 33c228ba-ce90-4a0b-8bb6-01712d2a10c1 | warehouse_id: 73bb7d4a-d637-4ef7-a808-9ee72339a55f | route_id: d2fb5466-b350-45b1-b63b-728390024bdd | vehicle_id: a0938381-aba9-49b5-950c-d59ff69646f0 | customs_id: 2f587507-ddbc-42eb-897d-c4f49992ff1a | weather_id: 4e770192-ee54-4268-8d93-981f064ffc1b | booking_date: 2025-12-10 00:00:00 | ship_date: 2025-12-18 00:00:00 | expected_delivery_date: 2025-12-25 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: High | weight_kg: 497.53 | volume_cbm: 47.92 | declared_value: 189409.92 | insurance: True | fragile: False
shipment_id: 56fd92b7-2b78-4a37-a054-4799b2b6591b | booking_id: ALC-2025-100177 | customer_id: c7583bab-858b-455c-8c05-4fff352cd08b | product_id: 13adb318-8875-444b-b572-064c0f23ae1b | carrier_id: 16d589bc-09a1-4f16-af1f-a712da07e43a | warehouse_id: af6a51f8-c690-4a68-b541-45105fdb9ead | route_id: ca5401f2-2dab-4a0f-adf3-34a3fe9279e8 | vehicle_id: 901124a4-6ba2-4a2a-b8a9-8f3d0ef21185 | customs_id: 8816db07-e5b6-4c2e-a31f-d6f4da832f42 | weather_id: 3f5248a1-2380-4c1a-b876-a31e8414afa3 | booking_date: 2025-01-03 00:00:00 | ship_date: 2025-01-12 00:00:00 | expected_delivery_date: 2025-01-27 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Low | weight_kg: 1652.8 | volume_cbm: 66.81 | declared_value: 28206.09 | insurance: True | fragile: False
shipment_id: 02b79b9b-a0aa-459e-98d6-46d543dcfd9d | booking_id: ALC-2025-100178 | customer_id: cd564553-c72e-4c95-b409-1ac6fb4cd25b | product_id: f8c4461a-2b57-4187-9bea-5a91a4b19631 | carrier_id: 479f3c7f-3c81-416d-8d46-18ab8a637869 | warehouse_id: 837bfe9f-d48f-4376-8f56-8de37e1bfe8a | route_id: 3a526f12-476e-41d9-bf43-4428cf118532 | vehicle_id: 05f80908-d06d-4f90-bef0-9e361ad11d78 | customs_id: 3402f7c8-8e45-476c-87cb-f2b3bd06743f | weather_id: 934f60d1-3034-40bf-b042-a5d3d7265869 | booking_date: 2025-02-12 00:00:00 | ship_date: 2025-02-16 00:00:00 | expected_delivery_date: 2025-03-03 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 28840.5 | volume_cbm: 25.51 | declared_value: 118891.74 | insurance: True | fragile: True
shipment_id: e129c98d-5516-40ef-87a9-df17a7ad1d01 | booking_id: ALC-2025-100179 | customer_id: 55c04bc3-ed7e-4616-bc4d-ae6733ef0c45 | product_id: 54772f72-446e-4847-b4c8-4f9fcd8ca428 | carrier_id: ca4f277b-87e6-4864-b7c8-d9d37709e2ef | warehouse_id: 270c86c4-d4e9-42ab-928d-47a5c6627d8a | route_id: df475be3-9017-44e1-bf60-891f747f6996 | vehicle_id: 659074de-9f04-40ef-b2d2-25a3cdce944d | customs_id: 04be122f-a2db-4bc9-b636-46d465f8b2ee | weather_id: 8ffb429f-7cfa-49e4-925d-74ed7a839d56 | booking_date: 2025-01-15 00:00:00 | ship_date: 2025-01-17 00:00:00 | expected_delivery_date: 2025-01-25 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Urgent | weight_kg: 6318.2 | volume_cbm: 41.76 | declared_value: 25990.02 | insurance: False | fragile: True
shipment_id: f38aa1b8-e400-49fe-9485-117be1290aff | booking_id: ALC-2025-100180 | customer_id: 7c56447d-490a-4c2a-9803-858b4176863a | product_id: e29ad0f8-d6ab-451b-bc24-be5d15bfc45f | carrier_id: d5784c9e-9ba8-4cc1-b608-9520dbdc0cf9 | warehouse_id: 0d2ee6ad-b00b-402a-bb9d-0a5fdf474b7b | route_id: 6081a1d6-7ae3-4d44-9ea6-c717517cf4ab | vehicle_id: 1e3392c6-df3b-4b56-bbd5-cf6043d96591 | customs_id: 19cc931d-ebb5-4fad-84a0-f6a0cfdfe4dd | weather_id: 72085233-b02d-4c4d-be0d-ba27cf6df0c5 | booking_date: 2025-03-21 00:00:00 | ship_date: 2025-03-22 00:00:00 | expected_delivery_date: 2025-04-04 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 10353.68 | volume_cbm: 27.02 | declared_value: 143370.32 | insurance: True | fragile: True
shipment_id: 9815445d-dbfb-4d46-a081-778a0995d383 | booking_id: ALC-2026-100181 | customer_id: bc934aed-b145-401e-b448-36be482ed584 | product_id: 63c802a6-ee25-43e8-95ad-ee3363a38c74 | carrier_id: 77b7364d-9bd7-4d47-88cc-6c4458cfacbc | warehouse_id: 79b14b1e-ab3a-4d89-af8e-7812f3568f3d | route_id: 0c343f11-0b21-4d6c-bad5-88b38e733309 | vehicle_id: 64db6ff1-696b-4ed2-99ad-dcc6976b4070 | customs_id: 31f1aab7-c836-45b6-b7e8-67922aef9856 | weather_id: e7132d58-255d-4717-9cf2-b474f5c76bbc | booking_date: 2026-01-26 00:00:00 | ship_date: 2026-02-03 00:00:00 | expected_delivery_date: 2026-02-07 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 7798.5 | volume_cbm: 48.13 | declared_value: 108722.94 | insurance: False | fragile: True
shipment_id: 3da82a4a-2f8e-4c08-b4f0-0d98a89a5ce7 | booking_id: ALC-2025-100182 | customer_id: 4a5ece15-1f4d-4301-a0a2-5e1d5e6b9ac1 | product_id: 26e17345-2e69-45e1-b4f0-9aedc5c27c80 | carrier_id: 672d18d0-e41e-4e36-bca2-83066bf9dfa8 | warehouse_id: 0260aa83-10b0-4926-8cdf-dfbb475897d7 | route_id: 6a8619fb-ebfa-462c-be2f-ce0f5d0d1122 | vehicle_id: d2e219c9-96a3-469d-bef2-0d727a3021aa | customs_id: cdbb3a88-1fdf-4b0a-b747-ecb65dc3ccd1 | weather_id: 2c1ee74b-8a03-4898-824b-0541a57fd8f2 | booking_date: 2025-10-30 00:00:00 | ship_date: 2025-11-08 00:00:00 | expected_delivery_date: 2025-11-18 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 10319.85 | volume_cbm: 50.63 | declared_value: 74505.29 | insurance: True | fragile: False
shipment_id: da017c87-b342-4cb2-8fd0-28aca611d00d | booking_id: ALC-2025-100183 | customer_id: 75e38035-04ff-4c63-bd52-744bd65e6af9 | product_id: a56b86a8-de39-4add-bd51-c4bb350bcf61 | carrier_id: 5eba7b54-9ebf-4a51-b7bb-45d1c2b27599 | warehouse_id: 8b977e7a-a3f3-4af0-9e90-9abdeb20a959 | route_id: 865517c4-ae18-433d-9f32-877fff462a88 | vehicle_id: 950de93c-fbf8-479f-a1fc-555e6d4f7562 | customs_id: b4bcc33e-177b-4526-b60d-eca3f47327f0 | weather_id: 6f4093d3-3b32-492d-9b72-fcfdd2b9faeb | booking_date: 2025-01-19 00:00:00 | ship_date: 2025-01-22 00:00:00 | expected_delivery_date: 2025-02-02 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 4415.4 | volume_cbm: 42.49 | declared_value: 129420.06 | insurance: False | fragile: False
shipment_id: 0491b90b-789e-4fe3-92f4-4b807b3257ac | booking_id: ALC-2025-100184 | customer_id: e9bedd1d-cf3b-4449-8dd1-35bd8046cc5c | product_id: ad118889-faca-418c-9c06-4df8df536856 | carrier_id: 1ea0fbb6-d431-45a7-87a6-504b19c366a2 | warehouse_id: 56d6695e-99a5-4334-875f-3721cf09d479 | route_id: 01516f87-b633-4493-88c5-4ff9f474f1a2 | vehicle_id: 8ddbcfd1-3621-456f-aa1d-179a495b21a6 | customs_id: e4d8c24f-a742-437c-ab66-737652a8bc4d | weather_id: cb9aeb3d-2170-4070-acce-04e4caec90cc | booking_date: 2025-03-02 00:00:00 | ship_date: 2025-03-11 00:00:00 | expected_delivery_date: 2025-03-29 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 35192.73 | volume_cbm: 23.68 | declared_value: 229659.31 | insurance: True | fragile: True
shipment_id: 6179ff65-10d3-4507-b516-62ec657b50f9 | booking_id: ALC-2025-100185 | customer_id: de63c029-539a-48c1-a162-f5ce6d4ba19d | product_id: 5e0d3072-4db9-488d-9a26-7c58c7e1e7d1 | carrier_id: 070ef57e-47de-4bb5-ac7e-daf7729583be | warehouse_id: 705768fb-e69a-4d5d-aba5-2d625b396b7b | route_id: fa8d33cc-64aa-48b3-a2cc-3a1270be4977 | vehicle_id: ef7597ed-dda0-4489-aca1-ea01baf4f847 | customs_id: 1cecac1d-dcb8-4186-9af4-0732407dfb4a | weather_id: ed96d456-949d-447c-bc73-2b8402a500a7 | booking_date: 2025-04-10 00:00:00 | ship_date: 2025-04-11 00:00:00 | expected_delivery_date: 2025-04-20 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 5283.18 | volume_cbm: 5.62 | declared_value: 229186.18 | insurance: True | fragile: False
shipment_id: bbe96034-b731-4c1f-b3b4-4dc6b23ee1ad | booking_id: ALC-2025-100186 | customer_id: cb35b34c-5ed7-4221-82f3-4a533c00f76e | product_id: 2b71f60f-75ae-4054-a54b-ade8e76a4cf6 | carrier_id: aa74ea50-3cfd-4a55-bdd5-6607b2c3ebda | warehouse_id: a48ed0e3-3a91-43bc-8a2d-02dfa28d2884 | route_id: 35b07add-bbd8-4545-9bab-c57ebaa4fe8d | vehicle_id: 3137ff5a-dd21-4580-aa60-75db5368fc68 | customs_id: d7f3597f-6117-4b01-bd23-13996d2ffbd3 | weather_id: 29ad395a-5ed9-4ba7-a9cd-5d63fe131f3b | booking_date: 2025-05-31 00:00:00 | ship_date: 2025-06-09 00:00:00 | expected_delivery_date: 2025-06-19 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 67.2 | volume_cbm: 39.93 | declared_value: 18884.07 | insurance: True | fragile: False
shipment_id: 2736c118-a1d8-42b2-930c-9054991903e9 | booking_id: ALC-2026-100187 | customer_id: 98362e10-7cc3-4650-8e19-34462db13531 | product_id: db5a9945-3765-42f0-9b93-ff3fae37820f | carrier_id: 798af7c4-7f87-4141-82db-a40914decb47 | warehouse_id: 44a4ec36-b88a-4c10-9958-eeff0d91b861 | route_id: f403bbfa-0fd9-4f85-978b-abfe22268941 | vehicle_id: 6436b832-08f5-49ca-9260-7393243d6895 | customs_id: 1d377678-0cfb-493e-b578-2846b59bc9e0 | weather_id: 9d0fa4e1-2702-4e38-ad3f-522328fcda8a | booking_date: 2026-02-11 00:00:00 | ship_date: 2026-02-15 00:00:00 | expected_delivery_date: 2026-03-10 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Urgent | weight_kg: 17902.25 | volume_cbm: 37.16 | declared_value: 73567.28 | insurance: False | fragile: False
shipment_id: 4e2c3aff-cd81-49fc-b2b0-220369ee36d2 | booking_id: ALC-2026-100188 | customer_id: df1045b4-85c5-418a-9848-27cc8e46114f | product_id: 2e6c270d-5f98-44d8-9bef-9cd454ee7212 | carrier_id: d2db0bb0-b3a7-4774-a5e1-e2c5d51568b7 | warehouse_id: 934107de-38af-4133-b18a-c5b808862be1 | route_id: bf4c8d31-670c-4d2d-b658-115d5d017ab8 | vehicle_id: f506665a-ca56-43ad-9a80-2575a984dbd6 | customs_id: 79301396-1235-4ccf-a706-95d91e80b20e | weather_id: 56c4381e-291e-455d-b5b3-b3f9d1d7333d | booking_date: 2026-02-11 00:00:00 | ship_date: 2026-02-12 00:00:00 | expected_delivery_date: 2026-02-14 00:00:00 | shipping_mode: Sea | shipment_type: Export | priority: High | weight_kg: 887.36 | volume_cbm: 10.91 | declared_value: 90958.24 | insurance: True | fragile: False
shipment_id: 4916abc6-13fa-42c9-9f69-af6a91b0695d | booking_id: ALC-2025-100189 | customer_id: f814f1b5-a853-4fe3-a599-962b20aa9760 | product_id: 1e64030a-3ac6-4a24-9a0a-15d5034d6881 | carrier_id: e077de9f-da3e-4414-8b92-a0fe86422f3d | warehouse_id: 5f31c48c-982e-42a7-8e66-eae7d62feede | route_id: 4bbdc0c7-5f67-4bdd-8c0c-af0de3060d28 | vehicle_id: c692a289-68f2-4fa2-b320-0e96ff860558 | customs_id: 2ab17e3e-b17c-42a9-ae2c-05fb61241fee | weather_id: e826c3d2-95b3-49cd-8609-7c8773e03301 | booking_date: 2025-05-17 00:00:00 | ship_date: 2025-05-26 00:00:00 | expected_delivery_date: 2025-06-15 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: Urgent | weight_kg: 22093.29 | volume_cbm: 35.22 | declared_value: 180266.58 | insurance: False | fragile: True
shipment_id: 3be5f793-28ff-4016-a46e-64f5b0661413 | booking_id: ALC-2025-100190 | customer_id: c8e3d30f-93b5-43be-b961-de46e1f18a8f | product_id: d7f8a556-c24d-40e0-a78d-ce682aa50314 | carrier_id: e271be7d-6513-4019-84f9-9a88ac17a9b8 | warehouse_id: 0e92416a-bfce-4ece-8e52-9eafeecc77aa | route_id: 82d4ac6f-f909-479e-9643-dc49ef9bd62e | vehicle_id: 544beb20-8bc6-4fe6-a2ff-ca2801b8b3d5 | customs_id: c5bf3c7b-c697-4f9f-bd5b-e02fd1f6315e | weather_id: ec74c90f-33d0-4baf-a87d-08766b71410f | booking_date: 2025-12-31 00:00:00 | ship_date: 2026-01-02 00:00:00 | expected_delivery_date: 2026-01-23 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Normal | weight_kg: 676.53 | volume_cbm: 64.94 | declared_value: 242667.28 | insurance: True | fragile: False
shipment_id: 307e3fd5-0604-4a4e-8028-e583da817526 | booking_id: ALC-2025-100191 | customer_id: 5c83fe37-ba9d-45b9-aa5b-c42523b08579 | product_id: 79db6b83-c4ed-4b81-a628-e6a017335cb2 | carrier_id: f6ca7022-0360-4e57-8c92-ada3d821f8d0 | warehouse_id: b915e783-3521-4e89-b2f9-4334447ac3a2 | route_id: d21a06b9-44e6-46fc-8348-8a85f5a9eb91 | vehicle_id: 65f9b701-f092-4b8d-9a1f-f9bf0e30ee8b | customs_id: 75bbc363-a0f5-4cac-bbf0-fe98ca4e7b07 | weather_id: 60bdb0d5-2f18-42ca-9edc-763a67fb8385 | booking_date: 2025-05-31 00:00:00 | ship_date: 2025-06-02 00:00:00 | expected_delivery_date: 2025-06-19 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: Urgent | weight_kg: 43633.2 | volume_cbm: 55.75 | declared_value: 40161.82 | insurance: True | fragile: False
shipment_id: 5fe00d0e-fac1-4ccf-a2e8-97d84c4aa4fa | booking_id: ALC-2025-100192 | customer_id: 465a39f3-3570-46be-ba15-ef0b951770ac | product_id: fb915f3a-9bc2-45c1-b1f5-1f672e4cc347 | carrier_id: 29aba8f6-3bcd-457c-b7b1-11598aa5602e | warehouse_id: d645eb81-2f39-481d-a118-243ae1c5a910 | route_id: feae2072-f983-48b0-ab7c-cbfb67b38f32 | vehicle_id: b257d63c-8f72-4186-bb22-06705397d5f6 | customs_id: 73cd8f77-02cb-4674-b9a8-80f4d0c456af | weather_id: 2e19ec51-6da3-404f-aa44-2fdee52b135f | booking_date: 2025-09-24 00:00:00 | ship_date: 2025-09-30 00:00:00 | expected_delivery_date: 2025-10-10 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: High | weight_kg: 12463.92 | volume_cbm: 25.37 | declared_value: 11601.91 | insurance: True | fragile: False
shipment_id: 47d569d8-d092-46aa-9759-d6944d6c5543 | booking_id: ALC-2025-100193 | customer_id: fbdcd833-95e4-4b64-83f2-9de6c9e44be6 | product_id: afc08e51-5c7d-4248-bdca-2b5291fa4f97 | carrier_id: 6bd0e8eb-95be-48b7-a4d5-f75f052f3382 | warehouse_id: 0643dee9-ac4e-4a19-bfbb-676afc0e6998 | route_id: 402b14d8-6ba0-4f8a-a563-15e8f5481adc | vehicle_id: b5192bdb-cfe2-4c6b-982d-24cabdbd8365 | customs_id: bd2de3ae-4354-4e43-ae21-7796db1b56ec | weather_id: 3a7e443a-8f70-4dc9-b871-e53bd464be85 | booking_date: 2025-07-05 00:00:00 | ship_date: 2025-07-08 00:00:00 | expected_delivery_date: 2025-07-22 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 166.44 | volume_cbm: 20.42 | declared_value: 82774.26 | insurance: True | fragile: False
shipment_id: 6ccb9b12-c85d-4c30-a846-9816138600da | booking_id: ALC-2025-100194 | customer_id: 2d819e3f-7e4e-4944-82c2-24bc04725b2c | product_id: 2d951fb4-5f79-4731-8249-0ed26a10ddad | carrier_id: 3bcc3cee-b6b6-471c-a7ef-6725ff7b0d29 | warehouse_id: 4886d0bb-4173-4c2b-8c1e-658228edff1f | route_id: 304a2d40-08ec-48e6-b92d-e1b7e0d148a5 | vehicle_id: 2886e21e-e0e9-445a-9f01-62239d73a7f9 | customs_id: 00dad5dd-b523-49f8-9a87-150474f5dede | weather_id: 8560d142-290f-4258-996f-0b17af1ac80a | booking_date: 2025-01-27 00:00:00 | ship_date: 2025-02-02 00:00:00 | expected_delivery_date: 2025-02-18 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 3376.18 | volume_cbm: 67.6 | declared_value: 13349.45 | insurance: True | fragile: False
shipment_id: 967d6d6e-f175-4927-9121-d9cee989cabc | booking_id: ALC-2025-100195 | customer_id: fd8039a9-3f4f-4004-a335-a67afabd3712 | product_id: 81b72165-3efe-4a4f-a52a-8c7b7f247992 | carrier_id: c8d2dd77-967f-415f-abd2-d6ddce76eb59 | warehouse_id: 3cd01577-cb52-45ab-911b-f33168d2c9d6 | route_id: 67ec8e7e-84ba-401b-baf0-ff8fdd2e0c18 | vehicle_id: 81ff7bb4-7395-426d-99cb-fc1b4b0520d9 | customs_id: 48d59012-3e8e-49ae-bb97-084e24f021d2 | weather_id: ce8c1aa6-a50c-4c28-bf28-e71760d6c378 | booking_date: 2025-06-30 00:00:00 | ship_date: 2025-07-06 00:00:00 | expected_delivery_date: 2025-07-29 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: High | weight_kg: 34955.34 | volume_cbm: 46.08 | declared_value: 53404.23 | insurance: True | fragile: False
shipment_id: 20463051-e07e-4726-81b0-9da12b22bc55 | booking_id: ALC-2026-100196 | customer_id: f5139c35-0c46-4a9f-9473-3ae3a93d4926 | product_id: 1796fa1f-a55d-49d5-8d2a-37d7a87368b2 | carrier_id: d5553520-813c-42ae-8e8e-9e7d57c5a5c5 | warehouse_id: 5fa90c08-6910-4468-8102-04cc537ece37 | route_id: 51065ad2-5c42-4fd6-b142-20132477ce98 | vehicle_id: cffc6ef8-9b52-4099-b888-fdd9d87ee128 | customs_id: 292753be-de40-4d75-aaf5-5b2c72809226 | weather_id: dd2d0fab-e266-4962-89d1-3e0ec7d25b9d | booking_date: 2026-03-22 00:00:00 | ship_date: 2026-03-27 00:00:00 | expected_delivery_date: 2026-04-04 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 6276.9 | volume_cbm: 34.25 | declared_value: 177959.16 | insurance: True | fragile: False
shipment_id: 559f09d0-6b8d-47ff-861b-8181ea393f76 | booking_id: ALC-2025-100197 | customer_id: c9d26910-a643-470c-a9cc-01394b2f5c16 | product_id: 4beee700-e6b2-457e-aa87-5d65404d1371 | carrier_id: 29ff4bcd-db40-4a4a-8fdd-5fd5548f5b8f | warehouse_id: 8913bc52-90a8-4f94-8c2f-f0a9daafc3a1 | route_id: 05dc5268-71b7-475d-937d-01e24f6e1754 | vehicle_id: d1fd2164-5122-4321-8f07-8d9acac7f72f | customs_id: cf66e6cc-610b-4acd-aea5-37a95050a2ab | weather_id: bb5206f9-8287-4378-8bcf-559b9ad7eef0 | booking_date: 2025-12-15 00:00:00 | ship_date: 2025-12-24 00:00:00 | expected_delivery_date: 2026-01-05 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Urgent | weight_kg: 37689.6 | volume_cbm: 52.57 | declared_value: 125807.59 | insurance: True | fragile: False
