Sheet Name: Shipment_Delivery_History

history_id: 09a35845-c050-47bf-badb-06bc4fb95131 | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | actual_delivery_date: 2026-01-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 65a90b61-d78f-47b5-959d-d2eb270df31b | shipment_id: 04f1e21c-8f93-49c5-9686-511ce70c7434 | actual_delivery_date: 2026-01-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: cc0d710a-860e-44bc-a3bf-6bc1f2026388 | shipment_id: 473e2463-9d10-49a9-83b1-ec51459d3a3c | actual_delivery_date: 2026-04-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c0c02d3b-edf5-487a-9a5b-bea4d661a09b | shipment_id: ed4bda40-c73e-4bc6-907e-c812e5cd8067 | actual_delivery_date: 2025-05-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a8e31168-f43f-4635-8676-c7adf7c2d26b | shipment_id: 1d6fe5c8-c53f-44ea-8b73-fcb250438926 | actual_delivery_date: 2026-03-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 9003bb50-bcaf-4c60-a552-2969a954f5c6 | shipment_id: 3748d74f-e010-4cbe-b9e0-4d39275ea2ee | actual_delivery_date: 2025-02-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ec624362-aed0-4c2d-a536-0d2d7c2c9d09 | shipment_id: f85b944c-8ced-485f-9c54-e136dac3dcfb | actual_delivery_date: 2025-07-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: e78b5991-6fae-490d-a901-a69b1858fecb | shipment_id: 7dc2bd16-519e-4da9-814d-3078b871de0c | actual_delivery_date: 2025-06-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 4e5c4887-420f-4acf-bccb-45949f268a85 | shipment_id: 1348701c-6144-46bd-a1fa-a38aab2d1780 | actual_delivery_date: 2026-03-19 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 9d113f8e-f324-438c-b551-23208e4514ff | shipment_id: 37680c50-7272-4ba6-a762-68b3393eddbf | actual_delivery_date: 2025-01-29 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 65d97363-cb13-467b-9355-582287493f44 | shipment_id: 0e480fa3-3acc-4139-98fc-fe0f713084b4 | actual_delivery_date: 2025-01-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: b96b0236-a453-4913-ae7a-1c248e36e427 | shipment_id: 1d88bd62-c84e-4cf8-8ac5-e605f072d594 | actual_delivery_date: 2025-01-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: d5c07fc4-f2ed-45ef-9756-7b4bdd0e9e72 | shipment_id: 2194c269-5307-4007-a592-273cc7c78e42 | actual_delivery_date: 2025-02-21 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: bd64b34f-f1f6-4d57-b1d7-1e2bcb821454 | shipment_id: b319f13f-cf2d-4c7d-b58b-d4b5b91e78ed | actual_delivery_date: 2025-06-05 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 7ec320f6-d902-4c6f-86ff-1c9ef1ad682a | shipment_id: 1b4a82e3-8838-47c8-b29a-bdb310f2f714 | actual_delivery_date: 2025-05-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: d55439c7-ff7e-4fb8-8f42-c36c1baf2ab9 | shipment_id: 15a6da81-44a4-4edf-bc70-4b91a2455faa | actual_delivery_date: 2025-02-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 6712fba7-bbb3-4dee-92b1-35ccd6578740 | shipment_id: c95ee34f-8e10-4bf8-bd33-3c2e5b19424b | actual_delivery_date: 2025-02-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c0ca02a4-dccc-4882-91a1-264122c584cd | shipment_id: c670b48d-c3c3-49c6-8f9c-360e3fa2a003 | actual_delivery_date: 2025-09-21 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 6967a892-b2cd-4fbb-9051-2ead1f968929 | shipment_id: 647be88d-ff66-46dd-bc81-93a63a884a1e | actual_delivery_date: 2025-02-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 4bab093b-cc01-4980-8ec8-9080890fc178 | shipment_id: 50e76606-063e-40d7-801c-7cfde31390f7 | actual_delivery_date: 2026-03-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c3708693-b119-4e42-bad3-1462f9b91ea3 | shipment_id: c926a30a-e7fc-4206-a3be-405b2e7a66dd | actual_delivery_date: 2025-11-07 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 4f1ee92f-6bd2-422c-bcdd-a0bce631d40d | shipment_id: 6386c643-d036-452c-acc1-11ff3b224bf5 | actual_delivery_date: 2025-05-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1d4c7c24-fc11-4c7f-87e0-6b007658f58e | shipment_id: 699ebeec-aad0-4079-8d6b-7965bf72397e | actual_delivery_date: 2026-02-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 49f78803-4e52-4ece-ad78-9cd3d3be810a | shipment_id: 01b4f16d-3726-4401-834a-5d3bf57c53ab | actual_delivery_date: 2025-11-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: aca678b0-4f5e-4a19-b2b5-af3ef18d659d | shipment_id: cd243cbd-a622-4333-a795-292a7f8918a5 | actual_delivery_date: 2025-07-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: f36590af-fd99-480e-9544-03befdf0302f | shipment_id: 79d11417-9da1-4510-89be-ac87f9a0df39 | actual_delivery_date: 2026-01-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: fbc4cad0-16e8-4411-a028-772b6d2daa5e | shipment_id: 8d2b9c4a-a686-4e3b-9079-23ce18b43ebc | actual_delivery_date: 2025-07-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ec13535f-03d2-465e-82a3-1eccd55cc73a | shipment_id: aa9c478b-3b13-4c38-8d78-babab4e5ed22 | actual_delivery_date: 2026-04-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 9cda7383-c62a-4a49-ae5f-aaac7fe353fc | shipment_id: 981ba712-912c-4185-a521-5f0dcc63c3c3 | actual_delivery_date: 2025-02-25 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: fa0aa1c3-d65d-4b3e-a4a9-87b6f89678bb | shipment_id: 32fd6906-e6c4-496c-9129-826e9ec01fa3 | actual_delivery_date: 2025-11-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f9fb106e-6237-480f-a699-4eecac0c4a83 | shipment_id: f54baff5-2e68-435c-a9cc-aa50fae471c4 | actual_delivery_date: 2025-11-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 5162849c-e540-478b-bedf-50416f3c20e5 | shipment_id: cfbf12b8-2593-4ca1-a422-5e627866dfa4 | actual_delivery_date: 2026-02-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 92b983f6-40ba-42cd-8fe4-2f70ccce6bb1 | shipment_id: 674369b7-9d4c-4e29-a45e-ec79d8ec2679 | actual_delivery_date: 2025-03-12 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: f82f2d94-683f-4d65-8bd8-54311e3ea7cd | shipment_id: 47afd258-6dd1-44e8-9808-8252b4bc4cf6 | actual_delivery_date: 2025-08-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c9033002-9f68-49ff-99f4-7c4450c707e7 | shipment_id: 4fdb3397-209c-482e-a407-1e8bfe3af0e9 | actual_delivery_date: 2025-12-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 221db981-98af-44e4-b5d4-5d2b0c6c42f9 | shipment_id: 3a5aee56-5efb-4125-8d20-df1611386813 | actual_delivery_date: 2026-03-07 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: f0025341-560f-4791-9d8f-5a9f9d3f8f76 | shipment_id: 2ec78b01-015c-4b22-8ef8-c9754e64d5af | actual_delivery_date: 2026-01-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 967cb9cc-ba02-4d1a-ae56-bfb96e1cd69b | shipment_id: 7efef404-c83e-4553-905c-a1a4a1dc2398 | actual_delivery_date: 2025-01-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ef389b49-d8b4-4bcb-8044-6b0c5d7047e9 | shipment_id: 14af7302-ff2e-431a-b33a-4880b087f19d | actual_delivery_date: 2025-10-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 8cdd3758-0126-4cc3-8ef4-53b7a23f1fca | shipment_id: 4ab6d582-7d5e-4348-9d1b-d364b2040c84 | actual_delivery_date: 2025-07-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a2aae4d6-e0db-4aff-a01a-a2b3289360f7 | shipment_id: 94e7eed3-5d94-4bcc-b4bf-cd09799a3224 | actual_delivery_date: 2025-02-24 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f2f668fa-5a31-4d1e-b29b-5838f3e60ddb | shipment_id: a678a0e7-bec8-4ab4-8910-e1116ce2feb4 | actual_delivery_date: 2025-07-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3a31bec7-ba07-4879-9a9c-5ebf55748fc7 | shipment_id: c2e7cbc3-2baf-4ca4-a345-dc0ce502d54f | actual_delivery_date: 2025-04-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 508ac57e-ffbb-41b8-a0b1-a80623de900b | shipment_id: 1bdcb79c-0b11-49d9-a623-4b049c9cc4d4 | actual_delivery_date: 2025-10-10 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 04aedca7-7149-4e26-bd8f-3b409b18085d | shipment_id: 7915d7aa-97d0-4ca5-ae47-3ff55561ba31 | actual_delivery_date: 2025-05-30 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 2bac00c2-9402-4aae-b17c-b0c2d975822b | shipment_id: e41219c2-0135-4c06-a194-d7505a8fa2ce | actual_delivery_date: 2025-01-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: b6e6b544-5c21-481d-99c0-ef997373c80b | shipment_id: 29e7c227-2ea4-41d3-96d9-df09d315beb1 | actual_delivery_date: 2025-09-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 98f9c361-363e-4c17-92e4-b3a16f9b1b53 | shipment_id: 44b24033-d3c5-45dd-bb2b-2458fec7e935 | actual_delivery_date: 2025-06-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 81ab52d5-5052-4528-985e-c679019d78b2 | shipment_id: 09f5415c-a496-4acc-9bb6-3ed395f7ff70 | actual_delivery_date: 2025-10-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 1bcc1449-7d07-4f80-97ed-4db8ddd01658 | shipment_id: 0e490a70-15bd-4f32-b658-8e5add67692e | actual_delivery_date: 2025-08-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 41d77737-4078-4519-a148-9dcd88c4df79 | shipment_id: 8977fb30-ccd8-4d0c-84b5-db2b88ac3b32 | actual_delivery_date: 2025-03-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: bc67438d-058a-4ba1-8870-1158a67be02b | shipment_id: de67626d-3e3d-4a0c-b76b-9086ec6812c3 | actual_delivery_date: 2026-04-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: a621f5b0-b049-4678-8c6b-908ce65ade81 | shipment_id: 1d265a23-51d5-47d4-9514-574c6712d9a9 | actual_delivery_date: 2025-08-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a9f99fbe-c657-44fd-ac85-8b0fb61a5eff | shipment_id: c59a5fec-799b-4a44-b9f5-fe55a91e2c7d | actual_delivery_date: 2025-11-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 563f02ee-a044-4dd5-8c24-cd731811b937 | shipment_id: 3cf98382-ab06-465f-b9b3-09d328591178 | actual_delivery_date: 2025-07-12 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: e1fa766a-50ac-4b81-9ccd-e28347ee8f58 | shipment_id: b59c239f-820a-45c4-8a1d-72fdd2eea090 | actual_delivery_date: 2025-11-20 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: a51b79ff-723b-4a1a-9f7d-e4ac968707b8 | shipment_id: 7d19ecbb-ab67-4dff-90ec-f73489f9596e | actual_delivery_date: 2025-10-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f9ebad3e-eba0-4f96-87ab-75d678754613 | shipment_id: 2d4fb905-f1e5-45f4-b5ff-50548fc6f01a | actual_delivery_date: 2025-08-17 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 273b7c48-aeb1-4397-8f54-2e358033a7c9 | shipment_id: c0bca163-88a3-44cb-a131-12971125b443 | actual_delivery_date: 2025-11-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ce1da102-5bd3-42eb-842d-1b15d51116f5 | shipment_id: 5aac779b-0bf9-45ea-aa10-fc3b37d8201d | actual_delivery_date: 2025-02-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 2fb06a97-1b7f-4451-95f0-1b2e45aff4a6 | shipment_id: b4000406-f6e3-4267-9c14-93ba13fe2e7f | actual_delivery_date: 2025-08-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: cbca4b3b-a693-4402-b168-629b9b6cfbc7 | shipment_id: d2f56a2d-4946-4ea9-aa89-2621dd2a785b | actual_delivery_date: 2025-12-10 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 1b85aea7-bcb3-4178-8738-52ac212d9052 | shipment_id: 24effdbd-d3ba-4987-8a95-6c4083bb97af | actual_delivery_date: 2025-07-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ad1f7f34-3b5f-4f0a-9d10-29fe00ba487b | shipment_id: 3885209e-480f-469b-8ed2-622e1875219f | actual_delivery_date: 2025-09-09 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 30a83f25-8a19-4297-ba35-4d63370eff9f | shipment_id: 60ca19bd-855a-4899-bf51-6ff27cf66150 | actual_delivery_date: 2025-11-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 82d34de0-52fa-47a4-b04d-7774c139ce7c | shipment_id: b7a0fa62-ef60-4319-8e2c-a1ef64bc108e | actual_delivery_date: 2025-09-13 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 0aaac4b3-392a-467a-b187-190b1311a8e1 | shipment_id: bc71c0ef-c029-45e9-ae1c-1fa003ae33fa | actual_delivery_date: 2025-12-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 94583cf3-db15-4789-87fe-2702457826b2 | shipment_id: 85db7888-7321-4932-b162-c5f4f2fcb1f0 | actual_delivery_date: 2025-07-01 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 9618415d-7de3-4de9-b09b-3f909819453b | shipment_id: ad5b44b8-96d5-43c6-9b6e-c1f070db966f | actual_delivery_date: 2025-05-29 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 01533505-8979-4587-a456-66c351743dad | shipment_id: 149c1de3-7e0e-4cee-8401-6e98ef3d70c9 | actual_delivery_date: 2025-10-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 42368279-e7d4-42d0-82c3-d7205496ed07 | shipment_id: 0a128dd5-cf00-408d-b59a-6489ac4701ec | actual_delivery_date: 2025-05-07 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 65478063-01f9-45df-98e8-093017ed068f | shipment_id: 7e88e2af-c07b-44cd-a154-833840b2c433 | actual_delivery_date: 2026-03-17 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 2278ebd4-0653-4794-bffe-953ea0a5e25d | shipment_id: 243e9e2c-2ab1-4383-a8ea-0c602cd751d0 | actual_delivery_date: 2025-06-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 80d05aea-b100-4011-ac0f-1354120f0f4f | shipment_id: 4a7f1277-5030-4663-9f04-ae4574c194f5 | actual_delivery_date: 2025-11-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 43859e4f-5f47-48bf-9fb8-6d091ad5d882 | shipment_id: ee76870d-e80d-4f6d-b95a-6604e7c6d197 | actual_delivery_date: 2026-03-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: b425254c-8dd9-4f19-b108-f800d667679f | shipment_id: d3d6a1d1-e024-4394-b170-6df1acc0cc3b | actual_delivery_date: 2026-03-25 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 6f079c01-0b47-4f64-8127-5acea7dfac89 | shipment_id: b8938ae8-0ef3-4295-966a-30fce3f7a7de | actual_delivery_date: 2026-03-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c1a9d803-2eed-4a73-a9de-e5e6afbc592c | shipment_id: 4b2cf5a4-ea9e-44b3-9ef8-7526ce1956cc | actual_delivery_date: 2025-04-27 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 87f885ae-3577-4ea2-ae42-279fba7f3c86 | shipment_id: a8ceb7ca-d03e-428b-98f1-584e04a35001 | actual_delivery_date: 2025-08-31 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 85358d7a-a387-41a2-a2ee-15115135eb08 | shipment_id: e69a1706-6ea8-43c9-8e92-4ab8a0c7f7c5 | actual_delivery_date: 2025-06-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 4e325779-a9b9-4995-aae7-87061137da69 | shipment_id: 832e6d3b-3a3e-4b2b-899a-ebe14d1bc1a5 | actual_delivery_date: 2025-01-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 64f6fd27-7b7c-471d-8bf1-47ba9b18c2d6 | shipment_id: 7da6d0f8-3bf9-4267-bcd4-38a8193c57c9 | actual_delivery_date: 2026-03-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a2c514c2-ef4a-4ce9-b626-b01e09a702e2 | shipment_id: 0885527b-1167-42e1-b0f6-ea83b5597251 | actual_delivery_date: 2025-04-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: aa560f02-76f9-4c8d-baf2-3bd9854da117 | shipment_id: 392dac75-9480-46b8-8dd6-6f33344f541a | actual_delivery_date: 2026-02-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: d09f01b2-6554-4d7d-8ac1-a4fa34322610 | shipment_id: 501f182f-61ee-43b9-88d2-6ac086699ce0 | actual_delivery_date: 2025-03-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 0637c36b-9d9c-4d85-9fa2-758bb2eb8902 | shipment_id: 64f0591e-3105-4198-b3d8-38bd53b15034 | actual_delivery_date: 2025-01-28 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: d2506a17-818d-401e-ad69-d04ed94c7c41 | shipment_id: d1912afc-fe75-4729-a721-5b8e2dc2bce6 | actual_delivery_date: 2025-03-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 4deba4ee-e7ab-4b84-ab5e-6d8449b3ab7e | shipment_id: 69fa0471-810f-4f1c-9b28-5758a5c4fe91 | actual_delivery_date: 2025-08-03 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: ee5af110-ef61-4a68-b452-f327a4348422 | shipment_id: 6975ab44-9983-4189-b126-21cfe9be8748 | actual_delivery_date: 2025-08-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: dd75be5d-4480-4c11-b384-034828fb83c7 | shipment_id: c5647c53-2105-46fc-9f86-b2c377f2c099 | actual_delivery_date: 2026-02-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: e34b74dd-56ea-46a9-b254-510b0d59355d | shipment_id: aeee7319-fa04-4813-b6c2-5972db03761c | actual_delivery_date: 2025-07-07 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1a8ac02a-abdb-47e4-8105-a7a06113b2fb | shipment_id: ba736b3e-db2e-4473-984f-ee930ed93673 | actual_delivery_date: 2026-02-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 92290391-bb8b-442d-9027-cffeb2f0da93 | shipment_id: fe7c1d24-ef34-4535-8e6a-4f0d67e4e332 | actual_delivery_date: 2025-02-17 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: f928fd0a-8dd4-44a7-bd1d-897b3a142237 | shipment_id: a8b0e36f-c4c6-46c7-b448-815f75006cbc | actual_delivery_date: 2025-11-19 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: ae4ece84-8b0a-47b1-a7fd-fff0a038731d | shipment_id: d15f065d-597c-4e37-b2cf-14f0a4c43b88 | actual_delivery_date: 2026-01-30 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: ea6da4f4-fcd0-4d07-b21f-290de7fbdf66 | shipment_id: 8a465577-ece9-4a58-8ba6-996246bfb5ea | actual_delivery_date: 2026-02-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 17aa1ee5-4b42-498e-8f30-89adfc217385 | shipment_id: e2a25636-2aca-4a4c-8cc8-feb1b8d66cfc | actual_delivery_date: 2025-07-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 2f156b30-e4fa-4dc1-9c2a-a6c67078d996 | shipment_id: f874407a-7574-4f60-8dd7-c3200b144ce0 | actual_delivery_date: 2025-11-20 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 08766a33-0112-4cef-b702-7d866eb79fc1 | shipment_id: 0e6d863c-0a17-4dda-9000-1bb7820eea6e | actual_delivery_date: 2025-03-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 4a26161e-91f7-4b08-afed-5ba2e932a382 | shipment_id: 9d9ac68f-1394-421e-a5c4-bb488dc5fdd5 | actual_delivery_date: 2025-10-12 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: bbfa52a8-f4e7-45f1-ab94-6f47572066ec | shipment_id: d61a006e-63d9-4784-ad2b-5d37892e8ddb | actual_delivery_date: 2025-12-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 373cb457-b556-4a9a-9950-b2413e30507b | shipment_id: 582871ff-53b8-497d-b8f5-a7757e325447 | actual_delivery_date: 2025-03-07 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: b0c2a519-c51c-409d-957a-c12e2efa5baa | shipment_id: ef2a4e6d-ef22-4bfc-9678-abc0d15851c3 | actual_delivery_date: 2025-05-30 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 5bd86be2-e2b8-432c-bf0e-4bc43ca3164f | shipment_id: 4a2134e8-b13b-419b-af74-643090d21ae6 | actual_delivery_date: 2025-11-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: b934197c-458b-4db4-a2ac-850c09c48408 | shipment_id: 462d0cc2-bcb4-4ab5-8b91-4ac695b959d8 | actual_delivery_date: 2025-12-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3c7e7cb5-af3e-41ed-85e8-0b41cb3c84a9 | shipment_id: c907470b-1588-45a5-a6b7-8bb82f4c14f0 | actual_delivery_date: 2025-12-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 53040dbc-5358-45fd-bb81-e43c0709ed51 | shipment_id: 48b68321-2858-404d-8e03-6394ff52adf5 | actual_delivery_date: 2025-12-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 10be8079-7813-4047-8373-67a33355e909 | shipment_id: 816ae341-dcab-4146-992d-7836885f7c97 | actual_delivery_date: 2025-08-07 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 451c82a9-68e3-4527-b0a9-ea4d50029a53 | shipment_id: aedd3fcf-53dd-445c-bfb2-0296e85967d2 | actual_delivery_date: 2025-12-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1af1097b-bcd8-46c7-8f38-18345abbce92 | shipment_id: 64bbbbeb-51e6-4bb9-8d03-58a08e2c0285 | actual_delivery_date: 2025-07-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 32a89006-12de-48a5-ab2d-80fdaaf3db44 | shipment_id: fd7bbd23-c2c6-49f2-9ab6-9061383b6394 | actual_delivery_date: 2026-02-18 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 81c52ddc-2690-4f6e-a735-b1cca2914bc7 | shipment_id: c41e83a2-c06a-4fa8-96bd-da873a816fdd | actual_delivery_date: 2025-02-04 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: c66cd7fa-1bcf-4444-9829-4037ce869c3c | shipment_id: 93f1afca-3ba3-4dda-b825-f99075e3732e | actual_delivery_date: 2025-06-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: b8cf59fa-4443-4a9d-8906-b7a8124c0ff3 | shipment_id: 460293a4-9208-4d4f-9f42-795fa62db357 | actual_delivery_date: 2025-06-21 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 19319a8f-48e6-4247-a15b-2dc07cc01a59 | shipment_id: b78803e1-dd04-4eb4-9808-b94186321dbb | actual_delivery_date: 2025-10-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 68d37016-b5ef-4f6d-ac14-cc4b8b1599b4 | shipment_id: f26cc562-a453-4d65-9476-56d2dfd4f1e4 | actual_delivery_date: 2026-02-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: e8ee9ff9-e836-4f09-bffa-ce8defc076c6 | shipment_id: d87c3d24-6b61-42a4-a3ea-2a47d406e6ed | actual_delivery_date: 2025-12-11 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: 1207633e-bf04-4f54-9db8-90bf9ed9356e | shipment_id: 0ce8f98f-4e84-4089-9383-1288c05a17ab | actual_delivery_date: 2026-03-21 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 6790320e-760c-477d-a1d1-eadc4f9b21c4 | shipment_id: 246e57fa-b478-419c-b6ba-0272a34cbf7d | actual_delivery_date: 2025-12-27 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 10effa68-39f0-49ee-a93f-788a705f9463 | shipment_id: 8f66899c-e407-4d9f-821c-60b539bf8d52 | actual_delivery_date: 2025-05-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 34af8404-9cdf-4a58-8b6e-e1ca2dbbc163 | shipment_id: 48e0c0ef-df65-401d-983d-a302611b348c | actual_delivery_date: 2025-06-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: f24a39a0-81e1-4dea-a3a0-b7454104c7ef | shipment_id: 7252a10e-5b1f-4442-8e0c-39a65ebdaaea | actual_delivery_date: 2025-01-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 130e5b35-4869-4e0d-9723-0fd36520c4af | shipment_id: 06f47814-46a0-4635-9e7d-981d23b45667 | actual_delivery_date: 2026-01-30 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
