Sheet Name: AI_Model_Registry

model_id: a417fe1f-d2f3-4f5c-a87b-c37ba769653f | model_name: document-intelligence | model_version: v1.6.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/457c928958ba | deployment_status: Testing
model_id: b0094a19-f04f-44a8-89ef-64477207be93 | model_name: risk-summary-llm | model_version: v1.2.4 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/88e59d380b6e | deployment_status: Retired
model_id: 0e9106a0-2a15-4c5a-9ba6-cbebafe27bf4 | model_name: risk-summary-llm | model_version: v4.7.1 | model_type: Classifier | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/classifier/da602c4ef2ec | deployment_status: Production
model_id: 026178a9-5548-4ff9-b231-9fa55a72a882 | model_name: eta-regressor | model_version: v4.1.2 | model_type: Anomaly | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/anomaly/dba63f55fcc3 | deployment_status: Production
model_id: 8095f73b-3b4e-47f9-acb7-b83c4c730dbe | model_name: delay-risk-classifier | model_version: v2.2.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/e21ebf2cfe7e | deployment_status: Testing
model_id: dccc8f42-ac82-4022-bfc4-a4a3b43998c7 | model_name: delay-risk-classifier | model_version: v1.7.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/b929a77a8dc4 | deployment_status: Retired
model_id: 48cdead6-7ae0-43e0-b6e6-448fb9c61aff | model_name: delay-risk-classifier | model_version: v2.3.7 | model_type: Anomaly | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/anomaly/f216a075b9cd | deployment_status: Production
model_id: 8496464e-9e1f-4278-b050-860e329a4a73 | model_name: delay-risk-classifier | model_version: v2.6.2 | model_type: Classifier | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/classifier/4f23874fc0cd | deployment_status: Production
model_id: f3bb5a2a-ea20-412e-a326-3ad78199f8da | model_name: document-intelligence | model_version: v2.9.9 | model_type: Classifier | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/classifier/20301659e3e2 | deployment_status: Draft
model_id: b13ad6f9-4fc1-4262-95b5-849fc321e23c | model_name: document-intelligence | model_version: v4.5.0 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/9d646f005dd3 | deployment_status: Testing
model_id: ddc6635a-4500-49fb-ac79-51dc7330d3c5 | model_name: risk-summary-llm | model_version: v1.4.6 | model_type: NLP | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/nlp/5ec18af75692 | deployment_status: Production
model_id: 9521428a-5ba9-4ce4-b365-6f7b26b8f97c | model_name: anomaly-detector | model_version: v1.3.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/6e022b8316d1 | deployment_status: Production
model_id: 09fd08fb-3db3-41a9-8db7-db5f8aef67f5 | model_name: delay-risk-classifier | model_version: v1.2.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/cb5006c53f77 | deployment_status: Draft
model_id: 228ab036-a4c6-403f-a025-3c39f27b9a6c | model_name: eta-regressor | model_version: v3.2.5 | model_type: Regressor | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/regressor/06dc151bde0f | deployment_status: Retired
model_id: 356b612b-67e6-4e6d-810f-54ddd7094cc6 | model_name: anomaly-detector | model_version: v1.6.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/f43d78dfd770 | deployment_status: Retired
model_id: 6db4d912-30de-4289-a89b-20a8c5daef46 | model_name: risk-summary-llm | model_version: v3.1.4 | model_type: Regressor | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/regressor/d46fac65fcbe | deployment_status: Production
model_id: 1d0b470e-8419-489b-8c1f-ee4f62de0377 | model_name: eta-regressor | model_version: v3.5.2 | model_type: Anomaly | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/anomaly/ac0a886f105d | deployment_status: Testing
model_id: c6d14c31-3482-4a8f-b407-1f1bd9ac37c4 | model_name: delay-risk-classifier | model_version: v4.6.7 | model_type: NLP | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/nlp/a8e7d5e2cd38 | deployment_status: Retired
model_id: ad38880a-f1cf-4a15-98af-1c7cb09b3378 | model_name: eta-regressor | model_version: v3.7.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/0eb333f3864a | deployment_status: Testing
model_id: f27c4180-7194-4b5e-8b30-aea577cc6790 | model_name: risk-summary-llm | model_version: v1.6.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/1fd8038c110e | deployment_status: Retired
model_id: b2de9fff-8541-4396-bc1b-600419d773f0 | model_name: risk-summary-llm | model_version: v2.1.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/classifier/619345e54244 | deployment_status: Draft
model_id: a7edace2-7bfc-431e-af82-0215718df6ef | model_name: anomaly-detector | model_version: v2.0.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/classifier/b8613d1307c2 | deployment_status: Production
model_id: db1fe79b-08d8-4d15-ac54-418dd486ab55 | model_name: eta-regressor | model_version: v4.9.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/classifier/107ca8c38fe5 | deployment_status: Production
model_id: fc1e3db2-ecd4-4d63-890d-da7dda591804 | model_name: risk-summary-llm | model_version: v3.4.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/classifier/00b15c4ef2f3 | deployment_status: Testing
model_id: 0a5544ce-40e9-4dd0-9b6f-fda761d15407 | model_name: risk-summary-llm | model_version: v3.3.7 | model_type: NLP | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/nlp/0e5e17b65b52 | deployment_status: Testing
model_id: f4fdbca4-1d26-42c9-8f07-c8d9c7272905 | model_name: anomaly-detector | model_version: v2.2.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/dab21daa7ff8 | deployment_status: Production
model_id: 52d09987-8b6b-4ed5-9218-b14679d31a25 | model_name: eta-regressor | model_version: v3.8.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/9df9d0c3a636 | deployment_status: Production
model_id: 444cf012-7860-444a-974a-b32e4e8289e4 | model_name: eta-regressor | model_version: v1.2.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/classifier/7e3482311369 | deployment_status: Draft
model_id: 8a740ec9-1c4b-4df7-b318-1a1994771451 | model_name: delay-risk-classifier | model_version: v3.0.4 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/3cb0e0b02e95 | deployment_status: Production
model_id: b53404f5-5e44-4355-9c66-087784530b06 | model_name: eta-regressor | model_version: v3.3.3 | model_type: NLP | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/nlp/e00d28f85b25 | deployment_status: Production
model_id: b8a727b4-08d9-4bf5-8733-d4c1089b964e | model_name: risk-summary-llm | model_version: v2.6.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/classifier/8b7c958f9750 | deployment_status: Production
model_id: a7f668ad-4bb3-4f95-892e-85ee3dde05dd | model_name: document-intelligence | model_version: v1.4.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/ed763dcb53e5 | deployment_status: Draft
model_id: 7f6d2d1c-92c5-41eb-b3d3-99d3f1baa0f4 | model_name: risk-summary-llm | model_version: v3.2.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/b89203234a5d | deployment_status: Draft
model_id: c4bbf45d-e14a-43c9-bfd9-437dddef3eb0 | model_name: eta-regressor | model_version: v1.8.3 | model_type: Regressor | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/regressor/05b447a956ad | deployment_status: Retired
model_id: a2009d06-d6aa-4e94-9438-a42b0dca4647 | model_name: document-intelligence | model_version: v1.9.7 | model_type: Anomaly | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/anomaly/33b359b72b44 | deployment_status: Testing
model_id: 067d27d3-1cfd-4a6a-a0a5-9eaa517850ad | model_name: risk-summary-llm | model_version: v4.0.7 | model_type: NLP | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/nlp/634df684eb97 | deployment_status: Testing
model_id: d5f5fce2-6021-4b3a-8260-0fb95d72a5f9 | model_name: delay-risk-classifier | model_version: v3.5.8 | model_type: NLP | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/nlp/67c2bf7ba28b | deployment_status: Testing
model_id: 099e9de1-95d6-4f79-8b4b-6ab05e6f2fae | model_name: delay-risk-classifier | model_version: v1.8.6 | model_type: Anomaly | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/anomaly/5fd225da55c3 | deployment_status: Production
model_id: 46265e9e-0e25-444f-acbe-ad91311e63f5 | model_name: document-intelligence | model_version: v3.5.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/classifier/fced166d7d19 | deployment_status: Production
model_id: 34e5a117-92de-4b14-872e-e6f0b8bf705a | model_name: eta-regressor | model_version: v3.3.6 | model_type: Classifier | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/classifier/6783367ef77e | deployment_status: Draft
model_id: cef85237-8bff-4114-8645-dd3e1df77b93 | model_name: anomaly-detector | model_version: v1.9.9 | model_type: Regressor | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/regressor/6f28b63aef57 | deployment_status: Testing
model_id: a638d773-ec0d-4276-8592-1539edddba1c | model_name: delay-risk-classifier | model_version: v1.6.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/151eff41dd07 | deployment_status: Draft
model_id: adfa0d38-1286-4128-8358-c16a497da9e7 | model_name: eta-regressor | model_version: v4.5.2 | model_type: Regressor | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/regressor/aaaeff0ae5bc | deployment_status: Production
model_id: b6748def-6758-46bf-a7b6-56c0f1598840 | model_name: eta-regressor | model_version: v4.3.1 | model_type: Anomaly | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/anomaly/e2291915d277 | deployment_status: Testing
model_id: 74f4d387-be87-4f41-8355-eaf9ddec9c4e | model_name: delay-risk-classifier | model_version: v1.0.6 | model_type: Anomaly | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/anomaly/099e7efb3b89 | deployment_status: Production
model_id: 265f3479-cc85-49a5-ae28-46847d98fa38 | model_name: delay-risk-classifier | model_version: v2.7.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/391d12baef85 | deployment_status: Retired
model_id: fc3ef097-c064-48fd-950b-8a378eeeb20a | model_name: risk-summary-llm | model_version: v3.6.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/49bb0bffa420 | deployment_status: Production
model_id: e24e4d52-11a3-4dd2-be0d-89ec32b2f68b | model_name: anomaly-detector | model_version: v2.3.6 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/7e8d4a7f7425 | deployment_status: Testing
model_id: ed4f5bc0-4b70-45dc-a652-35c7b6bdc5e3 | model_name: anomaly-detector | model_version: v4.6.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/7efd10ce7b7d | deployment_status: Production
model_id: a74155db-e808-4be8-90d4-2a566786385d | model_name: risk-summary-llm | model_version: v2.1.6 | model_type: NLP | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/nlp/6b7da90ac0f8 | deployment_status: Production
model_id: f2dea9de-868d-4930-a35c-c7a653f5f745 | model_name: document-intelligence | model_version: v4.7.5 | model_type: Regressor | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/regressor/954457c3ed62 | deployment_status: Production
model_id: 074ecedb-b2d6-4d20-8118-589d9a31a03d | model_name: document-intelligence | model_version: v3.4.9 | model_type: Regressor | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/regressor/ad8ba4386a1a | deployment_status: Production
model_id: 9e2f14ef-bdae-4613-a52a-a04e22c8abde | model_name: risk-summary-llm | model_version: v3.3.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/c2c41ebacdf2 | deployment_status: Production
model_id: ddc9afaf-bdf1-41aa-b8cd-69234e4a2cb8 | model_name: eta-regressor | model_version: v1.4.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/classifier/176479b0f997 | deployment_status: Production
model_id: 25ceaeed-4b5e-4090-ac71-6f67be7e99ae | model_name: eta-regressor | model_version: v3.9.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/a1994ca523f9 | deployment_status: Draft
model_id: 358b4a15-4cec-4842-a471-3301e89e369d | model_name: document-intelligence | model_version: v3.1.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/classifier/cb7a31d69927 | deployment_status: Production
model_id: 176f7998-a2dd-4801-af44-09a13323dcdc | model_name: delay-risk-classifier | model_version: v2.0.6 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/043b11bf53ab | deployment_status: Retired
model_id: 50f460b6-9428-4c81-8c71-6480a318950d | model_name: document-intelligence | model_version: v1.0.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/449b84c45b76 | deployment_status: Production
model_id: afc07821-448e-407c-b759-988b9b5916e3 | model_name: delay-risk-classifier | model_version: v4.9.5 | model_type: NLP | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/nlp/0d8d6df216e6 | deployment_status: Draft
model_id: 5d4c4d8a-24f3-43d0-a3b6-ff1dc7b45c6e | model_name: eta-regressor | model_version: v1.0.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/classifier/263ac613c6fb | deployment_status: Production
model_id: 5ffec274-f1e6-4648-b5c9-cba133c77454 | model_name: eta-regressor | model_version: v4.5.3 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/e111ad42c4c0 | deployment_status: Production
model_id: 5267a0af-a562-4851-8fa8-a5b954ec48f4 | model_name: eta-regressor | model_version: v1.9.9 | model_type: NLP | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/nlp/8a8c034a2984 | deployment_status: Production
model_id: e0415084-aa30-4ac4-9bf4-bb061f059f4d | model_name: risk-summary-llm | model_version: v3.2.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/classifier/c64a8d732583 | deployment_status: Testing
model_id: 9a062f62-402a-42c2-af53-14f3da743abe | model_name: document-intelligence | model_version: v1.1.1 | model_type: Classifier | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/classifier/21a6f818ee7c | deployment_status: Draft
model_id: edd154eb-1eeb-4d15-8d5d-2ff76cfa108c | model_name: eta-regressor | model_version: v3.1.6 | model_type: Regressor | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/regressor/8e5315990585 | deployment_status: Production
model_id: 7777eca9-15e9-4374-8544-37b1eb4f0591 | model_name: document-intelligence | model_version: v4.1.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/anomaly/881444d11ddd | deployment_status: Testing
model_id: bde150b5-4599-415d-802a-6e954c6bc9fa | model_name: delay-risk-classifier | model_version: v1.0.5 | model_type: NLP | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/nlp/f0b11154991d | deployment_status: Testing
model_id: 2908fbe5-8b88-48a4-9a79-52fcd287e42a | model_name: eta-regressor | model_version: v3.4.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/0156a00a9813 | deployment_status: Retired
model_id: 022fcf6f-cb60-4bbb-a7c4-776edcf2a499 | model_name: anomaly-detector | model_version: v3.8.6 | model_type: NLP | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/nlp/09ea173567b3 | deployment_status: Draft
model_id: d61bc432-0bfc-4802-9d96-1b3e24e215e8 | model_name: eta-regressor | model_version: v2.7.6 | model_type: NLP | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/nlp/54df6d3305cc | deployment_status: Draft
model_id: cd73673c-9bff-48f5-86d7-80455879cf38 | model_name: delay-risk-classifier | model_version: v2.9.0 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/6b47c7379485 | deployment_status: Retired
model_id: dec3dc6b-b166-431d-8d02-9210e4cc28cc | model_name: anomaly-detector | model_version: v4.8.1 | model_type: Regressor | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/regressor/975183dcae96 | deployment_status: Retired
model_id: aed8b483-1e54-4dc4-9d69-bb4e356fdde0 | model_name: eta-regressor | model_version: v2.7.2 | model_type: Regressor | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/regressor/64c48f41bb86 | deployment_status: Production
model_id: 60bcc087-e70f-4737-bbc6-4841a1b279b7 | model_name: risk-summary-llm | model_version: v3.8.4 | model_type: Anomaly | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/anomaly/2967924056de | deployment_status: Testing
model_id: 8c8d3cba-47cc-42e4-a8ee-c39de64e0f84 | model_name: anomaly-detector | model_version: v4.9.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/654e003453e4 | deployment_status: Production
model_id: 3c4e5b6b-cf12-437e-9f62-dbc6e8218b12 | model_name: delay-risk-classifier | model_version: v1.0.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/55e629410323 | deployment_status: Retired
model_id: aa849760-2423-4bbe-9561-9377edbfa967 | model_name: eta-regressor | model_version: v1.7.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/classifier/45a38c3a8e42 | deployment_status: Production
model_id: 96ab4156-e6b7-426f-89b4-fd6c509b00b4 | model_name: eta-regressor | model_version: v2.2.6 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/23f1f25469ee | deployment_status: Draft
model_id: 4477ee62-3a03-47d5-acfd-4fced11eb947 | model_name: risk-summary-llm | model_version: v2.9.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/d5ec203bab0f | deployment_status: Draft
model_id: 76728d7d-d7b9-477a-b581-756f0e8475e8 | model_name: eta-regressor | model_version: v4.5.9 | model_type: Anomaly | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/anomaly/dea9f2b9e926 | deployment_status: Production
model_id: 4ca270df-6311-46a4-bc0c-cc839da88837 | model_name: anomaly-detector | model_version: v3.3.5 | model_type: Anomaly | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/anomaly/c13f8bede4c0 | deployment_status: Testing
model_id: 7dd05d46-7abb-4dc3-93c2-18bda3ffd6dc | model_name: delay-risk-classifier | model_version: v1.3.1 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/1ac7184ae0b1 | deployment_status: Production
model_id: 1d471ead-533d-4966-bdd7-a2f0b7e3a820 | model_name: eta-regressor | model_version: v2.1.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/regressor/29dbf6db09f1 | deployment_status: Draft
model_id: 731aa930-18c6-403a-8a15-cc1519c6c823 | model_name: anomaly-detector | model_version: v4.9.8 | model_type: Classifier | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/classifier/eac8382194b8 | deployment_status: Testing
model_id: 984dfa94-7134-4e08-87f1-ef80675146eb | model_name: risk-summary-llm | model_version: v1.1.1 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/daf18e76d541 | deployment_status: Retired
model_id: 61688879-a44c-424a-b020-9610bd6405c8 | model_name: eta-regressor | model_version: v2.0.3 | model_type: Anomaly | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/anomaly/6ab831f99477 | deployment_status: Draft
model_id: 31a28517-6443-4a43-b54d-c779ee863c3d | model_name: eta-regressor | model_version: v3.8.5 | model_type: NLP | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/nlp/6d5788403f17 | deployment_status: Draft
model_id: 41eb9296-45a6-4808-8592-c7da3a6a758d | model_name: eta-regressor | model_version: v2.8.5 | model_type: LLM | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/llm/2dfc55ec4135 | deployment_status: Production
model_id: 582c8cb6-7452-46bb-b608-43306b23b766 | model_name: risk-summary-llm | model_version: v4.3.2 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/eb43f94f0218 | deployment_status: Production
model_id: 79f0b9fa-7b5a-4cb4-9248-ee140b18172b | model_name: delay-risk-classifier | model_version: v2.1.7 | model_type: LLM | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/llm/b1d7d2ebb52b | deployment_status: Retired
model_id: a6b13ad6-9009-4b8e-8110-1c6f8e69d574 | model_name: document-intelligence | model_version: v1.3.1 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/2e01e2aa26ee | deployment_status: Retired
model_id: 31cd8127-b9b5-47fe-be64-64bc50f92ab9 | model_name: risk-summary-llm | model_version: v4.2.6 | model_type: NLP | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/nlp/39d4807bda59 | deployment_status: Testing
model_id: 477d1ab9-a5b1-42f5-a751-011de22a1e92 | model_name: document-intelligence | model_version: v2.2.8 | model_type: Regressor | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/regressor/17e1356484ea | deployment_status: Draft
model_id: ca499cc5-7237-48ad-bc23-92206f6a3f19 | model_name: delay-risk-classifier | model_version: v3.0.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/regressor/a806ca558041 | deployment_status: Production
model_id: 2709d7ac-bb4a-47b6-aa24-5ad5e039dbe7 | model_name: risk-summary-llm | model_version: v4.9.9 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/17afeacc303a | deployment_status: Production
model_id: 973551e5-41cd-4738-8588-2f38f5b7384c | model_name: anomaly-detector | model_version: v3.2.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/beaa210221c2 | deployment_status: Testing
model_id: 385982e3-0803-4d5e-94de-449f118bc1ee | model_name: eta-regressor | model_version: v3.6.4 | model_type: Anomaly | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/anomaly/af2e78a8273e | deployment_status: Production
model_id: 26e58fc2-5fe3-4821-85c5-0df68d6fd795 | model_name: delay-risk-classifier | model_version: v1.7.7 | model_type: LLM | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/llm/13551841c748 | deployment_status: Testing
model_id: 38cefab6-a29b-41f3-83d2-a849a26d8154 | model_name: risk-summary-llm | model_version: v2.1.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/98c1bc482941 | deployment_status: Production
model_id: adc2ef8a-257c-48d9-8535-c4ec47ca56fe | model_name: delay-risk-classifier | model_version: v1.5.8 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/c27f97fe8f52 | deployment_status: Production
model_id: 82847bc8-c115-4e38-a20e-483449c919d5 | model_name: document-intelligence | model_version: v1.3.8 | model_type: Regressor | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/regressor/003ff9b3c738 | deployment_status: Retired
model_id: c9116bf5-1f53-4c50-bb54-d582981e371f | model_name: anomaly-detector | model_version: v4.9.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/95993fa63670 | deployment_status: Retired
model_id: c00b2ea6-fda4-4d06-9fe5-78652b8f48cc | model_name: eta-regressor | model_version: v2.1.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/92b6f635b76b | deployment_status: Draft
model_id: 97380bc8-f50b-48c3-93bf-0d3842afcb1c | model_name: delay-risk-classifier | model_version: v2.4.3 | model_type: Regressor | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/regressor/9daec2623c80 | deployment_status: Production
model_id: 852d4523-a70a-4b0c-b131-39e6391f9991 | model_name: eta-regressor | model_version: v3.3.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/classifier/bf48df1aee72 | deployment_status: Testing
model_id: e3caad92-ab8b-47ac-8e67-625375190e52 | model_name: document-intelligence | model_version: v3.7.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/regressor/4d09cae09c2d | deployment_status: Production
model_id: 4addc71b-ce67-4205-bb0f-84754d567c87 | model_name: anomaly-detector | model_version: v3.2.9 | model_type: Anomaly | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/anomaly/e4cd22dba94d | deployment_status: Draft
model_id: 2855b4d1-6d57-4789-8960-2a89378cf30f | model_name: anomaly-detector | model_version: v3.1.3 | model_type: NLP | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/nlp/822bd2d098d7 | deployment_status: Testing
